cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,0.485,-0.213,-0.499,-0.399,-0.638,-0.371,-0.58,-0.533,-0.547,-0.244,-0.234,-0.175,-0.488,-0.337,-0.424,-0.298,-0.309
1,1.052,-0.159,-0.452,-0.415,-0.599,-0.421,-0.482,-0.431,-0.519,-0.279,-0.257,-0.001,-0.494,-0.347,-0.407,-0.318,-0.294
2,0.795,-0.223,-0.43,-0.428,-0.548,-0.425,-0.405,-0.397,-0.469,-0.268,-0.247,-0.125,-0.474,-0.316,-0.446,0.146,-0.282
3,0.993,-0.205,-0.483,-0.477,-0.635,-0.491,-0.494,-0.162,-0.305,0.051,-0.222,0.461,-0.115,-0.096,-0.482,-0.577,-0.191
4,0.68,-0.23,-0.503,-0.418,-0.623,-0.437,-0.539,-0.554,-0.562,-0.284,-0.271,-0.208,-0.505,-0.331,-0.479,-0.233,-0.334
5,0.894,-0.141,-0.515,-0.424,-0.645,-0.429,-0.542,-0.443,-0.547,-0.273,-0.254,0.003,-0.483,-0.341,-0.461,-0.251,-0.279
6,0.477,-0.245,-0.242,-0.373,1.105,0.237,1.11,-0.299,-0.377,-0.281,-0.267,-0.161,-0.174,-0.282,-0.176,-0.49,-0.274
7,-0.946,-0.326,-0.27,-0.362,0.531,0.099,0.094,-0.53,-0.447,-0.261,-0.278,-0.457,-0.292,-0.215,-0.199,0.567,-0.328
8,1.173,-0.026,-0.476,-0.435,-0.64,-0.458,-0.459,-0.388,-0.535,-0.286,-0.253,0.092,-0.481,-0.321,-0.492,-0.338,-0.283
9,1.295,-0.064,-0.433,-0.433,-0.586,-0.455,-0.389,-0.299,-0.469,-0.291,-0.253,0.067,-0.48,-0.314,-0.453,-0.355,-0.283
10,-0.779,-0.348,-0.092,-0.332,2.773,1.575,1.66,-0.172,-0.257,-0.273,-0.272,-0.393,0.461,-0.319,-0.017,-0.328,-0.252
11,-1.548,-0.404,0.298,0.56,1.519,3.185,1.198,-0.65,-0.331,-0.276,-0.256,-0.623,-0.301,-0.028,-0.097,0.341,-0.295
12,-0.349,-0.286,-0.102,-0.241,-0.099,-0.333,-0.465,2.984,2.019,-0.247,-0.201,-0.025,0.47,-0.249,-0.015,-0.339,-0.18
13,-0.45,-0.306,-0.217,-0.315,-0.093,-0.274,-0.365,0.198,-0.118,0.065,4.201,2.405,0.418,-0.288,-0.088,-0.284,-0.165
14,-1.628,0.023,1.618,2.578,0.281,0.032,1.859,0.085,0.943,-0.052,-0.148,-0.02,3.019,4.156,2.098,1.66,-0.031
15,-0.198,-0.306,2.758,1.327,-0.248,-0.123,-0.223,0.007,-0.223,-0.27,-0.261,-0.403,-0.354,-0.045,2.41,0.485,-0.272
16,-1.111,4.119,-0.124,0.084,-0.572,-0.419,-0.068,-0.539,0.071,-0.26,-0.064,-0.298,-0.231,0.098,-0.019,2.013,-0.156
17,-0.77,-0.276,-0.0,0.41,-0.202,-0.218,-0.25,0.139,0.437,4.092,-0.156,-0.03,0.212,0.028,0.126,-0.482,-0.017
18,-0.336,-0.296,-0.125,-0.252,0.288,-0.197,-0.137,2.23,1.158,-0.168,-0.195,0.069,0.516,-0.276,-0.085,-0.574,4.188
19,0.27,-0.087,0.292,0.345,-0.367,-0.075,-0.522,-0.246,1.077,-0.194,-0.112,-0.176,-0.224,-0.176,-0.294,-0.344,0.037
