cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,-1.358,-0.204,-0.117,0.407,-0.416,-0.309,-0.478,0.979,1.627,-0.116,-0.131,0.122,1.512,0.295,-0.048,-0.233,-0.213
1,-0.161,-0.273,3.335,2.018,-0.18,-0.037,-0.211,-0.029,-0.318,-0.289,-0.27,-0.363,-0.331,0.524,2.156,-0.053,-0.297
2,-0.123,-0.317,-0.184,-0.324,-0.113,-0.336,-0.418,2.009,0.779,-0.271,-0.193,-0.194,0.032,-0.325,-0.059,-0.314,0.014
3,-1.207,-0.315,-0.039,-0.013,-0.147,-0.302,-0.459,2.725,2.354,-0.145,0.11,0.138,0.632,-0.079,-0.048,-0.276,0.017
4,0.988,-0.25,-0.488,-0.499,-0.624,-0.424,-0.447,-0.576,-0.499,-0.302,-0.264,-0.116,-0.541,-0.414,-0.457,-0.313,-0.41
5,-1.342,-0.282,0.997,1.82,1.168,2.684,2.974,-0.581,-0.321,-0.281,-0.286,-0.277,-0.119,3.906,2.034,0.274,-0.427
6,-0.718,-0.257,-0.099,0.366,-0.302,-0.278,-0.355,0.279,0.298,4.036,-0.161,0.098,0.012,0.047,0.076,-0.25,0.105
7,-0.101,0.302,0.244,0.25,-0.422,-0.41,-0.212,-0.469,-0.099,-0.275,-0.27,-0.091,-0.453,-0.32,-0.432,3.945,-0.408
8,-0.841,-0.314,0.069,-0.273,2.628,1.946,1.402,-0.011,-0.279,-0.294,-0.289,-0.347,0.413,-0.345,0.122,-0.274,-0.315
9,0.866,-0.186,-0.518,-0.553,-0.239,-0.257,-0.471,-0.54,-0.367,-0.251,-0.136,-0.1,-0.494,-0.458,-0.453,-0.21,-0.384
10,0.778,-0.279,-0.194,-0.447,1.192,0.494,0.811,-0.393,-0.504,-0.309,-0.301,-0.151,-0.147,-0.387,-0.209,-0.309,-0.293
11,0.84,-0.1,-0.456,-0.528,-0.621,-0.5,-0.425,-0.579,-0.23,-0.304,-0.282,-0.044,-0.534,-0.417,-0.564,-0.328,1.327
12,1.759,-0.233,-0.532,-0.583,-0.674,-0.534,-0.407,-0.583,-0.677,-0.325,-0.318,0.062,-0.577,-0.448,-0.64,-0.325,-0.428
13,1.527,-0.189,-0.616,-0.579,-0.686,-0.533,-0.438,-0.543,-0.694,-0.326,-0.318,0.078,-0.569,-0.446,-0.643,-0.317,-0.436
14,0.747,-0.218,-0.62,-0.519,-0.639,-0.46,-0.455,-0.587,-0.401,-0.3,-0.249,-0.121,-0.545,-0.438,-0.556,-0.315,-0.388
15,0.524,-0.313,-0.525,-0.483,-0.444,-0.382,-0.388,-0.608,-0.63,-0.293,-0.294,-0.304,-0.516,-0.395,-0.389,-0.316,-0.462
16,-0.911,-0.178,0.015,0.294,-0.428,-0.303,-0.469,0.248,0.406,0.357,-0.082,-0.241,1.996,0.443,-0.123,0.026,-0.332
17,-0.441,-0.235,-0.226,-0.29,-0.164,-0.279,-0.307,0.217,-0.198,0.194,4.077,2.299,0.853,-0.305,-0.071,-0.308,-0.21
18,-0.581,4.092,-0.002,0.052,-0.624,-0.5,-0.158,-0.622,0.143,-0.302,-0.055,-0.299,-0.47,-0.131,0.269,0.239,-0.019
19,-0.247,-0.248,-0.044,-0.118,1.735,0.719,0.911,-0.335,-0.388,-0.204,-0.286,-0.149,-0.154,-0.306,0.035,-0.343,3.558
