cl,Hepatocytes,Biliary/ductular,Hepatic stellate cells,Portal fibroblasts,LSECs,Central venous LSECs,Portal endothelial cells,Kupffer cells,Inflammatory macs,T/NK cells,B-cells,Plasma,DC,vSMCs,Pericytes,Mesothelial cells,Proliferating
0,-0.787,-0.383,-0.078,-0.331,2.79,1.36,0.986,-0.25,-0.377,-0.222,-0.258,-0.334,0.671,-0.408,-0.006,-0.245,-0.216
1,-0.488,-0.342,0.145,-0.115,0.767,0.23,-0.022,1.678,0.846,-0.17,-0.207,-0.007,0.519,-0.34,0.12,-0.251,4.52
2,0.131,-0.317,-0.219,-0.383,1.329,0.217,0.503,-0.257,-0.391,-0.244,-0.246,-0.189,0.055,-0.403,-0.181,-0.248,-0.238
3,-0.552,-0.274,-0.031,0.439,1.104,0.304,3.378,-0.564,-0.013,-0.221,-0.244,0.265,-0.067,0.727,0.266,-0.175,-0.255
4,-0.473,-0.344,0.104,-0.174,0.064,-0.189,-0.306,3.486,2.574,-0.183,-0.172,0.034,0.707,-0.342,0.174,-0.251,-0.13
5,-0.182,-0.33,2.819,1.129,-0.175,-0.09,-0.136,0.01,-0.276,-0.236,-0.247,-0.327,-0.276,-0.237,2.434,-0.222,-0.224
6,0.929,-0.211,-0.485,-0.415,-0.533,-0.344,-0.384,-0.429,-0.511,-0.246,-0.246,-0.132,-0.43,-0.392,-0.399,-0.256,-0.238
7,0.883,-0.153,-0.535,-0.449,-0.585,-0.392,-0.42,-0.365,-0.521,-0.236,-0.251,-0.086,-0.431,-0.381,-0.484,-0.254,-0.249
8,0.431,-0.216,-0.491,-0.404,-0.591,-0.321,-0.423,-0.468,-0.524,-0.238,-0.234,-0.243,-0.43,-0.356,-0.478,-0.25,-0.247
9,1.261,-0.211,-0.511,-0.464,-0.582,-0.418,-0.368,-0.368,-0.487,-0.228,-0.241,-0.05,-0.438,-0.345,-0.542,-0.254,-0.217
10,1.235,-0.071,-0.506,-0.43,-0.584,-0.418,-0.374,-0.371,-0.486,-0.245,-0.232,0.042,-0.421,-0.362,-0.506,-0.254,-0.23
11,0.731,-0.222,-0.518,-0.431,-0.595,-0.36,-0.451,-0.511,-0.551,-0.245,-0.248,-0.179,-0.446,-0.39,-0.471,-0.254,-0.287
12,1.356,-0.152,-0.506,-0.459,-0.578,-0.417,-0.377,-0.462,-0.523,-0.251,-0.235,0.022,-0.442,-0.379,-0.503,-0.258,-0.251
13,0.139,-0.326,-0.346,-0.37,-0.496,-0.357,-0.423,-0.505,-0.542,-0.233,-0.254,-0.309,-0.403,-0.392,-0.311,-0.239,-0.312
14,-1.035,-0.271,1.845,2.13,-0.126,-0.003,-0.042,0.233,1.474,0.055,-0.119,-0.194,3.098,4.045,1.562,-0.145,-0.0
15,-1.303,-0.42,0.356,0.579,1.494,3.58,1.201,-0.533,-0.179,-0.229,-0.254,-0.439,-0.046,0.703,0.009,0.522,-0.247
16,-0.824,3.035,0.02,0.197,-0.527,-0.388,-0.129,-0.451,0.239,-0.198,-0.042,-0.25,-0.185,-0.081,0.008,-0.0,-0.171
17,1.187,-0.201,-0.467,-0.448,-0.544,-0.411,-0.4,-0.348,-0.426,-0.215,-0.238,-0.02,-0.364,-0.388,-0.497,-0.257,-0.261
18,-0.487,-0.32,0.013,0.39,-0.184,-0.221,-0.262,0.317,0.639,4.481,-0.139,0.325,0.287,-0.051,0.054,-0.242,-0.008
19,0.814,-0.243,-0.261,-0.389,-0.374,-0.364,-0.348,1.095,0.438,-0.222,-0.221,-0.061,-0.245,-0.39,-0.193,-0.252,-0.212
20,-0.447,-0.325,-0.127,-0.216,-0.002,-0.208,-0.209,0.293,-0.031,-0.001,4.478,3.051,0.097,-0.277,0.064,-0.25,-0.052
21,-0.619,0.627,0.417,0.571,-0.35,-0.352,-0.419,-0.531,0.09,-0.237,-0.23,-0.405,-0.331,-0.288,-0.367,4.297,-0.246
22,-1.901,1.67,-0.637,0.041,-0.724,-0.438,-0.574,-0.698,-0.463,-0.233,0.08,-0.512,-0.479,0.726,0.248,-0.26,-0.228
