0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Egfl7,Mki67,Eng,Ddit4,Cd5l,Tgfbi,Hpd,Neat1,Glul,Cps1,Neat1,Cyp2e1,Apoa4,Cyp2e1,Vim,Eng,Spp1,Saa2,Thy1,Cd5l,Ighm,Vim,Spink1
Eng,Hist2h2bb,Fcgr2b,Vim,Lyz2,Cxcl12,Cyb5a,Mlxipl,Cyp1a2,Acox1,Apoa4,Cyp3a11,C3,Apoa1,Igfbp3,Vwf,Clu,Saa1,Il2rb,Lyz2,Igkc,C3,Pigr
Fcgr2b,Vim,Egfl7,Vwf,Slc40a1,Reln,Cyp2e1,Hamp,Cyp2a5,Pcx,Hal,Cyp2c29,Apob,C3,Col14a1,Fabp4,Fgfr3,C3,Gimap4,Pltp,Cd79b,Bcam,Slc12a2
Plpp3,Top2a,Adgrf5,Egfl7,Csf1r,Prelp,Acox1,Cyp2e1,Cyp2e1,Abcd3,Fgg,Pon1,Apoa1,Apob,Col1a2,Rspo3,Gas6,Fgg,Lat,Csf1r,Syk,Upk3b,Mlph
Cd55,Lmnb1,Plpp3,Epas1,Fyb,Col14a1,Sult2a8,Cyp3a11,Cyp2c29,Arg1,Arg1,Cyp1a2,Fgg,Pzp,Prelp,Il6st,Cp,Orm1,Ptprc,Slc40a1,Cd79a,Msln,Ceacam1
Adgrf5,H2afz,Kdr,Pecam1,Pltp,Rgs5,Pah,Gcgr,Cyp3a11,Gjb1,Mlxipl,Apob,Pzp,Bhmt,Flna,Egfl7,Cdh1,Fgb,Dock2,Pigr,Ighd,C4b,Neat1
Kdr,Cd5l,Cd55,Jam2,Cd163,Plvap,Cyp3a11,Cyp27a1,Hpd,Cfb,Fga,Hpd,Arg1,Fgg,Gas6,Jam2,Pkhd1,Apoa4,Ets1,Cd163,Fcmr,Gpc3,Tgm4
Flt4,Mrc1,Flt4,Ntn4,Adgre1,Hgf,Cyp1a2,Nlrp6,Mlxipl,Shmt1,Gcgr,Mettl7b,Fgb,Crygb,Tagln,Pecam1,Epcam,Cp,Lck,Adgre1,Dock2,Ezr,Limk2
Maf,Grk2,Mrc1,Adgrf5,Nr1h3,Adamts13,Cyp2c29,Vegfa,Cyp7a1,Cyp3a13,Fgb,Bhmt,Fga,Il17f,Ccn2,Adgrf5,Dsg2,Apob,Itgal,Cd68,Cd37,Efemp1,Krt19
Mrc1,Ccna2,Maf,Il6st,Grn,Gdf2,Pon1,Slc47a1,Pon1,Cbs,G6pc,Nrn1,Pigr,Npas1,Tgfbi,Wnt9b,Txnip,Fga,Arhgef1,Arg1,Apobec3,Col14a1,Ank
Bmp2,Slc40a1,Bmp2,Gja5,Slc11a1,Fgfr2,Cat,Sult2a8,Lect2,Hacl1,Mfsd2a,Cyb5a,Vtn,Slc9a3,Tnxb,Cdh13,Sox9,Apoa1,Fyb,Grn,Ms4a1,Fmod,Cdh1
Clec14a,Knstrn,Il6st,Efnb1,Axl,Sept4,Sardh,Lpin2,Cyp27a1,Fasn,Acly,Ghr,Serpinc1,Odam,Fstl1,Tek,Dcdc2a,Pzp,Inpp4b,Cps1,Ets1,Gas6,Trim2
