section,arm,caller,within_type_depth_quintile,bg_pct,enrichment,tierA_basis
sham,sham,tierA_score,Q1,20.09,1.57,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,tierA_score,Q2,20.01,1.246,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,tierA_score,Q3,19.97,0.996,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,tierA_score,Q4,19.97,0.761,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,tierA_score,Q5,19.96,0.423,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,senepy_score,Q1,20.09,0.124,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,senepy_score,Q2,20.01,0.361,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,senepy_score,Q3,19.97,0.724,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,senepy_score,Q4,19.97,1.27,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,senepy_score,Q5,19.96,2.528,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,deepscence_score,Q1,20.09,1.784,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,deepscence_score,Q2,20.01,1.198,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,deepscence_score,Q3,19.97,0.958,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,deepscence_score,Q4,19.97,0.665,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,deepscence_score,Q5,19.96,0.389,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,cdkn1a_counts,Q1,20.09,0.384,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,cdkn1a_counts,Q2,20.01,0.765,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,cdkn1a_counts,Q3,19.97,1.021,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,cdkn1a_counts,Q4,19.97,1.226,A_SENDER_FINAL_strict C6 (33 genes)
sham,sham,cdkn1a_counts,Q5,19.96,1.609,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,tierA_score,Q1,20.09,1.793,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,tierA_score,Q2,19.99,1.3,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,tierA_score,Q3,19.98,0.993,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,tierA_score,Q4,19.96,0.646,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,tierA_score,Q5,19.98,0.262,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,senepy_score,Q1,20.09,0.094,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,senepy_score,Q2,19.99,0.393,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,senepy_score,Q3,19.98,0.777,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,senepy_score,Q4,19.96,1.203,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,senepy_score,Q5,19.98,2.539,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,deepscence_score,Q1,20.09,1.327,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,deepscence_score,Q2,19.99,1.111,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,deepscence_score,Q3,19.98,1.028,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,deepscence_score,Q4,19.96,0.866,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,deepscence_score,Q5,19.98,0.667,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,cdkn1a_counts,Q1,20.09,0.276,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,cdkn1a_counts,Q2,19.99,0.547,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,cdkn1a_counts,Q3,19.98,0.746,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,cdkn1a_counts,Q4,19.96,1.172,A_SENDER_FINAL_strict C6 (33 genes)
sbr,SBR,cdkn1a_counts,Q5,19.98,2.263,A_SENDER_FINAL_strict C6 (33 genes)
