clustering,ell_over_lambda,lam_naive_mean,lam_naive_std,beta_naive_mean,beta_naive_std,relbias_lam_naive_mean,relbias_lam_naive_std,signal_retained_naive_mean,signal_retained_naive_std,lam_decoyS_mean,lam_decoyS_std,beta_decoyS_mean,beta_decoyS_std,relbias_lam_decoyS_mean,relbias_lam_decoyS_std,signal_retained_decoyS_mean,signal_retained_decoyS_std,lam_nuis_mean,lam_nuis_std,beta_nuis_mean,beta_nuis_std,relbias_lam_nuis_mean,relbias_lam_nuis_std,signal_retained_nuis_mean,signal_retained_nuis_std,lam_decoyS_nuis_mean,lam_decoyS_nuis_std,beta_decoyS_nuis_mean,beta_decoyS_nuis_std,relbias_lam_decoyS_nuis_mean,relbias_lam_decoyS_nuis_std,signal_retained_decoyS_nuis_mean,signal_retained_decoyS_nuis_std,cover_lam_naive_iid_mean,cover_lam_naive_iid_std,cover_lam_naive_blk_mean,cover_lam_naive_blk_std,cover_lam_nuis_blk_mean,cover_lam_nuis_blk_std,cover_lam_decoyS_blk_mean,cover_lam_decoyS_blk_std,cover_beta_naive_blk_mean,cover_beta_naive_blk_std,cover_beta_decoyS_blk_mean,cover_beta_decoyS_blk_std,se_ratio_naive_mean,se_ratio_naive_std,max_smd_before_mean,max_smd_before_std,max_smd_after_mean,max_smd_after_std,smd_pass_mean,smd_pass_std,u_sender_mean_mean,u_sender_mean_std,u_decoy_mean_mean,u_decoy_mean_std,u_all_mean_mean,u_all_mean_std,n_cells_mean,n_cells_std,n_senders_mean,n_senders_std,median_nn_um_mean,median_nn_um_std,med_d_sender_mean,med_d_sender_std
0.0,0.25,29.8101,5.4252,1.4139,0.0864,-0.0063,0.1808,1.4139,0.0864,29.7656,4.6966,1.4072,0.0828,-0.0078,0.1566,1.4072,0.0828,22.2745,3.8608,1.3238,0.1222,-0.2575,0.1287,1.3238,0.1222,22.0777,3.7268,1.3308,0.12,-0.2641,0.1242,1.3308,0.12,0.9333,0.2537,0.9667,0.1826,0.4667,0.5074,0.9667,0.1826,0.0,0.0,0.0,0.0,1.5098,0.4054,0.1937,0.0322,0.051,0.0276,0.9333,0.2537,1.2429,0.0351,0.4276,0.0335,0.2741,0.0084,11824.8333,59.4452,591.2333,2.873,11.7442,0.0433,38.4493,0.3614
0.0,0.5,27.9535,3.9823,1.8947,0.1098,-0.0682,0.1327,1.8947,0.1098,28.1541,3.8151,1.8552,0.1079,-0.0615,0.1272,1.8552,0.1079,20.0635,3.0342,1.6947,0.1394,-0.3312,0.1011,1.6947,0.1394,19.9433,2.9862,1.6964,0.1299,-0.3352,0.0995,1.6964,0.1299,0.6667,0.4795,0.9,0.3051,0.1667,0.379,0.9333,0.2537,0.0,0.0,0.0,0.0,1.4598,0.3646,0.2889,0.0422,0.0526,0.0211,1.0,0.0,1.2869,0.0368,0.4572,0.0345,0.2861,0.0075,11796.8667,61.4748,589.8,3.0783,11.6877,0.0418,39.0685,0.6143
0.0,1.0,36.5849,5.475,2.3838,0.116,0.2195,0.1825,2.3838,0.116,35.387,4.7484,2.267,0.1141,0.1796,0.1583,2.267,0.1141,22.2166,2.6193,1.8184,0.16,-0.2594,0.0873,1.8184,0.16,22.1038,2.5709,1.8264,0.1613,-0.2632,0.0857,1.8264,0.1613,0.5333,0.5074,0.7,0.4661,0.3,0.4661,0.7333,0.4498,0.0,0.0,0.0,0.0,1.7205,0.436,0.4748,0.0556,0.0568,0.0248,0.9667,0.1826,1.3149,0.0433,0.543,0.0452,0.2925,0.0051,11771.2333,55.0822,588.5,2.6228,11.6736,0.0399,40.4263,0.7026
0.0,2.0,47.2536,5.4963,2.7825,0.1567,0.5751,0.1832,2.7825,0.1567,44.5287,4.9958,2.5263,0.1416,0.4843,0.1665,2.5263,0.1416,26.4382,4.6756,1.7899,0.1257,-0.1187,0.1559,1.7899,0.1257,26.5792,4.7467,1.7878,0.1231,-0.114,0.1582,1.7878,0.1231,0.0,0.0,0.0,0.0,0.8,0.4068,0.0667,0.2537,0.0,0.0,0.0,0.0,2.1495,0.3226,0.6478,0.0492,0.0543,0.0184,0.9667,0.1826,1.3387,0.039,0.6661,0.0413,0.2948,0.0066,11767.8667,65.499,588.3333,3.294,11.6501,0.0437,42.3031,0.9362
0.0,4.0,64.143,11.0907,3.1386,0.2649,1.1381,0.3697,3.1386,0.2649,59.8419,10.3846,2.7281,0.2199,0.9947,0.3462,2.7281,0.2199,31.4579,7.7802,1.7765,0.1369,0.0486,0.2593,1.7765,0.1369,31.6663,7.7934,1.7762,0.1374,0.0555,0.2598,1.7762,0.1374,0.0,0.0,0.0,0.0,0.8,0.4068,0.0,0.0,0.0,0.0,0.0,0.0,2.8431,0.6927,0.7566,0.0733,0.053,0.0248,0.9667,0.1826,1.317,0.0754,0.7565,0.0515,0.2986,0.009,11763.7,71.3216,588.2667,3.4932,11.6401,0.0335,43.9853,1.4335
1.5,0.25,26.6185,6.709,1.1753,0.1633,-0.1127,0.2236,1.1753,0.1633,26.6054,6.1737,1.1783,0.1546,-0.1132,0.2058,1.1783,0.1546,24.9955,4.8447,1.1059,0.1492,-0.1668,0.1615,1.1059,0.1492,24.8543,4.818,1.1145,0.1551,-0.1715,0.1606,1.1145,0.1551,0.6,0.4983,0.7667,0.4302,0.7333,0.4498,0.8,0.4068,0.5667,0.504,0.6,0.4983,1.7975,1.3154,0.246,0.1056,0.0514,0.0205,1.0,0.0,1.0319,0.047,0.3959,0.0385,0.2756,0.0071,11825.6667,79.5029,591.2333,3.9539,11.7437,0.0446,60.4469,2.1288
1.5,0.5,22.0661,3.381,1.5805,0.1712,-0.2645,0.1127,1.5805,0.1712,22.8396,3.83,1.5501,0.1638,-0.2387,0.1277,1.5501,0.1638,20.0105,2.6604,1.4302,0.1562,-0.333,0.0887,1.4302,0.1562,19.6556,2.5179,1.4502,0.1517,-0.3448,0.0839,1.4502,0.1517,0.1333,0.3457,0.4667,0.5074,0.2667,0.4498,0.4667,0.5074,0.0,0.0,0.0,0.0,1.6144,0.4188,0.2793,0.1044,0.0566,0.0207,0.9667,0.1826,1.0699,0.0404,0.4381,0.0394,0.2871,0.0061,11811.3667,52.4802,590.4667,2.6094,11.6897,0.0328,61.1405,2.7466
1.5,1.0,26.0664,4.3662,1.8442,0.1293,-0.1311,0.1455,1.8442,0.1293,28.2818,4.5706,1.7173,0.1317,-0.0573,0.1524,1.7173,0.1317,21.2573,3.9103,1.5221,0.1687,-0.2914,0.1303,1.5221,0.1687,21.2569,4.1734,1.5289,0.1609,-0.2914,0.1391,1.5289,0.1609,0.4,0.4983,0.8,0.4068,0.4667,0.5074,0.8667,0.3457,0.0,0.0,0.0,0.0,1.9043,0.317,0.4557,0.1066,0.056,0.0196,0.9667,0.1826,1.1064,0.0572,0.5144,0.0549,0.2903,0.0061,11771.9333,63.3207,588.7,3.0978,11.6826,0.0415,62.1759,3.0604
1.5,2.0,37.514,9.5936,1.9571,0.1973,0.2505,0.3198,1.9571,0.1973,41.8076,8.7105,1.7331,0.2145,0.3936,0.2904,1.7331,0.2145,26.1843,5.4184,1.437,0.2063,-0.1272,0.1806,1.437,0.2063,26.2609,5.2705,1.4387,0.2125,-0.1246,0.1757,1.4387,0.2125,0.3667,0.4901,0.6667,0.4795,0.8667,0.3457,0.4,0.4983,0.0,0.0,0.0,0.0,2.943,0.8743,0.596,0.137,0.0592,0.0227,0.9333,0.2537,1.1007,0.0872,0.619,0.0801,0.2962,0.0063,11787.2667,58.5668,589.3,3.0189,11.6352,0.0397,65.7075,4.2799
1.5,4.0,72.1528,44.6856,2.1006,0.2354,1.4051,1.4895,2.1006,0.2354,71.719,34.192,1.7757,0.2116,1.3906,1.1397,1.7757,0.2116,31.7412,8.5987,1.3545,0.1914,0.058,0.2866,1.3545,0.1914,32.0795,8.6469,1.3511,0.2015,0.0693,0.2882,1.3511,0.2015,0.1,0.3051,0.2,0.4068,1.0,0.0,0.1,0.3051,0.0,0.0,0.0333,0.1826,5.1158,2.1596,0.701,0.1412,0.0501,0.0215,0.9667,0.1826,1.1524,0.1037,0.7046,0.0723,0.2986,0.0059,11780.1667,75.1532,588.9667,3.7919,11.6264,0.0406,69.9918,4.8949
