sample,module,sender_call,celltype,bin_um,bin_mean_d_um,mean,n,sem,bin_nn_units
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,5.0,7.927067592014585,-0.0082852375180931,11071.0,0.0019672382077746,0.5699210393545966
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,15.0,15.12374973625136,0.0084710002644657,47972.0,0.0009371747002997,1.7097631180637898
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,25.0,24.85404109227528,-0.0009647876895362,44320.0,0.0009557499914708,2.8496051967729827
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,35.0,34.681615909204275,-0.0132893538259619,34063.0,0.001050047242587,3.989447275482176
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,45.0,44.6293488500849,-0.0271286044266096,21918.0,0.0012707971481717,5.1292893541913696
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,55.0,54.49600071904424,-0.0393328876636346,12743.0,0.0015929887232663,6.269131432900562
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,65.0,64.43820996485228,-0.0458905479239014,6556.0,0.0021360247024287,7.408973511609756
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,75.0,74.35051166493903,-0.0513868883489821,3295.0,0.0031097621900835,8.548815590318949
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,85.0,84.27965553329744,-0.0530200439893496,1491.0,0.0045025568638134,9.688657669028142
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,95.0,94.10899732257522,-0.0653469582906901,511.0,0.0077884126075612,10.828499747737336
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,105.0,104.17710250237084,-0.1135549963259466,173.0,0.0119015634445963,11.968341826446528
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,5.0,7.927067592014585,-0.0119637839045832,11071.0,0.0016853166566446,0.5699210393545966
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,15.0,15.12374973625136,0.0101807247664297,47972.0,0.000783072778359,1.7097631180637898
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,25.0,24.85404109227528,0.0010247091736731,44320.0,0.0007971169033209,2.8496051967729827
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,35.0,34.681615909204275,-0.0112719690273375,34063.0,0.0008665004954664,3.989447275482176
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,45.0,44.6293488500849,-0.0236064565873665,21918.0,0.001040906938928,5.1292893541913696
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,55.0,54.49600071904424,-0.0331682148051308,12743.0,0.0013224656776986,6.269131432900562
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,65.0,64.43820996485228,-0.0426948079108345,6556.0,0.0017231158674548,7.408973511609756
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,75.0,74.35051166493903,-0.0494679704493925,3295.0,0.0024738571933095,8.548815590318949
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,85.0,84.27965553329744,-0.0470294652891812,1491.0,0.0037910252728495,9.688657669028142
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,95.0,94.10899732257522,-0.0695730562252015,511.0,0.0058133854961954,10.828499747737336
7361_liver_sbr_Male_2-U1,tnfa_nfkb_proximal,tierA_p95,ALL,105.0,104.17710250237084,-0.0967813519324156,173.0,0.0095250030730359,11.968341826446528
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,5.0,7.921960137038805,0.0245303061305467,6025.0,0.0026560677362699,0.5099632443466476
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,15.0,15.16070251390961,0.0041316426759663,27623.0,0.001052109232689,1.529889733039943
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,25.0,24.97025959003178,-0.0081412788619451,28656.0,0.0009917692374891,2.5498162217332383
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,35.0,34.80703771039684,-0.0131000617768548,25226.0,0.0010416381875862,3.569742710426534
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,45.0,44.64847000435584,-0.0183473196544607,18154.0,0.0012141433990873,4.589669199119829
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,55.0,54.60960564343495,-0.025266943772717,11804.0,0.0014810252117703,5.609595687813124
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,65.0,64.65010686450837,-0.0284233711847701,6998.0,0.0018954300914454,6.62952217650642
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,75.0,74.47675463433802,-0.0342977438224607,3887.0,0.0025453958078706,7.649448665199715
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,85.0,84.36239926895163,-0.0424479414788178,2053.0,0.0034281767219623,8.66937515389301
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,95.0,94.3390591445847,-0.03714906185937,1005.0,0.0052931353055875,9.689301642586306
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,105.0,104.44343610079784,-0.0422801743026,477.0,0.007432632338498,10.709228131279602
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,115.0,114.20108565023122,-0.0484663708072828,242.0,0.0101063459166886,11.729154619972896
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,125.0,124.09115255103922,-0.033968921133563,106.0,0.0159236741313083,12.749081108666193
7352_liver_sham_Male_2-U1,secondary_senescence,tierA_p95,ALL,135.0,134.54295894077845,-0.0805553981418987,56.0,0.0194751593825721,13.769007597359488
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,5.0,7.921960137038805,-0.0604177830455674,6025.0,0.0030011189889193,0.5099632443466476
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,15.0,15.16070251390961,0.0103801180418543,27623.0,0.001331482987954,1.529889733039943
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,25.0,24.97025959003178,0.0072102574579352,28656.0,0.001291762004442,2.5498162217332383
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,35.0,34.80703771039684,0.001298728976878,25226.0,0.0013613791749005,3.569742710426534
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,45.0,44.64847000435584,-0.0064629102734091,18154.0,0.0016119533702238,4.589669199119829
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,55.0,54.60960564343495,-0.0173887654514727,11804.0,0.0019699295340834,5.609595687813124
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,65.0,64.65010686450837,-0.0261238692718255,6998.0,0.002570365531365,6.62952217650642
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,75.0,74.47675463433802,-0.0388914799208109,3887.0,0.0034513142239439,7.649448665199715
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,85.0,84.36239926895163,-0.0591930152174537,2053.0,0.0046169716459696,8.66937515389301
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,95.0,94.3390591445847,-0.0451626491306039,1005.0,0.0068522085640396,9.689301642586306
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,105.0,104.44343610079784,-0.0748229738259839,477.0,0.0095944080232886,10.709228131279602
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,115.0,114.20108565023122,-0.1139466794821518,242.0,0.0149158673721581,11.729154619972896
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,125.0,124.09115255103922,-0.0744028864955564,106.0,0.021458756661812,12.749081108666193
7352_liver_sham_Male_2-U1,oxidative_stress,tierA_p95,ALL,135.0,134.54295894077845,-0.1478556361315506,56.0,0.0247719610670428,13.769007597359488
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,5.0,7.927067592014585,0.0467011664942548,11071.0,0.0022548801666005,0.5699210393545966
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,15.0,15.12374973625136,0.010661562093289,47972.0,0.0008645831400347,1.7097631180637898
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,25.0,24.85404109227528,-0.0067525227512213,44320.0,0.0008149263389937,2.8496051967729827
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,35.0,34.681615909204275,-0.0200588801874796,34063.0,0.0008636898354286,3.989447275482176
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,45.0,44.6293488500849,-0.0289815126748984,21918.0,0.0010292779400869,5.1292893541913696
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,55.0,54.49600071904424,-0.0361167615295712,12743.0,0.0012762275097973,6.269131432900562
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,65.0,64.43820996485228,-0.0418888266649651,6556.0,0.0017684647271137,7.408973511609756
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,75.0,74.35051166493903,-0.0444724139705473,3295.0,0.0024765060966615,8.548815590318949
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,85.0,84.27965553329744,-0.0386125229054369,1491.0,0.003918914223945,9.688657669028142
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,95.0,94.10899732257522,-0.0539579495692848,511.0,0.0069569158426397,10.828499747737336
7361_liver_sbr_Male_2-U1,emt_ecm,tierA_p95,ALL,105.0,104.17710250237084,-0.0783326900523758,173.0,0.0111992368671726,11.968341826446528
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,5.0,7.927067592014585,0.0053898874419036,11071.0,0.0020006266515433,0.5699210393545966
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,15.0,15.12374973625136,0.0076832103088303,47972.0,0.0009002234853035,1.7097631180637898
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,25.0,24.85404109227528,-0.0002466688881671,44320.0,0.0009313206666065,2.8496051967729827
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,35.0,34.681615909204275,-0.0128901522125599,34063.0,0.0010178696545334,3.989447275482176
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,45.0,44.6293488500849,-0.0219047061428077,21918.0,0.0012654755814877,5.1292893541913696
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,55.0,54.49600071904424,-0.0302059903676266,12743.0,0.0016460328771577,6.269131432900562
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,65.0,64.43820996485228,-0.0335102816256316,6556.0,0.0022792618294787,7.408973511609756
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,75.0,74.35051166493903,-0.0417359475672128,3295.0,0.0031856621515,8.548815590318949
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,85.0,84.27965553329744,-0.0391768710001054,1491.0,0.0049664715524758,9.688657669028142
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,95.0,94.10899732257522,-0.0652098149709802,511.0,0.0077637359698504,10.828499747737336
7361_liver_sbr_Male_2-U1,il6_jak_stat3,tierA_p95,ALL,105.0,104.17710250237084,-0.0821611876114987,173.0,0.0134147204491757,11.968341826446528
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,5.0,7.927067592014585,0.0174147859586135,11071.0,0.0020556383628026,0.5699210393545966
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,15.0,15.12374973625136,0.0056892516690393,47972.0,0.0008792682204971,1.7097631180637898
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,25.0,24.85404109227528,-0.0016339808326192,44320.0,0.0008928857698994,2.8496051967729827
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,35.0,34.681615909204275,-0.0134714665179013,34063.0,0.0009685984380736,3.989447275482176
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,45.0,44.6293488500849,-0.0210047119436469,21918.0,0.0011810333954034,5.1292893541913696
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,55.0,54.49600071904424,-0.0253836683444835,12743.0,0.0015374399485715,6.269131432900562
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,65.0,64.43820996485228,-0.0319010228564558,6556.0,0.0021356850901515,7.408973511609756
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,75.0,74.35051166493903,-0.0361739376294253,3295.0,0.002939858051552,8.548815590318949
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,85.0,84.27965553329744,-0.0294600638840037,1491.0,0.0046352662534769,9.688657669028142
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,95.0,94.10899732257522,-0.0545990753493662,511.0,0.0073092671847407,10.828499747737336
7361_liver_sbr_Male_2-U1,interferon_response,tierA_p95,ALL,105.0,104.17710250237084,-0.0730080123720932,173.0,0.0149161654652749,11.968341826446528
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,5.0,7.927067592014585,-0.0569694775234312,11071.0,0.0015137441917544,0.5699210393545966
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,15.0,15.12374973625136,0.0011029273050898,47972.0,0.000764019611896,1.7097631180637898
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,25.0,24.85404109227528,-0.0068895415884402,44320.0,0.0007632970991632,2.8496051967729827
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,35.0,34.681615909204275,-0.0110842686594615,34063.0,0.0008520615253389,3.989447275482176
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,45.0,44.6293488500849,-0.02105161934299,21918.0,0.0010252164476431,5.1292893541913696
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,55.0,54.49600071904424,-0.0262205814752843,12743.0,0.0012999164328294,6.269131432900562
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,65.0,64.43820996485228,-0.0317037433198627,6556.0,0.0017731539811564,7.408973511609756
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,75.0,74.35051166493903,-0.0391408782420988,3295.0,0.0025159843371018,8.548815590318949
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,85.0,84.27965553329744,-0.0429571766532389,1491.0,0.0037331309003069,9.688657669028142
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,95.0,94.10899732257522,-0.0577627242481975,511.0,0.006394588301988,10.828499747737336
7361_liver_sbr_Male_2-U1,downstream_arrest,tierA_p95,ALL,105.0,104.17710250237084,-0.0756608833319297,173.0,0.0128344313470261,11.968341826446528
