kind,module,celltype,bin_lo,bin_hi,n,mean,sem
unstrat,downstream_arrest,all,0.0,2.0,2.0,0.5228496640155261,0.2708162751625033
unstrat,downstream_arrest,all,2.0,4.0,598.0,0.0934934624156966,0.04929708911207196
unstrat,downstream_arrest,all,4.0,6.0,8135.0,0.1210408042872046,0.013807437023931028
unstrat,downstream_arrest,all,6.0,8.0,16991.0,0.08975998272413356,0.009137710885469512
unstrat,downstream_arrest,all,8.0,10.0,23392.0,0.04234434226479862,0.007195960778552862
unstrat,downstream_arrest,all,10.0,12.5,37888.0,-0.0019180767137607654,0.00538650586166729
unstrat,downstream_arrest,all,12.5,15.0,42684.0,0.01287190429494609,0.0049849325411185615
unstrat,downstream_arrest,all,15.0,17.5,43942.0,0.0011624302850880917,0.004814878942108192
unstrat,downstream_arrest,all,17.5,20.0,44536.0,0.004044212552787533,0.004742715592393437
unstrat,downstream_arrest,all,20.0,25.0,90005.0,-0.006522279741203391,0.0033487288911855794
unstrat,downstream_arrest,all,25.0,30.0,89851.0,-0.01308905529781382,0.003320011399810866
unstrat,downstream_arrest,all,30.0,35.0,85294.0,-0.008275567512761504,0.00338110020608318
unstrat,downstream_arrest,all,35.0,40.0,77493.0,-0.010084455251073722,0.003540228997810064
unstrat,downstream_arrest,all,40.0,50.0,125653.0,-0.011285339963617018,0.002747800884375686
unstrat,downstream_arrest,all,50.0,60.0,86337.0,-0.003937645675982604,0.0032820699011359895
unstrat,downstream_arrest,all,60.0,75.0,71743.0,0.003043024731657127,0.003603770502382147
unstrat,downstream_arrest,all,75.0,100.0,38707.0,0.013561417005774219,0.004904546259327758
compositiononly,downstream_arrest,all,0.0,2.0,2.0,-0.06144780815926558,0.1015701422481651
compositiononly,downstream_arrest,all,2.0,4.0,598.0,0.14180703614586565,0.014828669261183253
compositiononly,downstream_arrest,all,4.0,6.0,8135.0,0.12690195859115147,0.004146784045418743
compositiononly,downstream_arrest,all,6.0,8.0,16991.0,0.07973539031581292,0.002947560609021793
compositiononly,downstream_arrest,all,8.0,10.0,23392.0,0.04178020326395774,0.002449494274251759
compositiononly,downstream_arrest,all,10.0,12.5,37888.0,0.022544263199995064,0.0019173783285959581
compositiononly,downstream_arrest,all,12.5,15.0,42684.0,0.015527615785280769,0.001765642741463515
compositiononly,downstream_arrest,all,15.0,17.5,43942.0,0.009838611248567974,0.0017066251445761922
compositiononly,downstream_arrest,all,17.5,20.0,44536.0,0.006100184996375577,0.0016754883048709908
compositiononly,downstream_arrest,all,20.0,25.0,90005.0,-0.0006253935983107101,0.001169126857345758
compositiononly,downstream_arrest,all,25.0,30.0,89851.0,-0.0023917053415911664,0.001186088700224899
compositiononly,downstream_arrest,all,30.0,35.0,85294.0,-0.007148992189580095,0.0012156474873927334
compositiononly,downstream_arrest,all,35.0,40.0,77493.0,-0.005333115110426008,0.001297679040548222
compositiononly,downstream_arrest,all,40.0,50.0,125653.0,-0.010892236676651474,0.001011058984729283
compositiononly,downstream_arrest,all,50.0,60.0,86337.0,-0.013524418401480288,0.0012103804795985018
compositiononly,downstream_arrest,all,60.0,75.0,71743.0,-0.01688903934467157,0.001357082279839884
compositiononly,downstream_arrest,all,75.0,100.0,38707.0,-0.016221210494982704,0.001926486198383472
strat,downstream_arrest,all,0.0,2.0,2.0,0.5612836011647654,0.3419360653575025
strat,downstream_arrest,all,2.0,4.0,598.0,-0.035108356310701014,0.04604760152862281
strat,downstream_arrest,all,4.0,6.0,8135.0,-0.014615236889407223,0.012239202725845059
strat,downstream_arrest,all,6.0,8.0,16991.0,0.0031160123720553076,0.008379137579194213
strat,downstream_arrest,all,8.0,10.0,23392.0,-0.0039152134161812915,0.0068783625618543485
strat,downstream_arrest,all,10.0,12.5,37888.0,-0.029280021296521918,0.005248178426784814
strat,downstream_arrest,all,12.5,15.0,42684.0,-0.0055991938379817896,0.004910229726595817
strat,downstream_arrest,all,15.0,17.5,43942.0,-0.009351536895788217,0.004822989222616358
strat,downstream_arrest,all,17.5,20.0,44536.0,-0.0024499446343953313,0.004757761382449505
strat,downstream_arrest,all,20.0,25.0,90005.0,-0.007861969570439085,0.0033594227830947734
strat,downstream_arrest,all,25.0,30.0,89851.0,-0.0125465840732947,0.0033210401128065045
strat,downstream_arrest,all,30.0,35.0,85294.0,-0.001749977076293157,0.0034078321060525
strat,downstream_arrest,all,35.0,40.0,77493.0,-0.004243671396328091,0.003577343615904179
strat,downstream_arrest,all,40.0,50.0,125653.0,0.0020296434485310108,0.0027772353499912915
strat,downstream_arrest,all,50.0,60.0,86337.0,0.01280548674909511,0.003351561694351662
strat,downstream_arrest,all,60.0,75.0,71743.0,0.02231150543900917,0.0036551983496389507
strat,downstream_arrest,all,75.0,100.0,38707.0,0.0361057620009804,0.0049625652551222536
strat,downstream_arrest,Biliary/ductular,0.0,2.0,0.0,,
