panel,source,call,celltype,module,zone,n_donors,n,sections,lam_naive,beta_naive,lam_naive_railed,lam_full_profiled,beta_full_profiled,lam_n2n5n6_profiled,beta_n2n5n6_profiled,beta_full_fixedlam,beta_n2n5n6_fixedlam,max_smd_after,sf_n5n6,sf_n2n5n6,lam_naive_donor_lo,lam_naive_donor_hi,lam_naive_donor_med,beta_naive_donor_lo,beta_naive_donor_hi,beta_naive_donor_med,lam_full_donor_lo,lam_full_donor_hi,lam_full_donor_med,beta_full_donor_lo,beta_full_donor_hi,beta_full_donor_med,beta_n2n5n6_donor_lo,beta_n2n5n6_donor_hi,beta_n2n5n6_donor_med,sf_n2n5n6_donor_lo,sf_n2n5n6_donor_hi,sf_n2n5n6_donor_med,section,arm,design,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y,lam_prox_ctrl,lam_down_ctrl,log_ratio,log_ratio_lo,log_ratio_hi,ratio,ratio_lo,ratio_hi,frac_prox_gt_down,lam_prox_lo,lam_prox_hi,lam_down_lo,lam_down_hi,grid_lo,grid_hi,prox_lam_naive,prox_beta_naive,prox_lam_ctrl,prox_beta_ctrl,prox_lam_n2,prox_beta_n2,prox_beta_ctrl_fixed,prox_beta_n2_fixed,prox_railed_ctrl,prox_sf_ctrl,prox_sf_n2ctrl,down_lam_naive,down_beta_naive,down_lam_ctrl,down_beta_ctrl,down_lam_n2,down_beta_n2,down_beta_ctrl_fixed,down_beta_n2_fixed,down_railed_ctrl,down_sf_ctrl,down_sf_n2ctrl,week,n_senders,lam_near,beta_near,rss_near,aic_near,railed_near,lam_sup,beta_sup,rss_sup,aic_sup,railed_sup,rss0,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov,boot_win_sup,d_aic_per1k,d_aic_per1k_lo,d_aic_per1k_hi,r_regressors,beta_sup_sd,beta_near_sd,null,draw,true_family,true_superposition,regime,rep,true_d_half,fit_family,fit_mode
3a,combined_donor.csv,tierA_p95,Hepatocytes,downstream_arrest,all,6.0,393921.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,49.99999999999999,-0.124289531461307,1.0,49.99999999999999,-0.0254665299604506,49.99999999999999,-0.0257389555972422,-0.0254665299604506,-0.0257389555972422,0.0543989197580434,0.2048968216472735,0.2070886847397529,6.999999999999999,49.99999999999999,49.99999999999999,-0.2152310889767813,-0.060057117356037,-0.1295383856112917,6.999999999999999,49.99999999999999,49.99999999999999,-0.0871288810979506,-0.0053097772976364,-0.0267993169989485,-0.0690987879223777,-0.0087194021278816,-0.0245217578204169,0.0760812088884839,0.4464531286297694,0.195173765985462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Hepatocytes,emt_ecm,all,6.0,393921.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,6.999999999999999,0.2613701449016716,1.0,6.999999999999999,0.1013519300244979,6.999999999999999,0.1014765794367454,0.1013519300244979,0.1014765794367454,0.0543989197580434,0.3877716411054784,0.3882485487197524,6.999999999999999,49.99999999999999,6.999999999999999,-0.0962191251574378,0.5458123011230961,0.1916286600568967,6.999999999999999,17.985748276717445,6.999999999999999,0.0394753996593147,0.1814823087561138,0.0988380175286878,-0.0055965778977927,0.1765752026522934,0.068875575221895,-0.4170673072516059,1.1141493664290965,0.2833408377870707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Hepatocytes,il6_jak_stat3,all,6.0,393921.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,6.999999999999999,0.3963733840894334,1.0,49.99999999999999,-0.0064079206379918,49.99999999999999,-0.0064864283843681,0.0062830257073926,0.006279755058794,0.0543989197580434,0.0158512805339497,0.0158430291005036,6.999999999999999,6.999999999999999,6.999999999999999,0.3213787728686325,0.4846678739986672,0.3962653914547109,6.999999999999999,49.99999999999999,16.54780201326306,-0.0428736925632712,0.0959978954008497,-0.008029244684884,-0.0732391608107397,0.0959912075843705,0.0082457366545878,-0.2157836256328122,0.2074824287635415,0.0202878123279165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Hepatocytes,interferon_response,all,6.0,393921.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,6.999999999999999,0.088560044631474,1.0,49.99999999999999,-0.0204444166049871,49.99999999999999,-0.0206883109764181,-0.003903765978236,-0.0040129627811832,0.0543989197580434,-0.044080442760399,-0.0453134683691996,6.999999999999999,49.99999999999999,6.999999999999999,-0.1196845013030369,0.3789700850413676,0.0785253733056839,6.999999999999999,49.99999999999999,49.99999999999999,-0.053345747197636,0.033286295235335,-0.0205602305623246,-0.0485256003702613,0.0378988584034323,-0.0081121101247978,-0.5941709638121045,0.4913516636067728,0.0985212906879941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Hepatocytes,oxidative_stress,all,6.0,393921.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,6.999999999999999,-0.3890911011909214,1.0,6.999999999999999,-0.0637800965667276,6.999999999999999,-0.0637108627316134,-0.0637800965667276,-0.0637108627316134,0.0543989197580434,0.1639207280030588,0.1637427906642137,6.999999999999999,49.99999999999999,6.999999999999999,-0.4225367890358407,-0.1426318246399732,-0.3551829722560474,6.999999999999999,49.99999999999999,6.999999999999999,-0.1187912514513553,0.0118039173558184,-0.0654713016035387,-0.1153898936541081,0.0037623276341322,-0.0508959787466512,-0.0173702107617236,0.3068686257357905,0.1580666306910709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Hepatocytes,secondary_senescence,all,6.0,393921.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,49.99999999999999,0.0706144721154461,1.0,10.390266241332723,0.0770279860892362,15.045038552643348,0.0572043287516775,0.042776866907485,0.0429528361189838,0.0543989197580434,0.6057804530146454,0.6082724239411027,6.999999999999999,49.99999999999999,49.99999999999999,-0.0349911458328048,0.2256869056780986,0.0667702848464874,6.999999999999999,27.998118032058844,9.637688639078164,0.0449056382070477,0.1473107534174415,0.0840498220990281,0.0253168033232845,0.1132088175427292,0.0432073091043018,-3.266395764017364,15.050577936092967,0.4865795337174701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Hepatocytes,tnfa_nfkb_proximal,all,6.0,393921.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,6.999999999999999,0.2858882658234907,1.0,10.014887659272423,0.0654483200655142,14.361297533127685,0.0480117542807698,0.1002741989077417,0.1004320046525111,0.0543989197580434,0.3507461162104905,0.3512981001973634,6.999999999999999,49.99999999999999,6.999999999999999,0.1052845268419674,0.3422562883775891,0.2512388251438782,6.999999999999999,49.99999999999999,9.919286792162984,0.0237990768940247,0.1412378807273719,0.0654483200655142,0.0249524437574691,0.1424596195476469,0.0818809894625126,0.15310477390193,0.5392021696874678,0.340556980437806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Biliary/ductular,downstream_arrest,all,6.0,96636.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,49.99999999999999,0.0392250962209,1.0,49.99999999999999,0.0092217929330089,9.16883908040282,0.0067789454828098,0.0092217929330089,0.0088371087208747,0.0543989197580434,0.2350993068589421,0.2252922126973932,6.999999999999999,49.99999999999999,34.126171252235615,-0.0448179112561007,0.1154074505713283,0.0392250962209,6.999999999999999,49.99999999999999,41.415593064737045,-0.02131684812548,0.0428331529216136,0.0098313936315723,-0.0109837367324674,0.0409326677755362,0.0067516439342717,-0.8371864209293309,1.7779175608547684,0.0839766654967948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Biliary/ductular,emt_ecm,all,6.0,96636.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,36.191601382324414,0.1132555713098765,0.0,13.624713827056052,-0.0507135643006714,12.53896962226386,-0.0518516243416326,-0.0458048295817942,-0.0458446866056858,0.0543989197580434,-0.4044377601210316,-0.4047896812091567,12.419446836361464,49.99999999999999,34.93982004277417,0.0864222775346827,0.1669568974745146,0.1160729081581221,6.999999999999999,49.99999999999999,12.688888133934412,-0.1238201084510916,-0.0389508420584204,-0.0537547863155459,-0.051610929081618,-0.0318476792974875,-0.0440217320364975,-0.530404774317391,-0.2028026543206661,-0.3810594411878276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a,combined_donor.csv,tierA_p95,Biliary/ductular,il6_jak_stat3,all,6.0,96636.0,7259_liver_sbr_Male_26-U1;7260_liver_sbr_Male_26-U1;7001_liver_sham_Male_52-U1;7248_liver_sham_Male_26-U1;7352_liver_sham_Male_2-U1;7435_liver_sham_Male_10-U1,41.29067103398372,0.1165826465811718,0.0,6.999999999999999,-0.0872541180027204,6.999999999999999,-0.0873443020098992,-0.0362069088440769,-0.0362805991700276,0.0543989197580434,-0.3105685958061311,-0.3112006823825783,11.0556286894056,49.99999999999999,35.693962253440986,0.0676874692650135,0.2314569618949566,0.1186349651735928,6.999999999999999,26.8398010819596,6.999999999999999,-0.1343755615903212,-0.0167570195367726,-0.0841947378174844,-0.0804103876464016,-0.0074554109133118,-0.0361739398875379,-0.8986346271508329,-0.0438731933146687,-0.3112006823825783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
