panel,method,pair,cond,quantity,value,n_interactions
a,COMMOT,Ccl2->Ccr2,real,fraction of cell-type pairs called significant,0.17440318302387267,1508
a,COMMOT,Ccl2->Ccr2,N3_lig,fraction of cell-type pairs called significant,0.16810344827586207,1508
a,COMMOT,Ccl2->Ccr2,N4_lig,fraction of cell-type pairs called significant,0.17221485411140583,1508
a,COMMOT,Ccl2->Ccr2,N3_type,fraction of cell-type pairs called significant,0.17486737400530503,1508
a,COMMOT,Ccl2->Ccr2,N0_perm,fraction of cell-type pairs called significant,0.17506631299734748,1508
a,COMMOT,Ccl2->Ccr2,N0_type,fraction of cell-type pairs called significant,0.17572944297082227,1508
a,COMMOT,Il1a->Il1r1,real,fraction of cell-type pairs called significant,0.1312997347480106,1508
a,COMMOT,Il1a->Il1r1,N3_lig,fraction of cell-type pairs called significant,0.14250663129973476,1508
a,COMMOT,Il1a->Il1r1,N4_lig,fraction of cell-type pairs called significant,0.14283819628647212,1508
a,COMMOT,Il1a->Il1r1,N3_type,fraction of cell-type pairs called significant,0.14489389920424403,1508
a,COMMOT,Il1a->Il1r1,N0_perm,fraction of cell-type pairs called significant,0.14210875331564987,1508
a,COMMOT,Il1a->Il1r1,N0_type,fraction of cell-type pairs called significant,0.1356763925729443,1508
a,COMMOT,Tgfb1->Tgfbr1/2,real,fraction of cell-type pairs called significant,0.4290450928381963,1508
a,COMMOT,Tgfb1->Tgfbr1/2,N3_lig,fraction of cell-type pairs called significant,0.4625331564986737,1508
a,COMMOT,Tgfb1->Tgfbr1/2,N4_lig,fraction of cell-type pairs called significant,0.47009283819628644,1508
a,COMMOT,Tgfb1->Tgfbr1/2,N3_type,fraction of cell-type pairs called significant,0.4344827586206897,1508
a,COMMOT,Tgfb1->Tgfbr1/2,N0_perm,fraction of cell-type pairs called significant,0.47314323607427056,1508
a,COMMOT,Tgfb1->Tgfbr1/2,N0_type,fraction of cell-type pairs called significant,0.4371352785145889,1508
a,COMMOT,Tnf->Tnfrsf1a/1b,real,fraction of cell-type pairs called significant,0.15981432360742706,1508
a,COMMOT,Tnf->Tnfrsf1a/1b,N3_lig,fraction of cell-type pairs called significant,0.17782805429864254,1105
