panel,arm,null,n,median,q25,q75,module,ctrl_amp_median,arm_power80_bound,slope,r2,intercept,n_fits,frac_railed_floor,frac_railed_ceiling,median_lam_naive_um
a,M1 mouse liver (tierA_p95),N1 label permutation,153.0,0.70736,0.41627,0.86478,,,,,,,,,,
a,M1 mouse liver (tierA_p95),"N3 torus, published bbox",153.0,0.99887,0.98885,1.00576,,,,,,,,,,
a,M1 mouse liver (tierA_p95),"N4 rotation, published bbox",153.0,0.94719,0.8037,1.0389,,,,,,,,,,
a,M1 mouse liver (tierA_p95),N3-var (PRIMARY corrected),153.0,0.99597,0.97536,1.0074,,,,,,,,,,
a,M1 mouse liver (tierA_p95),N4-var (PRIMARY corrected),153.0,0.98507,0.95809,1.00334,,,,,,,,,,
a,M1 mouse liver (tierA_p95),"N3-tile (in-tissue, tile scope)",136.0,0.97055,0.9061,1.00885,,,,,,,,,,
a,M1 mouse liver (tierA_p95),"N4-tile (in-tissue, tile scope)",136.0,0.92427,0.83465,1.0489,,,,,,,,,,
a,M1 mouse liver (tierA_p95),N2 matched decoy,153.0,0.95157,0.91906,0.9776,,,,,,,,,,
a,M1 mouse liver (tierA_p95),N6 receiver baseline,153.0,0.47085,0.18293,0.74158,,,,,,,,,,
a,M1 mouse liver (tierA_p95),anatomical covariate alone,153.0,0.84292,0.55526,0.974,,,,,,,,,,
a,M1 mouse liver (tierA_p95),N5 nuisance covariates,153.0,0.11502,-0.03441,0.2583,,,,,,,,,,
a,M1 mouse liver (tierA_p95),N5 + N6,153.0,0.08444,-0.01258,0.23334,,,,,,,,,,
a,M1 mouse liver (tierA_p95),N2 + N5 + N6  (PRIMARY),153.0,0.08847,-0.01664,0.23378,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N1 label permutation,58.0,0.3319,0.04736,0.65828,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),"N3 torus, published bbox",58.0,0.9929,0.97702,1.002,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),"N4 rotation, published bbox",58.0,0.95606,0.81194,1.13175,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N3-var (PRIMARY corrected),58.0,0.99995,0.9597,1.04802,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),N4-var (PRIMARY corrected),58.0,0.97396,0.94547,1.01185,,,,,,,,,,
a,H1 human spleen (tierAmg_p95),"N3-tile (in-tissue, tile scope)",58.0,0.95074,0.85213,1.07503,,,,,,,,,,
