configuration,n_circular,n_on_panel,pct,source
M1 mouse pre-C6 B7 (n=38),26,33,78.8,corescence_circularity_mouse.json (pre_C6/fallback)
M1 mouse FROZEN B7 (n=108),29,33,87.9,corescence_circularity_mouse.json (C6_promoted/fallback)
H1 human superseded B7 (n=35),25,33,75.8,gate_result_human.json (superseded)
H1 human FROZEN B7 (n=116),29,33,87.9,gate_result_human.json (frozen)
H1 human frozen per-module: secondary_senescence,18,33,54.5,gate_result_human.json (per_module_frozen)
H1 human frozen per-module: downstream_arrest,10,33,30.3,gate_result_human.json (per_module_frozen)
H1 human frozen per-module: emt_ecm,9,33,27.3,gate_result_human.json (per_module_frozen)
H1 human frozen per-module: tnfa_nfkb_proximal,7,33,21.2,gate_result_human.json (per_module_frozen)
H1 human frozen per-module: interferon_response,6,33,18.2,gate_result_human.json (per_module_frozen)
H1 human frozen per-module: il6_jak_stat3,4,33,12.1,gate_result_human.json (per_module_frozen)
H1 human frozen per-module: oxidative_stress,0,33,0.0,gate_result_human.json (per_module_frozen)
M1 mouse frozen per-module: tnfa_nfkb_proximal,8,33,24.2,corescence_circularity_mouse.json (C6_promoted/fallback)
M1 mouse frozen per-module: il6_jak_stat3,5,33,15.2,corescence_circularity_mouse.json (C6_promoted/fallback)
M1 mouse frozen per-module: interferon_response,5,33,15.2,corescence_circularity_mouse.json (C6_promoted/fallback)
M1 mouse frozen per-module: downstream_arrest,10,33,30.3,corescence_circularity_mouse.json (C6_promoted/fallback)
M1 mouse frozen per-module: emt_ecm,9,33,27.3,corescence_circularity_mouse.json (C6_promoted/fallback)
M1 mouse frozen per-module: oxidative_stress,0,33,0.0,corescence_circularity_mouse.json (C6_promoted/fallback)
M1 mouse frozen per-module: secondary_senescence,18,33,54.5,corescence_circularity_mouse.json (C6_promoted/fallback)
