file,tier,status,n,n_on_panel,sha256_16,role
genesets/human/A6_SenMayo_arrest_reference.txt,A,FROZEN,33,33,414187186ce3b0cc,"reference comparison set, not a sender definition"
genesets/human/A_SENDER_FINAL_strict.txt,A,FROZEN,33,33,497f2f28828dff53,PRIMARY sender definition (PI decision 2026-08-27)
genesets/human/A_core_arrest.txt,A,FROZEN,6,6,f030e3a0f702527e,"component subset of the primary, post-disjointness"
genesets/human/A_dna_damage_response.txt,A,FROZEN,11,11,b666472b7a1c44b6,"component subset of the primary, post-disjointness"
genesets/human/A_nuclear_chromatin.txt,A,FROZEN,1,1,327664f156bf23ee,"component subset of the primary, post-disjointness"
genesets/human/A_proliferation_down.txt,A,FROZEN,2,2,099ca48fea53cf9d,"component subset of the primary, post-disjointness"
genesets/human/A_sender_for_downstream_arrest.txt,A,FROZEN,36,36,1acc785f8c789931,PRE-REGISTERED SENSITIVITY: per-module sender set
genesets/human/A_sender_for_emt_ecm.txt,A,FROZEN,79,79,8b410508d6f370f4,PRE-REGISTERED SENSITIVITY: per-module sender set
genesets/human/A_sender_for_il6_jak_stat3.txt,A,FROZEN,81,81,9437448b56dc5266,PRE-REGISTERED SENSITIVITY: per-module sender set
genesets/human/A_sender_for_interferon_response.txt,A,FROZEN,80,80,fca6d1376b943a89,PRE-REGISTERED SENSITIVITY: per-module sender set
genesets/human/A_sender_for_oxidative_stress.txt,A,FROZEN,79,79,777c07e310783b99,PRE-REGISTERED SENSITIVITY: per-module sender set
genesets/human/A_sender_for_secondary_senescence.txt,A,FROZEN,81,81,9437448b56dc5266,PRE-REGISTERED SENSITIVITY: per-module sender set
genesets/human/A_sender_for_tnfa_nfkb_proximal.txt,A,FROZEN,77,77,f39a39e997b6a2ee,PRE-REGISTERED SENSITIVITY: per-module sender set
genesets/human/A_senescence_curated_nonsecreted.txt,A,FROZEN,13,13,0cc112459c480133,"component subset of the primary, post-disjointness"
genesets/human/B_downstream_arrest.txt,B,FROZEN,231,231,03d94eaa59c44cbe,FROZEN response module (1 of 7)
genesets/human/B_emt_ecm.txt,B,FROZEN,113,113,22850a7e2e642f34,FROZEN response module (1 of 7)
genesets/human/B_il6_jak_stat3.txt,B,FROZEN,71,71,a3d9ef6d40938bea,FROZEN response module (1 of 7)
genesets/human/B_interferon_response.txt,B,FROZEN,126,126,139fba606a414dfb,FROZEN response module (1 of 7)
genesets/human/B_oxidative_stress.txt,B,FROZEN,36,36,9a268fc81856e686,FROZEN response module (1 of 7)
genesets/human/B_secondary_senescence.txt,B,FROZEN,116,116,e38443aac1a9d695,FROZEN response module (1 of 7)
genesets/human/B_tnfa_nfkb_proximal.txt,B,FROZEN,120,120,60ab7752e1d0fdd7,FROZEN response module (1 of 7)
genesets/human/C_ligands.txt,C,FROZEN,13,13,1656e24c2c340e25,FROZEN ligand / receptor list
genesets/human/C_receptors.txt,C,FROZEN,15,15,7519ad733f322e1b,FROZEN ligand / receptor list
genesets/human/D_landmark_vessel_stroma.txt,D,FROZEN,13,13,51a3146017dccf3c,FROZEN vascular/stromal landmark set
genesets/human/D_nuisance_covariates.txt,D,FROZEN,13,n/a,6f47dd57bc4c5ff7,FROZEN covariate NAMES (not genes)
genesets/human/D_spleen_capsule_trabecula.txt,D,FROZEN,18,18,ce9994676759680d,FROZEN A6 compartment marker set (red/white pulp axis)
genesets/human/D_spleen_marginal_zone.txt,D,FROZEN,8,8,6daa90e68e0c030b,FROZEN A6 compartment marker set (red/white pulp axis)
