series,tissue,donor,n_blocks,n_cells
GSE335963,bone marrow,CH02,1,61583
GSE335963,bone marrow,CH15,1,40264
GSE335963,bone marrow,NC03,2,75456
GSE335963,bone marrow,NC05,2,104985
GSE336890,kidney,AIN/23929,1,40589
GSE336890,kidney,REF/L102,2,26450
GSE336890,kidney,ATI/7997,2,24868
GSE336890,kidney,AIN/26646,1,24112
GSE336890,kidney,AIN/704,1,23405
GSE336890,kidney,REF/L117,1,22618
GSE336890,kidney,AIN/20463,1,21376
GSE336890,kidney,ATI/4442,1,20940
GSE336890,kidney,ATI/8145,1,19474
GSE336890,kidney,ATI/24981,1,18748
GSE336890,kidney,REF/L111,1,17195
GSE336890,kidney,ATI/23693,1,16307
GSE336890,kidney,ATI/7751,1,16000
GSE336890,kidney,AIN/26655,1,13803
GSE336890,kidney,REF/L115,1,13349
GSE336890,kidney,ATI/26661,1,12174
GSE336890,kidney,AIN/14022,1,10317
GSE336890,kidney,AIN/16104,1,7912
GSE336890,kidney,AIN/24870,1,5569
GSE336890,kidney,REF/L112,1,2799
