file,tier,n_entries,n_on_panel,note
A6_SenMayo_arrest_reference,A,33,32,
A_SENDER_FINAL_strict,A,33,33,
A_core_arrest,A,6,6,
A_dna_damage_response,A,11,11,
A_nuclear_chromatin,A,1,1,
A_proliferation_down,A,2,2,
A_sender_for_downstream_arrest,A,36,36,
A_sender_for_emt_ecm,A,79,79,
A_sender_for_il6_jak_stat3,A,81,81,
A_sender_for_interferon_response,A,80,80,
A_sender_for_oxidative_stress,A,79,79,
A_sender_for_secondary_senescence,A,81,81,
A_sender_for_tnfa_nfkb_proximal,A,77,77,
A_senescence_curated_nonsecreted,A,13,13,
B_downstream_arrest,B,231,231,
B_emt_ecm,B,113,101,
B_il6_jak_stat3,B,71,69,
B_interferon_response,B,126,121,
B_oxidative_stress,B,36,36,
B_secondary_senescence,B,116,108,
B_tnfa_nfkb_proximal,B,120,113,
C_ligands,C,13,11,
C_receptors,C,15,15,
D_landmark_vessel_stroma,D,13,10,
D_nuisance_covariates,D,13,n/a,"covariate names, not genes"
D_spleen_capsule_trabecula,D,18,15,
D_spleen_marginal_zone,D,8,8,
D_spleen_red_pulp,D,28,23,
D_spleen_white_pulp_follicle,D,13,13,
D_spleen_white_pulp_tzone,D,24,22,
E_genomic_controls,E,21,n/a,"control features, not Gene Expression"
E_housekeeping_expanded,E,8,8,
E_housekeeping_planA,E,1,1,
E_negative_control_codewords,E,609,n/a,"control features, not Gene Expression"
E_negative_control_probes,E,40,n/a,"control features, not Gene Expression"
