regime,bin_um,n_cells,sender_curve,decoy_curve,diff_curve,truth
"easy  (kappa=0, ell/lam=0.25, conf=0)",5.0,117.45833333333333,1.6647619246387952,1.2018077115230372,0.462954213115758,0.8464817248906141
"easy  (kappa=0, ell/lam=0.25, conf=0)",15.0,1448.3333333333333,1.5442114928742168,1.1821535193349975,0.3620579735392193,0.6065306597126334
"easy  (kappa=0, ell/lam=0.25, conf=0)",25.0,1870.0,1.3792811499592055,1.1986509399907523,0.18063020996845314,0.4345982085070782
"easy  (kappa=0, ell/lam=0.25, conf=0)",35.0,1942.6666666666667,1.2462941388166742,1.1802462054188008,0.0660479333978734,0.3114032239145977
"easy  (kappa=0, ell/lam=0.25, conf=0)",45.0,1707.6666666666667,1.1335820915584092,1.1610475820435031,-0.027465490485093946,0.22313016014842982
"easy  (kappa=0, ell/lam=0.25, conf=0)",55.0,1333.9166666666667,1.0260870649818732,1.1281066833224016,-0.10201961834052842,0.1598797460796939
"easy  (kappa=0, ell/lam=0.25, conf=0)",65.0,919.625,0.9698698134882732,1.1187137032142296,-0.1488438897259564,0.11455884399268773
"easy  (kappa=0, ell/lam=0.25, conf=0)",75.0,586.9166666666666,0.9355702804203646,1.0989925029872358,-0.16342222256687122,0.0820849986238988
"easy  (kappa=0, ell/lam=0.25, conf=0)",85.0,338.7083333333333,0.8764808252836237,1.0833901100249113,-0.20690928474128756,0.05881647164242988
"easy  (kappa=0, ell/lam=0.25, conf=0)",95.0,181.0,0.8675441519611612,1.0648132281673075,-0.1972690762061463,0.042143843509276406
"easy  (kappa=0, ell/lam=0.25, conf=0)",105.0,92.5,0.8411044360523274,0.9595081872659454,-0.11840375121361801,0.0301973834223185
"easy  (kappa=0, ell/lam=0.25, conf=0)",115.0,45.875,0.8204087963883507,1.0305739084110415,-0.21016511202269073,0.02163737071949309
"easy  (kappa=0, ell/lam=0.25, conf=0)",125.0,24.375,0.8014608960455303,0.9006424598640076,-0.09918156381847731,0.015503853599009314
"easy  (kappa=0, ell/lam=0.25, conf=0)",135.0,11.541666666666666,0.7130875152852193,0.8583901430928156,-0.14530262780759629,0.011108996538242306
"easy  (kappa=0, ell/lam=0.25, conf=0)",145.0,5.583333333333333,0.6221839690290693,0.6387958809572529,-0.016611911928183676,0.00795994384870645
"easy  (kappa=0, ell/lam=0.25, conf=0)",155.0,2.75,0.6266233839798137,0.512267253179375,0.1143561308004386,0.005703548998007402
"easy  (kappa=0, ell/lam=0.25, conf=0)",165.0,1.375,0.5561105345188879,0.2261061831282023,0.3300043513906856,0.004086771438464067
"easy  (kappa=0, ell/lam=0.25, conf=0)",175.0,0.8333333333333334,0.13063352359144664,0.39230738445814445,-0.2616738608666978,0.0029282996948181888
"easy  (kappa=0, ell/lam=0.25, conf=0)",185.0,0.16666666666666666,1.1813356493621812,0.19798953992107915,0.983346109441102,0.0020982184180809026
"easy  (kappa=0, ell/lam=0.25, conf=0)",195.0,0.125,-0.012174980662803203,0.17132894110625674,-0.18350392176905994,0.0015034391929775724
"easy  (kappa=0, ell/lam=0.25, conf=0)",205.0,0.041666666666666664,0.0,0.03307138054609804,-0.03307138054609804,0.0010772612553122203
"easy  (kappa=0, ell/lam=0.25, conf=0)",215.0,0.0,,-0.03307138054609793,,0.0007718914190992302
"easy  (kappa=0, ell/lam=0.25, conf=0)",225.0,0.0,,,,0.0005530843701478336
"easy  (kappa=0, ell/lam=0.25, conf=0)",235.0,0.0,,,,0.00039630226859990606
"easy  (kappa=0, ell/lam=0.25, conf=0)",245.0,0.0,,,,0.00028396298390325663
"easy  (kappa=0, ell/lam=0.25, conf=0)",255.0,0.0,,,,0.00020346836901064417
"easy  (kappa=0, ell/lam=0.25, conf=0)",265.0,0.0,,,,0.00014579145710750816
"easy  (kappa=0, ell/lam=0.25, conf=0)",275.0,0.0,,,,0.00010446414383170532
"easy  (kappa=0, ell/lam=0.25, conf=0)",285.0,0.0,,,,7.48518298877006e-05
"easy  (kappa=0, ell/lam=0.25, conf=0)",295.0,0.0,,,,5.36336797682804e-05
"moderate (kappa=1.5, ell/lam=1, conf=1)",5.0,94.41666666666667,1.401009008369074,1.1177029930126632,0.28330601535641087,0.8464817248906141
"moderate (kappa=1.5, ell/lam=1, conf=1)",15.0,993.3333333333334,1.1805803820642633,1.0861658542775252,0.09441452778673809,0.6065306597126334
"moderate (kappa=1.5, ell/lam=1, conf=1)",25.0,981.5,0.8578315963685474,0.9860475008083843,-0.12821590443983688,0.4345982085070782
"moderate (kappa=1.5, ell/lam=1, conf=1)",35.0,948.9583333333334,0.6468261270222346,0.8756505579761948,-0.2288244309539602,0.3114032239145977
"moderate (kappa=1.5, ell/lam=1, conf=1)",45.0,892.9583333333334,0.48208307492834623,0.7742437924824205,-0.29216071755407425,0.22313016014842982
"moderate (kappa=1.5, ell/lam=1, conf=1)",55.0,844.125,0.3677588229115452,0.6582091375469968,-0.2904503146354516,0.1598797460796939
"moderate (kappa=1.5, ell/lam=1, conf=1)",65.0,783.75,0.2989385356238486,0.5990967973055191,-0.30015826168167054,0.11455884399268773
"moderate (kappa=1.5, ell/lam=1, conf=1)",75.0,723.5416666666666,0.2664856890619741,0.5425066900290081,-0.27602100096703397,0.0820849986238988
"moderate (kappa=1.5, ell/lam=1, conf=1)",85.0,662.6666666666666,0.21305584671569883,0.5007720081601617,-0.2877161614444628,0.05881647164242988
"moderate (kappa=1.5, ell/lam=1, conf=1)",95.0,591.125,0.18355250296095524,0.5046308868892566,-0.32107838392830135,0.042143843509276406
"moderate (kappa=1.5, ell/lam=1, conf=1)",105.0,523.25,0.17350099738649266,0.48857851281084497,-0.3150775154243523,0.0301973834223185
"moderate (kappa=1.5, ell/lam=1, conf=1)",115.0,458.7083333333333,0.13693110705415795,0.5176735155530531,-0.3807424084988951,0.02163737071949309
"moderate (kappa=1.5, ell/lam=1, conf=1)",125.0,398.75,0.15568382629748528,0.5231885206401063,-0.36750469434262106,0.015503853599009314
"moderate (kappa=1.5, ell/lam=1, conf=1)",135.0,337.125,0.16219281692676263,0.48411851281435003,-0.3219256958875874,0.011108996538242306
"moderate (kappa=1.5, ell/lam=1, conf=1)",145.0,278.3333333333333,0.13721223893262674,0.5641334710109357,-0.42692123207830895,0.00795994384870645
"moderate (kappa=1.5, ell/lam=1, conf=1)",155.0,224.83333333333334,0.11758360439570871,0.4524565185430452,-0.3348729141473365,0.005703548998007402
"moderate (kappa=1.5, ell/lam=1, conf=1)",165.0,178.70833333333334,0.1536642706693116,0.3642649663307459,-0.2106006956614343,0.004086771438464067
"moderate (kappa=1.5, ell/lam=1, conf=1)",175.0,143.70833333333334,0.12259673919458587,0.16066523949697054,-0.038068500302384664,0.0029282996948181888
"moderate (kappa=1.5, ell/lam=1, conf=1)",185.0,110.20833333333333,0.09718376539571655,0.6536453900514089,-0.5564616246556924,0.0020982184180809026
"moderate (kappa=1.5, ell/lam=1, conf=1)",195.0,87.58333333333333,0.13930716632603002,0.1798775623838007,-0.040570396057770686,0.0015034391929775724
"moderate (kappa=1.5, ell/lam=1, conf=1)",205.0,70.875,0.12822819499408622,0.11444543087348052,0.013782764120605695,0.0010772612553122203
"moderate (kappa=1.5, ell/lam=1, conf=1)",215.0,55.458333333333336,0.10072287399721178,0.5741587640724441,-0.47343589007523235,0.0007718914190992302
"moderate (kappa=1.5, ell/lam=1, conf=1)",225.0,45.666666666666664,0.18848694221492754,-0.4337118233604872,0.6221987655754148,0.0005530843701478336
"moderate (kappa=1.5, ell/lam=1, conf=1)",235.0,35.375,0.20037892946374072,-0.11695159851498504,0.31733052797872574,0.00039630226859990606
"moderate (kappa=1.5, ell/lam=1, conf=1)",245.0,26.791666666666668,0.17612680551224877,-0.0877958578343232,0.263922663346572,0.00028396298390325663
"moderate (kappa=1.5, ell/lam=1, conf=1)",255.0,21.916666666666668,0.07354907642836885,-0.02933401571537747,0.10288309214374632,0.00020346836901064417
"moderate (kappa=1.5, ell/lam=1, conf=1)",265.0,17.458333333333332,-0.04871219732022325,-0.020810899520751935,-0.027901297799471314,0.00014579145710750816
"moderate (kappa=1.5, ell/lam=1, conf=1)",275.0,13.583333333333334,-0.14700277101665277,,,0.00010446414383170532
"moderate (kappa=1.5, ell/lam=1, conf=1)",285.0,9.791666666666666,-0.3942186982935482,,,7.48518298877006e-05
"moderate (kappa=1.5, ell/lam=1, conf=1)",295.0,8.75,-0.2775591559801597,,,5.36336797682804e-05
"hard  (kappa=3, ell/lam=4, conf=1)",5.0,58.541666666666664,1.2003648520042551,1.8875372810731812,-0.6871724290689261,0.8464817248906141
