field,kind,n_sections,I_raw_mean,I_raw_lo,I_raw_hi,I_raw_p,I_raw_min,I_raw_max,max_p_rand,max_p_sim,I_ctcentred_mean,I_ctcentred_lo,I_ctcentred_hi,I_ctcentred_p,I_ctcentred_min,I_ctcentred_max,a7_base_mean,a7_base_lo,a7_base_hi,a7_base_p,a7_n6_mean,a7_n6_lo,a7_n6_hi,a7_n6_p,a7_n5_mean,a7_n5_lo,a7_n5_hi,a7_n5_p,a7_n6n5_mean,a7_n6n5_lo,a7_n6n5_hi,a7_n6n5_p,a7_n2_mean,a7_n2_lo,a7_n2_hi,a7_n2_p
all_controls,control,11,0.04552,0.03018,0.06087,6e-05,0.01102,0.08943,9.01e-13,0.001,0.04241,0.02648,0.05833,0.000144,0.0108,0.08905,-0.07444,-0.13064,-0.01824,0.0145,-0.06246,-0.10849,-0.01644,0.0128,0.00376,-0.01856,0.02607,0.715,0.00529,-0.01619,0.02677,0.595,-0.06424,-0.11131,-0.01717,0.0124
genomic_control,control,11,0.00421,0.00219,0.00623,0.000913,0.0003,0.01081,0.802,0.806,0.00403,0.0019,0.00616,0.00178,5e-05,0.01082,-0.03069,-0.05576,-0.00562,0.0213,-0.02951,-0.05456,-0.00446,0.0254,0.01077,-0.01251,0.03405,0.327,0.01133,-0.01194,0.0346,0.303,-0.02624,-0.05012,-0.00236,0.0344
neg_control_codeword,control,11,0.04213,0.02813,0.05614,5.35e-05,0.01064,0.08078,5.2e-12,0.001,0.03911,0.02464,0.05357,0.000128,0.01029,0.08008,-0.06043,-0.10854,-0.01232,0.0188,-0.05197,-0.09175,-0.01219,0.0155,0.00174,-0.01719,0.02067,0.842,0.00263,-0.0154,0.02065,0.752,-0.05118,-0.0922,-0.01016,0.0195
neg_control_probe,control,11,0.00583,0.00331,0.00835,0.000423,0.00095,0.01357,0.537,0.577,0.00536,0.00275,0.00796,0.001,0.00012,0.01351,-0.02248,-0.05271,0.00776,0.129,-0.02172,-0.05111,0.00767,0.131,0.00149,-0.01607,0.01905,0.854,0.00155,-0.01604,0.01913,0.849,-0.01941,-0.04637,0.00755,0.14
neg_probe_rate,control,11,0.00475,-0.001,0.01049,0.0954,-0.00125,0.0288,0.965,0.958,0.00427,-0.00129,0.00982,0.118,-0.00184,0.02726,0.01128,-0.00848,0.03104,0.232,0.01125,-0.00846,0.03096,0.232,0.00998,-0.00557,0.02552,0.183,0.00966,-0.00598,0.0253,0.199,0.01149,-0.00802,0.03101,0.219
downstream_arrest,module,11,0.08516,0.0645,0.10582,3.44e-06,0.03825,0.13338,2.87e-223,0.001,0.05868,0.04403,0.07333,4.46e-06,0.02873,0.10728,0.09895,0.0279,0.17001,0.0112,0.0335,-0.0136,0.0806,0.144,0.05224,0.01591,0.08856,0.00943,0.03069,0.00691,0.05446,0.0165,0.09783,0.03212,0.16353,0.00778
emt_ecm,module,11,0.24371,0.191,0.29642,1.21e-06,0.15496,0.4304,0,0.001,0.14306,0.11106,0.17506,1.65e-06,0.07445,0.21801,0.34365,0.25576,0.43154,5.54e-06,0.15523,0.10223,0.20822,6.67e-05,-0.01617,-0.04139,0.00905,0.184,-0.02496,-0.04652,-0.00339,0.0275,0.32113,0.23804,0.40422,6.14e-06
il6_jak_stat3,module,11,0.12047,0.07692,0.16402,0.000106,0.02572,0.20276,9.06e-82,0.001,0.10013,0.07477,0.12549,5.07e-06,0.04434,0.16033,0.51587,0.39148,0.64027,3.26e-06,0.2604,0.1965,0.3243,3.82e-06,0.10188,0.05725,0.14652,0.000474,0.04924,0.01611,0.08237,0.00786,0.49956,0.38148,0.61764,2.72e-06
interferon_response,module,11,0.1719,0.1343,0.2095,1.34e-06,0.09263,0.28117,0,0.001,0.1382,0.10961,0.16679,8.02e-07,0.09141,0.20412,0.39442,0.26926,0.51958,3.62e-05,0.13114,0.0777,0.18458,0.000274,0.04366,-0.02574,0.11307,0.191,0.00431,-0.0438,0.05242,0.846,0.37935,0.26104,0.49765,3.12e-05
oxidative_stress,module,11,0.15015,0.10853,0.19178,1.13e-05,0.08588,0.29013,0,0.001,0.08102,0.0659,0.09614,3.06e-07,0.05031,0.13432,-0.21598,-0.29478,-0.13717,0.000115,-0.11897,-0.17304,-0.0649,0.000621,0.05331,0.01577,0.09085,0.0101,0.05537,0.0231,0.08763,0.00336,-0.20301,-0.27798,-0.12805,0.000126
