field,kind,weights,mean_neighbours,islands,I_mean,I_min,I_max
all_controls,control,knn4,4.0,0,0.04519587889399531,0.0122458714351001,0.0906808675010782
all_controls,control,knn6,6.0,0,0.04552037792540082,0.0110228394637273,0.0894298946034299
all_controls,control,knn10,10.0,0,0.044660816552390646,0.010081501913946,0.0857741460150869
all_controls,control,band30um,16.05732024194268,143,0.04632725118596685,0.0110798088849304,0.0901025086759546
all_controls,control,knn20,20.0,0,0.042339096637412664,0.0109027624664259,0.0760154913499376
all_controls,control,band50um,43.38938586575926,61,0.04208557992435791,0.0093615658992074,0.0766702629851558
all_controls,control,band100um,165.98540087353066,29,0.03533543971401684,0.0075022887203409,0.0626960383590573
genomic_control,control,knn4,4.0,0,0.004493939439638581,0.0003510502712581,0.0114649446664826
genomic_control,control,knn6,6.0,0,0.004208783994442491,0.0003032165481243,0.0108095536596718
genomic_control,control,knn10,10.0,0,0.0036536645612104276,0.0003238071495098,0.0091700890038476
genomic_control,control,band30um,16.05732024194268,143,0.003710955968021261,-2.9842236175732637e-05,0.0089741510782108
genomic_control,control,knn20,20.0,0,0.0032622818584686366,0.000468073167355,0.0099089796595989
genomic_control,control,band50um,43.38938586575926,61,0.0032936668904949822,0.0001487444877082,0.0085937857076225
genomic_control,control,band100um,165.98540087353066,29,0.0026170043937048543,0.0007276463990914,0.0070826654963203
neg_control_codeword,control,knn4,4.0,0,0.041495637202011174,0.0101472097898658,0.0835818270842009
neg_control_codeword,control,knn6,6.0,0,0.042134895939769317,0.0106429607450261,0.0807805433307737
neg_control_codeword,control,knn10,10.0,0,0.04148068497456638,0.0115643813919629,0.0777404734830964
neg_control_codeword,control,band30um,16.05732024194268,143,0.042805490362808236,0.012725630839059,0.0820235603753969
neg_control_codeword,control,knn20,20.0,0,0.03946078059220963,0.0107813537369051,0.0702748694847812
neg_control_codeword,control,band50um,43.38938586575926,61,0.03925551092274678,0.0092188655100023,0.0711765032422719
neg_control_codeword,control,band100um,165.98540087353066,29,0.03318208997600592,0.00809724265958,0.0567582618867879
neg_control_probe,control,knn4,4.0,0,0.006430550764501864,0.0021851840257505,0.014514331847686
neg_control_probe,control,knn6,6.0,0,0.005831459454532791,0.0009529268419356,0.0135680076251858
neg_control_probe,control,knn10,10.0,0,0.005651668294666282,0.0017026442620644,0.0132471927719725
neg_control_probe,control,band30um,16.05732024194268,143,0.005912036695173081,0.0016517168702329,0.0151509168298804
neg_control_probe,control,knn20,20.0,0,0.00534451428177831,0.0013539664939066,0.0114310317514294
neg_control_probe,control,band50um,43.38938586575926,61,0.005572124738038673,0.0010752965554463,0.0111965639015336
neg_control_probe,control,band100um,165.98540087353066,29,0.0046483072801991815,0.001099911874978,0.0086270309566549
neg_probe_rate,control,knn4,4.0,0,0.004951967900295894,-0.0011773366156084,0.0243646741512461
neg_probe_rate,control,knn6,6.0,0,0.004745523154080013,-0.0012517169178683,0.0287956491312414
neg_probe_rate,control,knn10,10.0,0,0.003701638013181718,-0.0006339868213546,0.0191972244891259
neg_probe_rate,control,band30um,16.05732024194268,143,0.0034751265397311186,-0.0006193602361888,0.0164298337831945
neg_probe_rate,control,knn20,20.0,0,0.002863102525381364,-0.0002883589413169,0.0112684943808184
neg_probe_rate,control,band50um,43.38938586575926,61,0.002419543708077864,0.0001886559159141,0.0084834171206562
neg_probe_rate,control,band100um,165.98540087353066,29,0.0020541055255880003,0.000211908731935,0.0049592228937606
downstream_arrest,module,knn4,4.0,0,0.09648507358433335,0.0414174186988706,0.1402409425599682
downstream_arrest,module,knn6,6.0,0,0.08516061752421429,0.0382535503340936,0.1333828953738511
downstream_arrest,module,knn10,10.0,0,0.07176643845528033,0.0340625499967252,0.1216177135748429
downstream_arrest,module,band30um,16.05732024194268,143,0.06049616755646929,0.0293450680283157,0.1059326714694834
downstream_arrest,module,knn20,20.0,0,0.056166697696579296,0.0288785112312472,0.104321807641307
downstream_arrest,module,band50um,43.38938586575926,61,0.04328474345062327,0.0232194563722678,0.0865089599793127
downstream_arrest,module,band100um,165.98540087353066,29,0.02892225654454891,0.014033199715598,0.0628659191442304
emt_ecm,module,knn4,4.0,0,0.26555799435648153,0.180563362576251,0.4482193235962156
emt_ecm,module,knn6,6.0,0,0.24370996337797288,0.1549638214279147,0.4303950417061111
emt_ecm,module,knn10,10.0,0,0.21837932969994653,0.1244286042907725,0.4056509602186601
emt_ecm,module,band30um,16.05732024194268,143,0.19279633520757322,0.089551690402524,0.3716198298738715
emt_ecm,module,knn20,20.0,0,0.18813651052398922,0.0962043548870293,0.3691181744207727
emt_ecm,module,band50um,43.38938586575926,61,0.15423454513723636,0.0634303983476662,0.3199300154049528
emt_ecm,module,band100um,165.98540087353066,29,0.1054894614325617,0.0385692595911167,0.2449566697377453
il6_jak_stat3,module,knn4,4.0,0,0.11864945074354205,0.0063408212681646,0.2097144896015531
il6_jak_stat3,module,knn6,6.0,0,0.12046849006916018,0.0257188064449,0.2027572334270991
il6_jak_stat3,module,knn10,10.0,0,0.11694492922709611,0.0344214808584422,0.1925222733663431
il6_jak_stat3,module,band30um,16.05732024194268,143,0.09956703644597299,0.029706434988369,0.1673569534035198
il6_jak_stat3,module,knn20,20.0,0,0.10102811813369433,0.0327998723063958,0.1651023617218049
il6_jak_stat3,module,band50um,43.38938586575926,61,0.07570120437279083,0.0272216763389343,0.1253126307845319
il6_jak_stat3,module,band100um,165.98540087353066,29,0.04360011980896743,0.0186067527950964,0.0847940868479635
interferon_response,module,knn4,4.0,0,0.17933573942031517,0.0895012527299106,0.2960018411738477
interferon_response,module,knn6,6.0,0,0.1719018023577898,0.092633918444706,0.28116509248509
interferon_response,module,knn10,10.0,0,0.15943870640012614,0.0886578816670185,0.2600046193493551
interferon_response,module,band30um,16.05732024194268,143,0.13570207172221868,0.0790701137403708,0.2215121025548302
interferon_response,module,knn20,20.0,0,0.13668103307006624,0.0780597790678584,0.2291704466182462
interferon_response,module,band50um,43.38938586575926,61,0.10133403440290584,0.0631946564067058,0.170355990024047
interferon_response,module,band100um,165.98540087353066,29,0.05591848958814865,0.0345454307388853,0.0952731630399231
oxidative_stress,module,knn4,4.0,0,0.15530357470240372,0.0791332683438492,0.2899559017043252
oxidative_stress,module,knn6,6.0,0,0.15015205016605285,0.0858846505918472,0.2901304996774285
oxidative_stress,module,knn10,10.0,0,0.1391596909620796,0.0791159668750673,0.2830783409424562
oxidative_stress,module,band30um,16.05732024194268,143,0.12461509025595899,0.0579084345144722,0.2657624266929321
oxidative_stress,module,knn20,20.0,0,0.12159906189558178,0.0626499202367283,0.2617744118562004
oxidative_stress,module,band50um,43.38938586575926,61,0.10207255069957576,0.0411594997642733,0.2312073935062492
oxidative_stress,module,band100um,165.98540087353066,29,0.07203778596244273,0.0260906787348806,0.175353165912958
secondary_senescence,module,knn4,4.0,0,0.09398916762415349,0.0498235856104996,0.1612030604935713
secondary_senescence,module,knn6,6.0,0,0.08721788662399223,0.0488234188247808,0.1469808322935595
secondary_senescence,module,knn10,10.0,0,0.07860919853828406,0.0486356038819654,0.1299481156921414
secondary_senescence,module,band30um,16.05732024194268,143,0.06841646664352895,0.0403084341950116,0.1218300065779856
secondary_senescence,module,knn20,20.0,0,0.06669929558680278,0.0443082704549956,0.1059834708834317
secondary_senescence,module,band50um,43.38938586575926,61,0.05446105456498578,0.0271182023170305,0.092571913648124
secondary_senescence,module,band100um,165.98540087353066,29,0.03832711067164608,0.0152183273189274,0.0595759838182872
tnfa_nfkb_proximal,module,knn4,4.0,0,0.1977472225681414,0.0419207363413139,0.4038050040447518
tnfa_nfkb_proximal,module,knn6,6.0,0,0.1903055796645103,0.0517434520616093,0.3938132408532657
tnfa_nfkb_proximal,module,knn10,10.0,0,0.17565497530856053,0.0566387858157283,0.3747463796886797
tnfa_nfkb_proximal,module,band30um,16.05732024194268,143,0.15106366411558045,0.0478360397027669,0.3459725394646558
tnfa_nfkb_proximal,module,knn20,20.0,0,0.1492705339374126,0.050954671013504,0.3450441818597692
tnfa_nfkb_proximal,module,band50um,43.38938586575926,61,0.11210574119838124,0.0364939861183912,0.296908806047189
tnfa_nfkb_proximal,module,band100um,165.98540087353066,29,0.06354511583869343,0.0196732918434566,0.2188601495627922
cell_area,technical,knn4,4.0,0,0.06512066817313224,0.0020238044470306,0.1343728350153125
cell_area,technical,knn6,6.0,0,0.08551605709491082,0.0423703650360483,0.1307475225425236
cell_area,technical,knn10,10.0,0,0.09419005041086241,0.0622191384786947,0.1425785416345562
cell_area,technical,band30um,16.05732024194268,143,0.0853084777061669,0.0569076617978276,0.138638675787416
cell_area,technical,knn20,20.0,0,0.08281552706135302,0.0553398566583895,0.1346993847520085
cell_area,technical,band50um,43.38938586575926,61,0.07151646870745026,0.0438246548118206,0.1261602432069719
