section,module,n_cells,n_p95_flag_diff_rounded_vs_committed,frac
SPLN24,downstream_arrest,393202,7,1.780255441223595e-05
SPLN24,emt_ecm,393202,6,1.52593323533451e-05
SPLN24,il6_jak_stat3,393202,7,1.780255441223595e-05
SPLN24,interferon_response,393202,11,2.797544264779935e-05
SPLN24,oxidative_stress,393202,5,1.271611029445425e-05
SPLN24,secondary_senescence,393202,7,1.780255441223595e-05
SPLN24,tnfa_nfkb_proximal,393202,13,3.306188676558105e-05
SPLN24,tierA_p90,393202,10,2.54322205889085e-05
SPLN24,tierA_p95,393202,4,1.01728882355634e-05
SPLN24,tierA_p99,393202,2,5.0864441177817e-06
