section,threshold,A,B,n,n_A,n_B,n_both,jaccard,chance_jaccard,ratio
SPLN07,global_top5,tierA_score,senepy_score,196048,9797,9803,126,0.00647,0.02516,0.257
SPLN07,global_top5,tierA_score,deepscence_score,206979,10349,10342,426,0.02102,0.02552,0.824
SPLN07,global_top5,tierA_score,cdkn1a_counts,206979,10349,4035,148,0.0104,0.01417,0.734
SPLN07,global_top5,tierA_score,abs_deepscence_score,206979,10349,10331,1290,0.06653,0.02664,2.497
SPLN07,global_top5,senepy_score,deepscence_score,196048,9803,9803,128,0.00657,0.02517,0.261
SPLN07,global_top5,senepy_score,cdkn1a_counts,196048,9803,3916,359,0.02687,0.01466,1.833
SPLN07,global_top5,senepy_score,abs_deepscence_score,196048,9803,9784,104,0.00534,0.02511,0.213
SPLN07,global_top5,deepscence_score,cdkn1a_counts,206979,10342,4035,1351,0.10372,0.01548,6.701
SPLN07,global_top5,deepscence_score,abs_deepscence_score,206979,10342,10331,4,0.00019,0.02497,0.008
SPLN07,global_top5,cdkn1a_counts,abs_deepscence_score,206979,4035,10331,8,0.00056,0.01403,0.04
SPLN14,global_top5,tierA_score,senepy_score,193521,9667,9676,131,0.00682,0.02516,0.271
SPLN14,global_top5,tierA_score,deepscence_score,193521,9667,9660,618,0.03303,0.02579,1.281
SPLN14,global_top5,tierA_score,cdkn1a_counts,193521,9667,2954,117,0.00936,0.0118,0.793
SPLN14,global_top5,tierA_score,abs_deepscence_score,193521,9667,9673,515,0.02736,0.02567,1.066
SPLN14,global_top5,senepy_score,deepscence_score,193521,9676,9660,233,0.0122,0.02528,0.482
SPLN14,global_top5,senepy_score,cdkn1a_counts,193521,9676,2954,403,0.03296,0.01208,2.729
SPLN14,global_top5,senepy_score,abs_deepscence_score,193521,9676,9673,66,0.00342,0.02508,0.136
SPLN14,global_top5,deepscence_score,cdkn1a_counts,193521,9660,2954,1281,0.11303,0.01301,8.687
SPLN14,global_top5,deepscence_score,abs_deepscence_score,193521,9660,9673,0,0.0,0.02498,0.0
SPLN14,global_top5,cdkn1a_counts,abs_deepscence_score,193521,2954,9673,22,0.00175,0.01171,0.149
SPLN21,global_top5,tierA_score,senepy_score,147775,7387,7388,176,0.01206,0.0253,0.477
SPLN21,global_top5,tierA_score,deepscence_score,150516,7526,7525,325,0.02207,0.02555,0.864
SPLN21,global_top5,tierA_score,cdkn1a_counts,150516,7526,3451,150,0.01385,0.01594,0.869
SPLN21,global_top5,tierA_score,abs_deepscence_score,150516,7526,7508,594,0.04114,0.026,1.582
SPLN21,global_top5,senepy_score,deepscence_score,147775,7388,7386,183,0.01254,0.02531,0.496
SPLN21,global_top5,senepy_score,cdkn1a_counts,147775,7388,3401,738,0.07343,0.01692,4.34
SPLN21,global_top5,senepy_score,abs_deepscence_score,147775,7388,7384,101,0.00688,0.02516,0.274
SPLN21,global_top5,deepscence_score,cdkn1a_counts,150516,7525,3451,945,0.09421,0.0172,5.477
SPLN21,global_top5,deepscence_score,abs_deepscence_score,150516,7525,7508,0,0.0,0.02497,0.0
SPLN21,global_top5,cdkn1a_counts,abs_deepscence_score,150516,3451,7508,10,0.00091,0.01572,0.058
SPLN24,global_top5,tierA_score,senepy_score,304702,15236,15236,136,0.00448,0.02511,0.179
SPLN24,global_top5,tierA_score,deepscence_score,322209,16104,16109,1586,0.05178,0.02629,1.97
SPLN24,global_top5,tierA_score,cdkn1a_counts,322209,16104,3699,119,0.00605,0.00939,0.644
SPLN24,global_top5,tierA_score,abs_deepscence_score,322209,16104,16084,567,0.01793,0.02542,0.705
SPLN24,global_top5,senepy_score,deepscence_score,304702,15236,15236,260,0.00861,0.02522,0.341
SPLN24,global_top5,senepy_score,cdkn1a_counts,304702,15236,3235,432,0.02395,0.00897,2.671
SPLN24,global_top5,senepy_score,abs_deepscence_score,304702,15236,15198,24,0.00079,0.02499,0.032
SPLN24,global_top5,deepscence_score,cdkn1a_counts,322209,16109,3699,653,0.03409,0.00965,3.531
SPLN24,global_top5,deepscence_score,abs_deepscence_score,322209,16109,16084,0,0.0,0.02498,0.0
SPLN24,global_top5,cdkn1a_counts,abs_deepscence_score,322209,3699,16084,0,0.0,0.00933,0.0
SPLN30,global_top5,tierA_score,senepy_score,233748,11680,11688,172,0.00742,0.02518,0.295
SPLN30,global_top5,tierA_score,deepscence_score,233748,11680,11688,820,0.03637,0.0259,1.404
SPLN30,global_top5,tierA_score,cdkn1a_counts,233748,11680,3263,121,0.00816,0.011,0.742
