section,seed_a,seed_b,n_a,n_b,n_both,jaccard_top5
SPLN07,20260901,20260902,10347,10355,4198,0.25436
SPLN07,20260901,20260903,10347,10347,6411,0.44886
SPLN07,20260901,20260904,10347,10334,7451,0.56319
SPLN07,20260901,20260905,10347,10343,3973,0.23766
SPLN07,20260902,20260903,10355,10347,2220,0.12012
SPLN07,20260902,20260904,10355,10334,3261,0.18711
SPLN07,20260902,20260905,10355,10343,4410,0.27075
SPLN07,20260903,20260904,10347,10334,4821,0.30397
SPLN07,20260903,20260905,10347,10343,4387,0.26909
SPLN07,20260904,20260905,10334,10343,4488,0.27723
SPLN14,20260901,20260902,9638,9645,3119,0.19296
SPLN14,20260901,20260903,9638,9627,1311,0.07302
SPLN14,20260901,20260904,9638,9658,552,0.02945
SPLN14,20260901,20260905,9638,9674,2914,0.1777
SPLN14,20260902,20260903,9645,9627,1191,0.06587
SPLN14,20260902,20260904,9645,9658,3065,0.18875
SPLN14,20260902,20260905,9645,9674,2834,0.17191
SPLN14,20260903,20260904,9627,9658,5731,0.42283
SPLN14,20260903,20260905,9627,9674,1606,0.09076
SPLN14,20260904,20260905,9658,9674,2558,0.1525
SPLN21,20260901,20260902,7514,7515,2420,0.19193
SPLN21,20260901,20260903,7514,7512,5678,0.6074
SPLN21,20260901,20260904,7514,7526,6538,0.769
SPLN21,20260901,20260905,7514,7525,3878,0.34746
SPLN21,20260902,20260903,7515,7512,1434,0.1055
SPLN21,20260902,20260904,7515,7526,2417,0.19146
SPLN21,20260902,20260905,7515,7525,3435,0.29599
SPLN21,20260903,20260904,7512,7526,5022,0.5014
SPLN21,20260903,20260905,7512,7525,3979,0.35983
SPLN21,20260904,20260905,7526,7525,3517,0.30492
SPLN24,20260901,20260902,16114,16114,14006,0.76863
SPLN24,20260901,20260903,16114,16114,14404,0.80812
SPLN24,20260901,20260904,16114,16103,14421,0.81035
SPLN24,20260901,20260905,16114,16116,12263,0.61416
SPLN24,20260902,20260903,16114,16114,13693,0.73876
SPLN24,20260902,20260904,16114,16103,13722,0.74193
SPLN24,20260902,20260905,16114,16116,11194,0.53214
SPLN24,20260903,20260904,16114,16103,13769,0.74637
SPLN24,20260903,20260905,16114,16116,11904,0.58565
SPLN24,20260904,20260905,16103,16116,12499,0.63382
SPLN30,20260901,20260902,11648,11644,5315,0.29566
SPLN30,20260901,20260903,11648,11650,3630,0.18456
SPLN30,20260901,20260904,11648,11669,2457,0.11779
SPLN30,20260901,20260905,11648,11683,3117,0.1542
SPLN30,20260902,20260903,11644,11650,2827,0.13812
SPLN30,20260902,20260904,11644,11669,4648,0.24902
SPLN30,20260902,20260905,11644,11683,3201,0.15905
SPLN30,20260903,20260904,11650,11669,7100,0.43776
SPLN30,20260903,20260905,11650,11683,3891,0.20013
SPLN30,20260904,20260905,11669,11683,2419,0.11556
SPLN43,20260901,20260902,9119,9127,3155,0.20907
SPLN43,20260901,20260903,9119,9133,2611,0.16693
SPLN43,20260901,20260904,9119,9132,1887,0.11531
SPLN43,20260901,20260905,9119,9126,2576,0.1644
SPLN43,20260902,20260903,9127,9133,3335,0.22345
SPLN43,20260902,20260904,9127,9132,5493,0.43028
SPLN43,20260902,20260905,9127,9126,3723,0.25623
SPLN43,20260903,20260904,9133,9132,5151,0.39279
SPLN43,20260903,20260905,9133,9126,3519,0.23874
SPLN43,20260904,20260905,9132,9126,3334,0.2234
SPLN44,20260901,20260902,10657,10654,106,0.005
SPLN44,20260901,20260903,10657,10651,66,0.00311
SPLN44,20260901,20260904,10657,10649,74,0.00349
SPLN44,20260901,20260905,10657,10652,2633,0.14098
SPLN44,20260902,20260903,10654,10651,9312,0.77645
SPLN44,20260902,20260904,10654,10649,9446,0.79666
SPLN44,20260902,20260905,10654,10652,279,0.01327
SPLN44,20260903,20260904,10651,10649,9935,0.87418
SPLN44,20260903,20260905,10651,10652,217,0.01029
SPLN44,20260904,20260905,10649,10652,216,0.01024
