section,seed_a,seed_b,pearson_r_raw,pearson_r_aligned
SPLN07,20260901,20260902,0.57001,0.57001
SPLN07,20260901,20260903,-0.84316,0.84316
SPLN07,20260901,20260904,0.95567,0.95567
SPLN07,20260901,20260905,0.62652,0.62652
SPLN07,20260902,20260903,-0.47635,0.47635
SPLN07,20260902,20260904,0.51067,0.51067
SPLN07,20260902,20260905,0.68993,0.68993
SPLN07,20260903,20260904,-0.80515,0.80515
SPLN07,20260903,20260905,-0.77029,0.77029
SPLN07,20260904,20260905,0.60807,0.60807
SPLN14,20260901,20260902,-0.1197,-0.1197
SPLN14,20260901,20260903,-0.33377,-0.33377
SPLN14,20260901,20260904,-0.44171,-0.44171
SPLN14,20260901,20260905,-0.22436,-0.22436
SPLN14,20260902,20260903,0.19783,0.19783
SPLN14,20260902,20260904,0.31596,0.31596
SPLN14,20260902,20260905,0.43306,0.43306
SPLN14,20260903,20260904,0.86207,0.86207
SPLN14,20260903,20260905,0.33673,0.33673
SPLN14,20260904,20260905,0.43913,0.43913
SPLN21,20260901,20260902,0.45216,0.45216
SPLN21,20260901,20260903,0.94718,0.94718
SPLN21,20260901,20260904,0.97455,0.97455
SPLN21,20260901,20260905,0.72255,0.72255
SPLN21,20260902,20260903,0.45565,0.45565
SPLN21,20260902,20260904,0.47305,0.47305
SPLN21,20260902,20260905,0.6612,0.6612
SPLN21,20260903,20260904,0.9372,0.9372
SPLN21,20260903,20260905,0.78639,0.78639
SPLN21,20260904,20260905,0.69739,0.69739
SPLN24,20260901,20260902,0.98604,0.98604
SPLN24,20260901,20260903,0.99716,0.99716
SPLN24,20260901,20260904,0.998,0.998
SPLN24,20260901,20260905,0.98033,0.98033
SPLN24,20260902,20260903,0.98427,0.98427
SPLN24,20260902,20260904,0.9895,0.9895
SPLN24,20260902,20260905,0.95416,0.95416
SPLN24,20260903,20260904,0.99517,0.99517
SPLN24,20260903,20260905,0.97927,0.97927
SPLN24,20260904,20260905,0.97907,0.97907
SPLN30,20260901,20260902,-0.10026,-0.10026
SPLN30,20260901,20260903,-0.24363,-0.24363
SPLN30,20260901,20260904,-0.37992,-0.37992
SPLN30,20260901,20260905,-0.18917,-0.18917
SPLN30,20260902,20260903,0.33994,0.33994
SPLN30,20260902,20260904,0.4975,0.4975
SPLN30,20260902,20260905,0.31515,0.31515
SPLN30,20260903,20260904,0.82643,0.82643
SPLN30,20260903,20260905,0.45249,0.45249
SPLN30,20260904,20260905,0.34333,0.34333
SPLN43,20260901,20260902,-0.12986,-0.12986
SPLN43,20260901,20260903,-0.22443,-0.22443
SPLN43,20260901,20260904,-0.36514,-0.36514
SPLN43,20260901,20260905,-0.30472,-0.30472
SPLN43,20260902,20260903,0.55311,0.55311
SPLN43,20260902,20260904,0.75428,0.75428
SPLN43,20260902,20260905,0.3735,0.3735
SPLN43,20260903,20260904,0.765,0.765
SPLN43,20260903,20260905,0.39571,0.39571
SPLN43,20260904,20260905,0.34433,0.34433
SPLN44,20260901,20260902,0.03537,0.03537
SPLN44,20260901,20260903,0.03027,0.03027
SPLN44,20260901,20260904,-0.00575,-0.00575
SPLN44,20260901,20260905,0.66101,0.66101
SPLN44,20260902,20260903,0.98443,0.98443
SPLN44,20260902,20260904,0.98385,0.98385
SPLN44,20260902,20260905,0.41149,0.41149
SPLN44,20260903,20260904,0.99834,0.99834
SPLN44,20260903,20260905,0.37297,0.37297
SPLN44,20260904,20260905,0.3504,0.3504
