section,arm,week,call,null,scope,n_senders,n_cells,occ_frac_bbox,tissue_frac_bbox,shift_radius_um,real_median_nbrs,null_median_nbrs,frac_retaining_a_neighbour,frac_retaining_a_neighbour_all_shifted,frac_senders_retained,frac_cells_retained,frac_in_occupancy,median_displacement_um
SPLN07,?,,tierAmg_p95,N3_var,whole section (tissue window W),10352,227360,0.6253,0.6428,2071.5,446.0,435.05,1.0,0.6323464064914992,0.5869348918083461,0.6184317821956368,0.5793759659969088,1343.8545127842567
SPLN07,?,,tierAmg_p95,N4_var,whole section (tissue window W),10352,227360,0.6253,0.6428,2071.5,446.0,434.5,1.0,0.8414364374034002,0.797657457496136,0.8017258972554538,0.7777047913446677,1905.4618401013681
SPLN14,?,,tierAmg_p95,N3_var,whole section (tissue window W),11612,283628,0.7164,0.7336,2400.1,458.0,440.8,1.0,0.6107388908026181,0.5766749913882191,0.5778590266123232,0.5688942473303479,1661.3254680740454
SPLN14,?,,tierAmg_p95,N4_var,whole section (tissue window W),11612,283628,0.7164,0.7336,2400.1,458.0,444.475,1.0,0.8977824664140543,0.8660825008611781,0.8644167712637681,0.8502798828797797,2557.3974081970564
SPLN21,?,,tierAmg_p95,N3_var,whole section (tissue window W),8536,196142,0.6567,0.6887,1750.1,476.0,469.4,0.9999657609101311,0.7070056232427367,0.6431173851921275,0.6299504950495048,0.622955716963449,1201.12849222882
SPLN21,?,,tierAmg_p95,N4_var,whole section (tissue window W),8536,196142,0.6567,0.6887,1750.1,476.0,470.275,0.9999927420525475,0.865633786316776,0.8203198219306467,0.8033014346748782,0.8006619025304593,1545.8473957523456
SPLN24,?,,tierAmg_p95,N3_var,whole section (tissue window W),16482,393202,0.7091,0.7183,2181.5,639.0,619.675,1.0,0.7015683776240748,0.6622406261376047,0.6671174103895707,0.6619038951583545,1274.9060022325457
SPLN24,?,,tierAmg_p95,N4_var,whole section (tissue window W),16482,393202,0.7091,0.7183,2181.5,639.0,624.725,1.0,0.7953464385390123,0.7626471302026453,0.7676750118259826,0.7558093677951705,2063.8205070572594
SPLN30,?,,tierAmg_p95,N3_var,whole section (tissue window W),11688,291577,0.6085,0.6353,2961.2,394.0,358.0,1.0,0.576890828199863,0.5273100616016427,0.5076010796461998,0.5080980492813142,2100.8673103180804
SPLN30,?,,tierAmg_p95,N4_var,whole section (tissue window W),11688,291577,0.6085,0.6353,2961.2,394.0,357.95,1.0,0.9090049623545516,0.8450590349075974,0.8415156202306766,0.8137662559890486,3279.0298857628004
SPLN43,?,,tierAmg_p95,N3_var,whole section (tissue window W),10378,270472,0.6679,0.6984,2533.8,491.0,469.5,0.9999039254232409,0.6311909809211794,0.5826507997687417,0.5668620042000649,0.5691896319136636,1643.8000193443572
SPLN43,?,,tierAmg_p95,N4_var,whole section (tissue window W),10378,270472,0.6679,0.6984,2533.8,491.0,470.325,0.9998954239313719,0.917561187126614,0.8721237232607439,0.8647775000739447,0.8338504528810946,2123.1468039245237
SPLN44,?,,tierAmg_p95,N3_var,whole section (tissue window W),12035,299897,0.7789,0.8086,2418.4,495.0,481.975,0.9900984249754952,0.6747694225176568,0.6432613211466556,0.6502702594557465,0.6718695471541338,1396.6296308058838
SPLN44,?,,tierAmg_p95,N4_var,whole section (tissue window W),12035,299897,0.7789,0.8086,2418.4,495.0,479.35,0.9843223243170028,0.9086954715413377,0.8896967179061072,0.8865522162609161,0.85938097216452,2138.6326964419195
