section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,0.0,5.0,0.004555566621691084,0.00425362822500779,0.004835098925204533
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,5.0,10.0,0.004764515559112026,0.004612672683109802,0.004905938455751914
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,10.0,15.0,0.004715630116116517,0.004575299985767522,0.004857279270622513
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,15.0,20.0,0.004685923058882921,0.004537064540627594,0.0048511321298918735
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,20.0,25.0,0.004508093488232459,0.004306743335904933,0.004701928684850438
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,25.0,30.0,0.004346827005977603,0.004065103312288628,0.00458975108407913
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,30.0,35.0,0.004124686239250706,0.0037753285698905814,0.004496557823084431
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,35.0,40.0,0.0038557574438595724,0.0032924093342807134,0.004403520933738925
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,40.0,45.0,0.003582255576675638,0.002785863694715387,0.004402952826218307
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,45.0,50.0,0.003302270545576106,0.0019706510112804648,0.004591567336756933
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,50.0,55.0,0.0030369657619401013,0.0010082749536273435,0.005127425627437498
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,55.0,60.0,0.00287766648746708,-0.00012642299722085798,0.005857972236076925
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,60.0,65.0,0.002898967069326472,-0.0018301389506248395,0.008146749852621173
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,65.0,70.0,0.002803050769023861,-0.004689999926631571,0.01042466682071487
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,70.0,75.0,0.0026457845642253986,-0.006461749982554465,0.01239208325860091
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,75.0,80.0,0.002599167181646752,-0.006484375067520887,0.012937250104732807
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,80.0,85.0,0.00255275064441805,-0.006805624993285164,0.013357500429265198
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,85.0,90.0,0.002732568020101531,-0.006356999929994344,0.011538000125437977
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,90.0,95.0,0.00293203313837708,-0.005377500056056306,0.014149999944493175
SPLN07,tierAmg_p95,B cells,downstream_arrest,N1,95.0,100.0,0.003941951098194368,-0.004939999897032976,0.008799999952316284
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,0.0,5.0,-0.0038452228852336873,-0.004178775771311948,-0.0035021063191642606
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,5.0,10.0,-0.004080779669345054,-0.004251706981199521,-0.0039018720012926325
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,10.0,15.0,-0.004037751115499703,-0.004199513591130692,-0.003876679333460725
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,15.0,20.0,-0.003930263346652564,-0.004099170809363775,-0.003760756101308685
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,20.0,25.0,-0.003767432323430349,-0.003981438652801266,-0.003535009436494595
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,25.0,30.0,-0.0035700462579938614,-0.003874997811163039,-0.0032625410432344073
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,30.0,35.0,-0.0033311088816483114,-0.0037612764094270474,-0.0028819963595585803
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,35.0,40.0,-0.003092896889839666,-0.0037764852861097145,-0.002372226537375324
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,40.0,45.0,-0.0028627837531977267,-0.003908299285375596,-0.0017634152084429805
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,45.0,50.0,-0.002642843851391926,-0.004067113827443727,-0.0010247528186174408
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,50.0,55.0,-0.0025268978222078324,-0.004963015948761082,0.00017346379293066587
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,55.0,60.0,-0.002314333674043551,-0.005941658485105625,0.0020759091128473464
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,60.0,65.0,-0.0023061332993920373,-0.0074858318071346725,0.005326625015368334
SPLN07,tierAmg_p95,B cells,emt_ecm,N1,65.0,70.0,-0.002314946661818112,-0.009758799932897091,0.00917399998055771
