section,call,null,draw,displacement_um,frac_cells_retained
SPLN07,tierAmg_p95,N3_var,0,1194.890259180707,0.659076756602252
SPLN07,tierAmg_p95,N3_var,1,1292.1499509112014,0.7103635194315989
SPLN07,tierAmg_p95,N3_var,2,644.3452969373761,0.8482426321216019
SPLN07,tierAmg_p95,N3_var,3,1725.2089284655005,0.48526424320378936
SPLN07,tierAmg_p95,N3_var,4,748.7408260062804,0.7682091487254872
SPLN07,tierAmg_p95,N3_var,5,1634.7398815098395,0.5598413622025541
SPLN07,tierAmg_p95,N3_var,6,1603.611117063952,0.46812952357619003
SPLN07,tierAmg_p95,N3_var,7,2007.1502796393775,0.5913698588184853
SPLN07,tierAmg_p95,N3_var,8,2068.2757529977794,0.3578640043283414
SPLN07,tierAmg_p95,N3_var,9,1154.2916951080683,0.6058657193315571
SPLN07,tierAmg_p95,N3_var,10,623.3438619351697,0.7562245429210179
SPLN07,tierAmg_p95,N3_var,11,1518.4032386089934,0.6736338672301677
SPLN07,tierAmg_p95,N3_var,12,1961.0054269423943,0.39374636327443113
SPLN07,tierAmg_p95,N3_var,13,922.1933015329726,0.6681162527179738
SPLN07,tierAmg_p95,N3_var,14,1918.4887997402807,0.5417266407374514
SPLN07,tierAmg_p95,N3_var,15,1111.7353174623258,0.6345307730785329
SPLN07,tierAmg_p95,N3_var,16,1292.0127045558486,0.5965659102277483
SPLN07,tierAmg_p95,N3_var,17,1261.0627616192144,0.6109954164497392
SPLN07,tierAmg_p95,N3_var,18,1805.349000931805,0.5422268500086771
SPLN07,tierAmg_p95,N3_var,19,1901.9987725222177,0.5147051317387886
SPLN07,tierAmg_p95,N3_var,20,1571.4821125040398,0.5241580661297073
SPLN07,tierAmg_p95,N3_var,21,511.7870271101137,0.8022233791688359
SPLN07,tierAmg_p95,N3_var,22,974.1929035535563,0.6735522004103758
SPLN07,tierAmg_p95,N3_var,23,1367.253496941306,0.6062076991394358
SPLN07,tierAmg_p95,N3_var,24,1516.4889390552762,0.5325493318633305
SPLN07,tierAmg_p95,N3_var,25,1590.7018786465526,0.5286446370420278
SPLN07,tierAmg_p95,N3_var,26,654.7362025421455,0.7630437223736461
SPLN07,tierAmg_p95,N3_var,27,855.0170364610033,0.7210057268857379
SPLN07,tierAmg_p95,N3_var,28,1917.292702531894,0.4547310609540726
SPLN07,tierAmg_p95,N3_var,29,260.2974345608234,0.9146275482599863
SPLN07,tierAmg_p95,N3_var,30,1935.6152372969098,0.48511111791667944
SPLN07,tierAmg_p95,N3_var,31,1834.963476449496,0.5573964617850325
SPLN07,tierAmg_p95,N3_var,32,996.1706020735307,0.6665952081993487
SPLN07,tierAmg_p95,N3_var,33,688.7175700660097,0.7499821353831705
SPLN07,tierAmg_p95,N3_var,34,1067.735393394144,0.7691687338580426
SPLN07,tierAmg_p95,N3_var,35,1636.940214113493,0.5771649363509224
SPLN07,tierAmg_p95,N3_var,36,1248.1543392963695,0.5783286885329577
SPLN07,tierAmg_p95,N3_var,37,2000.6179612628082,0.5736226380424463
SPLN07,tierAmg_p95,N3_var,38,491.5081167021844,0.8212976857664942
SPLN07,tierAmg_p95,N3_var,39,2070.133845841951,0.49918333180208047
SPLN07,tierAmg_p95,N3_var,40,542.9640489374709,0.8244724833859064
SPLN07,tierAmg_p95,N3_var,41,1525.128629778422,0.6879970191610776
SPLN07,tierAmg_p95,N3_var,42,1730.106827573036,0.47417286824079463
SPLN07,tierAmg_p95,N3_var,43,1371.642633742981,0.5792525444318541
SPLN07,tierAmg_p95,N3_var,44,1788.0235635629924,0.4521177227207301
SPLN07,tierAmg_p95,N3_var,45,1022.8452214477396,0.6825100297063057
SPLN07,tierAmg_p95,N3_var,46,1888.9111802685563,0.4188589103604569
SPLN07,tierAmg_p95,N3_var,47,1293.5230331943685,0.621846895129595
SPLN07,tierAmg_p95,N3_var,48,970.7443383895677,0.6768035606733429
SPLN07,tierAmg_p95,N3_var,49,1968.0090103191849,0.47392276360518176
SPLN07,tierAmg_p95,N3_var,50,218.15392038775164,0.9392194693698384
SPLN07,tierAmg_p95,N3_var,51,988.4432201498612,0.8270551965618269
SPLN07,tierAmg_p95,N3_var,52,86.8135543300909,0.9790524607233638
SPLN07,tierAmg_p95,N3_var,53,1811.3831822146276,0.4076501393440113
SPLN07,tierAmg_p95,N3_var,54,1743.960148754108,0.4630253473391929
SPLN07,tierAmg_p95,N3_var,55,2034.6062499002967,0.4976214538735593
SPLN07,tierAmg_p95,N3_var,56,1988.7671057319935,0.3485692994007697
SPLN07,tierAmg_p95,N3_var,57,1593.3404651251394,0.48079808899641685
SPLN07,tierAmg_p95,N3_var,58,1742.5324302689378,0.4675782725425944
SPLN07,tierAmg_p95,N3_var,59,1565.683090351345,0.5050225094172052
SPLN07,tierAmg_p95,N3_var,60,1963.6558846702674,0.3920211517063261
SPLN07,tierAmg_p95,N3_var,61,603.1810710444727,0.7821027164425933
SPLN07,tierAmg_p95,N3_var,62,1264.640322125208,0.5662879367898814
SPLN07,tierAmg_p95,N3_var,63,1657.3204317554384,0.5914872548719362
SPLN07,tierAmg_p95,N3_var,64,1994.4567081849768,0.4244020457538358
SPLN07,tierAmg_p95,N3_var,65,944.3233825312118,0.7099092477465062
SPLN07,tierAmg_p95,N3_var,66,234.40441722724364,0.9065527414530569
SPLN07,tierAmg_p95,N3_var,67,1986.9231963684617,0.40782368133606917
SPLN07,tierAmg_p95,N3_var,68,1981.6540858655756,0.3872742678059188
SPLN07,tierAmg_p95,N3_var,69,1935.4617210449933,0.5576057330107494
SPLN07,tierAmg_p95,N3_var,70,1826.1451716837284,0.38917812554231873
SPLN07,tierAmg_p95,N3_var,71,1519.6285023335115,0.4968354107330618
SPLN07,tierAmg_p95,N3_var,72,1967.905415034606,0.39655366020477956
SPLN07,tierAmg_p95,N3_var,73,1858.187446641734,0.45913596504660115
SPLN07,tierAmg_p95,N3_var,74,1598.63166950268,0.6208617891158545
SPLN07,tierAmg_p95,N3_var,75,2032.7180810088573,0.4824977796833369
SPLN07,tierAmg_p95,N3_var,76,1745.6056487662281,0.52476546310191
SPLN07,tierAmg_p95,N3_var,77,1368.1243181203747,0.6152880286650537
SPLN07,tierAmg_p95,N3_var,78,1370.1308586774637,0.6560499800937126
SPLN07,tierAmg_p95,N3_var,79,1243.2687949855872,0.5958002837921987
SPLN07,tierAmg_p95,N3_var,80,1887.2790548952,0.3688941291764922
SPLN07,tierAmg_p95,N3_var,81,953.7856921009745,0.6797231494809053
SPLN07,tierAmg_p95,N3_var,82,1378.0387653575904,0.5750620157412795
SPLN07,tierAmg_p95,N3_var,83,1853.0056297612878,0.4290621586582142
SPLN07,tierAmg_p95,N3_var,84,34.719229719459584,0.992869465796915
SPLN07,tierAmg_p95,N3_var,85,1261.5861641852352,0.6497463224410213
SPLN07,tierAmg_p95,N3_var,86,1750.3883596717333,0.551266346124399
SPLN07,tierAmg_p95,N3_var,87,1273.338484168346,0.6014097734766586
SPLN07,tierAmg_p95,N3_var,88,1393.8324229903747,0.697939954470748
SPLN07,tierAmg_p95,N3_var,89,692.4528553927976,0.8609826560091467
SPLN07,tierAmg_p95,N3_var,90,1310.1709536414103,0.5815902571483988
SPLN07,tierAmg_p95,N3_var,91,1104.4855801836577,0.6568513357629212
SPLN07,tierAmg_p95,N3_var,92,1250.7884310791123,0.7674077930562786
SPLN07,tierAmg_p95,N3_var,93,1089.8288404604173,0.6211016853989935
SPLN07,tierAmg_p95,N3_var,94,836.2142786682009,0.6877111852918057
SPLN07,tierAmg_p95,N3_var,95,1993.4411384585535,0.44002592921528394
SPLN07,tierAmg_p95,N3_var,96,1679.097478146618,0.5132045039251115
SPLN07,tierAmg_p95,N3_var,97,649.1029197804326,0.8085831827601343
SPLN07,tierAmg_p95,N3_var,98,784.2884241734968,0.7064996580201921
SPLN07,tierAmg_p95,N3_var,99,1551.0521347294575,0.47444849375759246
SPLN07,tierAmg_p95,N3_var,100,1358.0975027520337,0.6896609806143387
SPLN07,tierAmg_p95,N3_var,101,1734.7192223579639,0.4942986351432742
SPLN07,tierAmg_p95,N3_var,102,1453.2286150571801,0.688966812646107
SPLN07,tierAmg_p95,N3_var,103,2025.853648353176,0.49457936483630904
SPLN07,tierAmg_p95,N3_var,104,906.6427597303268,0.7621606998846456
SPLN07,tierAmg_p95,N3_var,105,1882.6380324658887,0.4904602946130524
SPLN07,tierAmg_p95,N3_var,106,1805.1553110454647,0.4030104431445809
SPLN07,tierAmg_p95,N3_var,107,1084.4503502069067,0.6159311548709154
SPLN07,tierAmg_p95,N3_var,108,1879.4137777845697,0.4165926561112302
SPLN07,tierAmg_p95,N3_var,109,1484.0350422339704,0.5390265315080799
SPLN07,tierAmg_p95,N3_var,110,667.5692526861917,0.7590777774374994
SPLN07,tierAmg_p95,N3_var,111,652.5889678101604,0.8885247909839831
SPLN07,tierAmg_p95,N3_var,112,1486.185639322783,0.5077430353515247
SPLN07,tierAmg_p95,N3_var,113,1382.2430451699886,0.5814779652711849
SPLN07,tierAmg_p95,N3_var,114,1674.843979822654,0.5019548994987699
SPLN07,tierAmg_p95,N3_var,115,1817.4464215977596,0.5456211272062802
SPLN07,tierAmg_p95,N3_var,116,559.8100733336582,0.8967986606641554
SPLN07,tierAmg_p95,N3_var,117,2015.5939425815302,0.33164895517512427
SPLN07,tierAmg_p95,N3_var,118,239.41538935401232,0.9569309609122184
SPLN07,tierAmg_p95,N3_var,119,533.2433279011407,0.9059045110709583
SPLN07,tierAmg_p95,N3_var,120,1838.6229648195485,0.43699404853050766
SPLN07,tierAmg_p95,N3_var,121,1604.6130567119922,0.5403791382108841
SPLN07,tierAmg_p95,N3_var,122,2041.6649734884897,0.33222062291366794
SPLN07,tierAmg_p95,N3_var,123,559.1998394934423,0.7949039904449821
SPLN07,tierAmg_p95,N3_var,124,1128.9893729621301,0.6109749997447912
SPLN07,tierAmg_p95,N3_var,125,739.238711967317,0.7507018242325871
SPLN07,tierAmg_p95,N3_var,126,1337.267936993155,0.5578047958839922
SPLN07,tierAmg_p95,N3_var,127,1006.4074539534641,0.6492154881123735
SPLN07,tierAmg_p95,N3_var,128,599.9743389618061,0.8265754039955492
SPLN07,tierAmg_p95,N3_var,129,352.60425865081066,0.8726252820057371
SPLN07,tierAmg_p95,N3_var,130,836.6631369905027,0.7166212394981574
SPLN07,tierAmg_p95,N3_var,131,1924.603827771308,0.37142580059004277
SPLN07,tierAmg_p95,N3_var,132,898.8429371385599,0.7139976929123408
SPLN07,tierAmg_p95,N3_var,133,1727.2313025649114,0.4939056135730254
SPLN07,tierAmg_p95,N3_var,134,788.5268346656372,0.756147980277463
SPLN07,tierAmg_p95,N3_var,135,593.0178458271707,0.7673108137077757
SPLN07,tierAmg_p95,N3_var,136,1173.7741506459802,0.6511040333200625
SPLN07,tierAmg_p95,N3_var,137,1879.0861695308276,0.42233995855408896
SPLN07,tierAmg_p95,N3_var,138,889.6926680482886,0.7903459610653437
SPLN07,tierAmg_p95,N3_var,139,984.6859436416388,0.8141212139772762
SPLN07,tierAmg_p95,N3_var,140,1795.0764661088976,0.4527914739840137
SPLN07,tierAmg_p95,N3_var,141,1644.318637672065,0.5801100460396696
SPLN07,tierAmg_p95,N3_var,142,945.8483035184466,0.6743994936657173
SPLN07,tierAmg_p95,N3_var,143,1911.1667857598266,0.4795118365846936
SPLN07,tierAmg_p95,N3_var,144,1761.276325923714,0.5797782745842649
SPLN07,tierAmg_p95,N3_var,145,1290.0510466563535,0.5765422268500087
SPLN07,tierAmg_p95,N3_var,146,849.9940352500071,0.7484764033932564
SPLN07,tierAmg_p95,N3_var,147,1155.9454552593584,0.6291458671485008
SPLN07,tierAmg_p95,N3_var,148,1327.7600214763474,0.5964791392317194
SPLN07,tierAmg_p95,N3_var,149,1950.7908842841537,0.3720689267959044
SPLN07,tierAmg_p95,N3_var,150,1603.610956893264,0.6462295450137302
SPLN07,tierAmg_p95,N3_var,151,1860.27989168259,0.5450902928776324
SPLN07,tierAmg_p95,N3_var,152,1503.0019451271532,0.517782950009698
SPLN07,tierAmg_p95,N3_var,153,473.9540473351109,0.837574903786278
