section,arm,week,call,scope,celltype,module,n,lam,n_perm,beta_obs,sender_set,n_senders_used,n_solid_tiles,tile_cell_coverage,N3_orig_null_mean,N3_orig_null_sd,N3_orig_null_lo,N3_orig_null_hi,N3_orig_sf,N3_orig_p,N3_orig_full_null_mean,N3_orig_full_sf,N3_occ_null_mean,N3_occ_null_sd,N3_occ_null_lo,N3_occ_null_hi,N3_occ_sf,N3_occ_p,N3_occ_full_null_mean,N3_occ_full_sf,N3_occ15_null_mean,N3_occ15_null_sd,N3_occ15_null_lo,N3_occ15_null_hi,N3_occ15_sf,N3_occ15_p,N3_occ15_full_null_mean,N3_occ15_full_sf,N3_swap_null_mean,N3_swap_null_sd,N3_swap_null_lo,N3_swap_null_hi,N3_swap_sf,N3_swap_p,N3_swap_full_null_mean,N3_swap_full_sf,N3_snap_null_mean,N3_snap_null_sd,N3_snap_null_lo,N3_snap_null_hi,N3_snap_sf,N3_snap_p,N3_snap_full_null_mean,N3_snap_full_sf,N4_orig_null_mean,N4_orig_null_sd,N4_orig_null_lo,N4_orig_null_hi,N4_orig_sf,N4_orig_p,N4_orig_full_null_mean,N4_orig_full_sf,N4_occ_null_mean,N4_occ_null_sd,N4_occ_null_lo,N4_occ_null_hi,N4_occ_sf,N4_occ_p,N4_occ_full_null_mean,N4_occ_full_sf,N4_occ15_null_mean,N4_occ15_null_sd,N4_occ15_null_lo,N4_occ15_null_hi,N4_occ15_sf,N4_occ15_p,N4_occ15_full_null_mean,N4_occ15_full_sf,N4_swap_null_mean,N4_swap_null_sd,N4_swap_null_lo,N4_swap_null_hi,N4_swap_sf,N4_swap_p,N4_swap_full_null_mean,N4_swap_full_sf,beta_obs_full,N3_tile_null_mean,N3_tile_null_sd,N3_tile_null_lo,N3_tile_null_hi,N3_tile_sf,N3_tile_p,N3_tile_full_null_mean,N3_tile_full_sf,N4_tile_null_mean,N4_tile_null_sd,N4_tile_null_lo,N4_tile_null_hi,N4_tile_sf,N4_tile_p,N4_tile_full_null_mean,N4_tile_full_sf
SPLN07,?,,tierAmg_p95,full,B cells,downstream_arrest,35179,49.99999999999999,1000,0.0013284867622241345,A_SENDER_FINAL_strict,10352,4,0.357,7.970939345402768e-05,0.000734377969077554,-0.0013420151688386711,0.001465323647697061,0.9399998586959352,0.062,-1.6659628945759154e-06,0.9936473971294508,0.0015904603406603887,0.0005429395190012428,0.000606171541002087,0.0024834844730221204,-0.19719698071937244,0.633,-8.925286597002113e-05,0.6596634808542775,0.0007378246307638193,0.0010305320531882444,-0.0010190255649126267,0.0024707931311313686,0.44461273401884466,0.337,-7.489583997470313e-06,0.9714409288727522,0.0014905496880565274,0.00036620361350893626,0.0007639781978356952,0.0022220151900953617,-0.12199062154075915,0.659,-3.451688869551085e-05,0.8683811704789818,7.583172732137413e-05,0.0007523699285718337,-0.001455732241202125,0.0015516735986043392,0.9429187181403166,0.069,-8.114537213341915e-06,0.969057874840738,0.0004085018341237133,0.0004999653101354806,-0.0003572007911066015,0.0015111898026694635,0.6925059054109014,0.055,-3.131346161060474e-05,0.88059638857383,0.0015537147353126028,0.00029174501751959346,0.0010370231359068899,0.001991988942683026,-0.16953723551704394,0.695,-0.000152842845401076,0.41718395913917006,0.0008733059067526119,0.0006360239706443773,-6.354746725793985e-05,0.0022826447090609214,0.3426310810274579,0.246,0.00011066621899146156,1.4219893148442206,0.0003674412450942345,0.00047944962894873913,-0.0003687059467848303,0.0014244406360591137,0.7234136947822729,0.042,-2.9668601764604155e-05,0.8868685218928704,-0.00026224886531147,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,B cells,emt_ecm,35179,49.99999999999999,1000,-0.0019933892668874127,A_SENDER_FINAL_strict,10352,4,0.357,-9.494971273670855e-05,0.0009909002296320875,-0.0016759182978625979,0.0018126588023586229,0.9523677014249363,0.017,4.121762239027188e-06,0.98205120162671,-0.002102792461910594,0.000688460499354904,-0.0033063649030922846,-0.0004684548262918329,-0.054883005964012965,0.657,-8.861374768746747e-05,1.385881134841815,-0.0009033946326650686,0.001307871701417051,-0.0029249783173644615,0.0016182903575803788,0.5468047071028538,0.266,-0.00010882084583746679,1.473875810267155,-0.001729012317432366,0.0004862616517742972,-0.002675940460615635,-0.0007520541913024438,0.13262685509883343,0.298,5.47379078754034e-05,0.7616360151663613,-0.00010425677867032241,0.0009940492487522418,-0.0016368435529872122,0.0018465642016278407,0.9476987358153509,0.023,1.2427302917617034e-05,0.9458835465374266,-0.0004588135782036059,0.000908422605095981,-0.0021481760871027234,0.0011391196934257858,0.7698324226857995,0.047,-2.4168316685497328e-05,1.1052443634672622,-0.0020171419771343705,0.0007006088233725339,-0.0031591417733855182,-0.0009407202978936318,-0.011915741015324385,0.575,0.00018842666487995475,0.1794693580190534,-0.0006586206310615936,0.001344089982299851,-0.0028327238791878363,0.001207497182008833,0.6695975833711596,0.207,0.00010802004496065747,0.5296113907506302,-0.0003971505450983205,0.0008931124374222266,-0.002009343397158874,0.0013468021913040646,0.8007661866673672,0.029,1.9640518420208272e-06,0.9914472576381697,0.00022964001006111137,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,B cells,il6_jak_stat3,35179,49.99999999999999,1000,-0.00010174164228136476,A_SENDER_FINAL_strict,10352,4,0.357,-4.039307576904218e-05,0.00042695671578016006,-0.0007776959515245408,0.000711434190941358,0.6029838435540894,0.853,-3.4128658984373508e-06,1.0031206104954364,-0.0008761691074126736,0.0004643373532678779,-0.0016892468308874566,0.0001118561454730691,-7.611705961946663,0.967,-0.00015701547251361836,1.1435696994998428,-0.00026282035189529663,0.0005820394319664177,-0.001519249014991185,0.0005758198661588608,-1.5832131858897214,0.869,-1.7700985212088087e-06,1.0016185189185929,-0.0005088989449724788,0.0004781068195374223,-0.0015090025886075884,0.00037501043547010426,-4.0018746853439575,0.908,4.741329770854225e-06,0.9956646865462755,-7.408400096065817e-06,0.0004292896403137934,-0.0008173710846490997,0.0007656646889010416,0.9271841899742681,0.851,8.600308694934283e-06,0.9921361652124411,-5.069129813938732e-07,0.00038245966183430267,-0.0010599362330721588,0.0005287781314529687,0.9950176449875656,0.727,0.00011114980512109707,0.8983683336091739,-0.0010826184809641498,0.00045488521194418077,-0.0017944916281674049,-0.00010174164228136389,-9.640859108310705,0.944,-0.00017411903280514096,1.159208623308567,-0.0002506320522493789,0.000599301351736374,-0.0016285298153508976,0.00067072836883092,-1.4634166171237957,0.755,0.00013571920559703616,0.8759028950969538,2.9438278199196917e-05,0.00036465418838130785,-0.0008892937830147929,0.0005637021322705462,1.2893434540577384,0.783,0.00011999600596034458,0.890279663264308,0.0010936532782377967,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,B cells,interferon_response,35179,49.99999999999999,1000,0.00015186025638412695,A_SENDER_FINAL_strict,10352,4,0.357,2.1968548317295246e-07,0.0003548224522697924,-0.0005915721427340742,0.0006817608234739729,0.9985533707870395,0.741,8.981710498991658e-06,0.979060959042483,-7.51715330990101e-05,0.0002951907763208777,-0.0007796264260175835,0.00045424816014026116,1.4950046502546754,0.597,0.00012085258206328913,0.7182566543500822,-0.00010162270584486274,0.00027959805242504894,-0.0006177687050568503,0.00039329938041402553,1.669185659662068,0.596,1.2197128755559139e-05,0.9715648618817725,6.645152475209526e-05,0.0003868358572725906,-0.0006711275978377164,0.0008103330902168868,0.5624166168664454,0.693,2.2544527458365738e-05,0.9474419951665571,1.0521792593793438e-05,0.000353691578956869,-0.0006014950603498147,0.0006141158974254947,0.9307139811012909,0.74,3.770069867965453e-06,0.9912108448177113,3.1571789328173433e-05,0.00017130000116871027,-0.00042439484135989763,0.0002849403136218069,0.7920997232593014,0.374,0.00013019959450461744,0.6964659858174717,-8.6483914060877e-05,0.00026032663106533087,-0.0005068529942697528,0.00034194798217062104,1.5694966946593187,0.641,0.00012128897939312667,0.7172392822621881,-5.4446327416801205e-05,0.00021661870764448844,-0.000482713395282043,0.0003557067716282873,1.3585291419440284,0.49,0.0001087139488819919,0.7465554218710342,3.203960569286559e-05,0.0001720136327986872,-0.0003983052765754519,0.0002988203416897937,0.7890191518456142,0.356,0.00012522305181826703,0.7080677882968571,0.00042894564833291705,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,B cells,oxidative_stress,35179,6.999999999999999,1000,-0.00037575143709241875,A_SENDER_FINAL_strict,10352,4,0.357,-4.741628906657261e-05,0.0008912040367167025,-0.0017064855324825808,0.001619680565756708,0.8738094272280582,0.691,1.0624373301180417e-06,0.9815357032850591,0.00017764608692524706,0.0005679669305031415,-0.0008902029816410503,0.0012529413065003362,1.47277553560375,0.558,3.1689346895749675e-05,0.4492649239642185,4.0340279768608626e-05,0.0006527868036824301,-0.0012530370438478362,0.0012529413065003362,1.1073589500568874,0.566,-5.4324351886516647e-05,1.9441130536782403,8.194487728779728e-05,0.00046568581708937714,-0.0008381124046503268,0.0010037513528643324,1.21808267167756,0.413,3.4146441514346576e-05,0.4065626178532153,-0.00014513511741917303,0.0006952576507234505,-0.0015418105603492312,0.0011744359192993946,0.6137470064193633,0.578,-5.903149669134151e-05,2.0259194020553464,-3.199080867720173e-05,0.0006422021117862697,-0.0013251759080342232,0.0011670531000639705,0.9148617795722938,0.554,-0.00021725885066428157,4.775782127465931,0.0001427223933570774,0.0004573509058527401,-0.0005070370066851003,0.0008252253077829035,1.3798319294836756,0.571,0.00010351612108173442,-0.7990259945219828,0.0001461874840609456,0.0006413379482407926,-0.0011729655837081595,0.0013482707828999206,1.3890536924945671,0.505,0.00010973461709876865,-0.9070983977821742,-0.00021473152958351155,0.0005185653669298564,-0.0012236028555463155,0.0008009924637281276,0.4285277223551994,0.5,-0.0002849404451917761,5.952033194770889,5.754009191470275e-05,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,B cells,secondary_senescence,35179,49.99999999999999,1000,-0.0007787856545124783,A_SENDER_FINAL_strict,10352,4,0.357,-4.6903720154585035e-05,0.0004731236579444667,-0.0008495975546388574,0.0008509160695969281,0.9397732612525499,0.081,1.6747533097201614e-06,0.9941429339483343,-0.0011005558849926515,0.00036839873756197306,-0.001719715248809353,-0.00035916564756161636,-0.41316918026899463,0.781,-8.265881706291663e-05,1.2890802773639232,-0.00043558063517973685,0.0006558937781775992,-0.0016119989844504946,0.000604812679134511,0.4406925286105695,0.37,-3.311157389457073e-05,1.1158001445642851,-0.0009322467502732603,0.0002766206342092246,-0.0014716704800433044,-0.0004039280272148565,-0.19705177524982653,0.698,1.0593316532625769e-05,0.9629523021225386,-3.6743025351162044e-05,0.00047307900874015823,-0.0008427719398988844,0.000884531747978654,0.9528201050722188,0.082,1.3599514657539145e-05,0.9524388128344039,-0.00011703286551133865,0.00037384992511496867,-0.0009000004735976252,0.000559192498420651,0.8497239069142825,0.053,0.00011414135989850994,0.6008167410254448,-0.0010945214468157272,0.00030713227254558755,-0.0017621748485104037,-0.0006203464558967182,-0.40542065775582403,0.805,6.733984624971734e-06,0.9764494313816576,-0.0004219528374033968,0.0005598826858209964,-0.0015189405884996074,0.0005907363341699071,0.45819130725059354,0.258,1.4457803720781705e-05,0.9494371434508252,-7.925909621669797e-05,0.0003520682820691446,-0.0008206395226240754,0.0006515718033108089,0.8982273289737028,0.034,0.00012436696433714458,0.5650550319619789,0.0002859372414357325,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,B cells,tnfa_nfkb_proximal,35179,42.98209161773131,1000,0.000542335546187066,A_SENDER_FINAL_strict,10352,4,0.357,-1.2083773267507923e-06,0.00021876742581901875,-0.00040666475767494237,0.0003787976354582107,1.0022280990712233,0.002,-2.2871905117223775e-06,1.004415589265693,3.839219317773866e-05,0.00024126093869086105,-0.0006322229210388642,0.0004635846260670746,0.9292095208443222,0.04,3.259603827463539e-05,0.9370709540932779,5.952122219918215e-05,0.000173303599671216,-0.00029304029535703153,0.0003911620340771525,0.8902501917537013,0.013,6.283979394390555e-05,0.8786831625197181,-9.099894598148404e-05,0.0002728377224415631,-0.0006347503388744951,0.00046832848316925895,1.1677908568251878,0.05,2.9939825156034513e-05,0.9421989686044322,-3.113031911514223e-05,0.0002159319525734702,-0.0004259052667598645,0.00035494564701843526,1.0574004771289776,0.001,-1.5723458150231147e-05,1.0303552907691322,-4.1090276668509e-06,0.000323651973148311,-0.00047265275805751384,0.0006395245418357092,1.0075765413049904,0.064,3.386872478148279e-05,0.9346139393192896,2.2562853916241353e-06,0.00035672769763074206,-0.0007590942484956104,0.0005423355461870656,0.9958396874269313,0.123,-1.1048442921844256e-05,1.0213298305140215,0.0001551834259916327,0.0003195687010216552,-0.0003613358327012789,0.0007075510687971646,0.7138608614488532,0.141,9.797325765269507e-05,0.810855430451033,-5.879258458531054e-06,0.0003146022089710884,-0.00046108777725779534,0.000598248771492194,1.0108406290162348,0.05,3.355893907727733e-05,0.9352120033734836,0.0005179808116422351,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,Endothelial,downstream_arrest,37376,49.99999999999999,1000,-0.00021756491286468774,A_SENDER_FINAL_strict,10352,4,0.357,7.41618904799104e-06,0.00013570391898097474,-0.00024222159426344134,0.00026896661219608727,1.0340872475728817,0.096,4.896968218574976e-06,1.0126357387644291,-4.4743764330302136e-05,0.0002024846122739461,-0.0004165076333392054,0.0003562070282804591,0.7943429216542373,0.315,-0.00013235163004749197,0.658490611398508,-4.415260193344924e-05,0.0001560331359465153,-0.00032266958803118883,0.0002582556726163553,0.7970600987443711,0.182,-7.80875969491112e-05,0.7985091118116074,6.104513336993101e-05,0.00021735987269781097,-0.0003923926794719286,0.000465387940237067,1.2805835397176264,0.347,8.80107725704997e-06,1.0227095844003666,3.249372112208433e-06,0.0001289952356932541,-0.00022691238548794157,0.0002614005116476448,1.0149351844901082,0.094,5.147513334343682e-06,1.01328222501679,-4.49581750234914e-05,0.00011359891113022599,-0.0002703092155549881,0.00020966835939300818,0.7933574194867871,0.09,-5.5303194269857067e-05,0.8573001325632988,-5.1942492967629843e-05,0.00026120397906588273,-0.0005056346227077422,0.00034931728685335,0.7612551937548176,0.526,-0.00018285132793918545,0.5281852955866526,-5.154912238033001e-05,0.0001593134640825694,-0.0003236068477944518,0.0002781897899266068,0.7630632545405405,0.24,-5.8613044952789825e-05,0.848759662886537,-3.158703082558152e-05,0.00010936489200367368,-0.0002438091935411052,0.00020479642865267096,0.854815602342889,0.059,-3.4415956017948123e-05,0.9111958644286601,-0.0003875490234382205,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,Endothelial,emt_ecm,37376,49.99999999999999,1000,-0.0003315505324661132,A_SENDER_FINAL_strict,10352,4,0.357,-6.674077093860163e-06,0.0005012986162507885,-0.0010103995413695188,0.0008786441698739867,0.9798701059406614,0.531,1.7535745895418983e-06,0.9958022427375243,1.5401313975529543e-06,0.00033341416326281714,-0.0006785843378409007,0.0005462890684714462,1.0046452387999418,0.345,0.00023407697425360168,0.4396598100180636,-0.00028642280198596987,0.0003915352330329373,-0.000968104087137816,0.0005097659533686233,0.13611116876959234,0.542,-0.0001202306835076971,1.2878116664536665,-0.00026026312594629343,0.0004016585091731893,-0.001052094029152866,0.000513710754138375,0.21501219132291952,0.493,9.050141052126959e-05,0.7833551218490209,-5.206498377478401e-05,0.00047933711443307606,-0.0010981052279370525,0.0008498021889506939,0.8429651631456649,0.473,-2.8857369135250824e-05,1.0690795997991096,-0.00023684634076698072,0.00025718397287620296,-0.0007227315067139129,0.0002458032024434812,0.28564029439105765,0.375,-0.0003318853870449181,1.7944767802214379,-0.000545383266592534,0.000248843352829083,-0.0009444465059235097,-2.3553267634064243e-05,-0.6449476420258081,0.828,-2.809309092763332e-05,1.0672500486549998,-0.00036326944644663026,0.0002818226499187431,-0.0010193157488431867,0.00011465276442088481,-0.09566841514199333,0.562,-0.0003493011126285556,1.8361670447736276,-0.00021940348562947182,0.00023800398677591963,-0.0006589697671885854,0.00025440285954351095,0.338250238968033,0.339,-0.00030804741272105594,1.737412752014435,0.00041774082680228164,,,,,,,,,,,,,,,,
SPLN07,?,,tierAmg_p95,full,Endothelial,il6_jak_stat3,37376,6.999999999999999,1000,-0.0009752641480762826,A_SENDER_FINAL_strict,10352,4,0.357,1.9344830257060063e-05,0.000527161162041517,-0.0010196481296594405,0.0010024058226108957,1.019835477696189,0.06,7.049512952261409e-06,1.0220365641730333,-2.6727161953288095e-05,0.00040425615261231745,-0.0009767145597057148,0.0008562729040833448,0.9725949508079348,0.037,-3.30803847065934e-05,0.8965917184077766,-0.0001079483486916263,0.0004398484383318285,-0.000903088931316871,0.0008193416947455033,0.8893137321775281,0.026,-3.316299719891483e-05,0.8963334742566043,-0.00010379695168381921,0.00026727779850675265,-0.0006080935116493526,0.0004182037211516852,0.8935704220353433,0.0,2.370762840695274e-05,1.0741093290157937,-6.970213992119063e-05,0.00032726286085081786,-0.0007113971624682001,0.0005844434803983028,0.9285299884562774,0.002,1.4198622683692437e-05,1.0443844648639877,-0.0001968107939628541,0.0003453057340875831,-0.0008007850184055874,0.000525415358010315,0.7981974479928693,0.009,-6.17397147583017e-05,0.8070035198871945,-0.0001107907362180356,0.00035162213967278696,-0.0009752641480762826,0.00034024009272208257,0.8863992525137202,0.056,-6.535121948396757e-05,0.7957140653976019,-0.00023947747757688332,0.0002914963485281376,-0.0008328301739792405,0.00034024009272208257,0.7544485993366465,0.009,-0.00017268060158205233,0.46020566470763236,-0.0001815622089779882,0.00026631030746433065,-0.0007277031438279723,0.0003201217052790129,0.8138327863931825,0.001,-3.237872013512823e-05,0.8987851006260583,-0.000319900729392656,,,,,,,,,,,,,,,,
