section,arm,week,call,celltype,module,n,n_senders,design,lam_near,beta_near,rss_near,aic_near,railed_near,lam_sup,beta_sup,rss_sup,aic_sup,railed_sup,aic0,rss0,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov,boot_win_sup,d_aic_per1k,d_aic_per1k_lo,d_aic_per1k_hi,r_regressors,sd_y,beta_sup_sd,beta_near_sd
SPLN07,?,,tierA_p95,B cells,downstream_arrest,35179,10355,naive,49.99999999999999,0.00128382249149422,1.8328731356827257,-346938.5495629186,1.0,49.99999999999999,0.0002320947446616767,1.8121172482266452,-347339.19767453446,1.0,-346927.37653947633,1.8336638410842152,-400.64811161585385,-11.173023442272097,-411.82113505812595,1.0,-11.388843105712324,-18.31992629759303,-6.053599745521681,0.3616741432211846,0.007219682773837678,0.10840003991340345,0.17782256250491346
SPLN07,?,,tierA_p95,B cells,downstream_arrest,35179,10355,ctrl,23.47241150476913,-0.00018192341673145968,1.726358956941199,-348998.7238108024,0.0,49.99999999999999,-6.465282468439899e-06,1.7263827763002275,-348998.23843350174,1.0,-349002.1086326017,1.7263891461928194,0.4853773006470874,3.3848217992926948,3.870199099939782,0.585,0.013797359238383336,-0.20348594337041195,0.11926183276848522,0.34474097852537094,0.007219682773837678,-0.0030196154533870157,-0.025198256267644655
SPLN07,?,,tierA_p95,B cells,downstream_arrest,35179,10355,ctrl+N2,6.999999999999999,-0.00020024378538625157,1.726296980831935,-348997.98675595963,,49.99999999999999,-1.2172395120549761e-05,1.726335090315306,-348997.21015799727,,,,0.7765979623293713,,,,,,,,0.007219682773837678,,
SPLN07,?,,tierA_p95,B cells,emt_ecm,35179,10355,naive,49.99999999999999,-0.0018753621075642745,2.202666749851876,-340473.2111660508,1.0,49.99999999999999,-0.0003045512028352186,2.167254433707323,-341043.38032377575,1.0,-340450.27452541183,2.204353982689095,-570.169157724944,-22.936640638974495,-593.1057983639184,1.0,-16.207656776057988,-25.727776425262004,-6.679134838967579,0.3616741432211846,0.007915874918046548,-0.12973096446035776,-0.23691153874247398
SPLN07,?,,tierA_p95,B cells,emt_ecm,35179,10355,ctrl,49.99999999999999,0.0002470386855107267,1.9510891688651275,-344693.7561874368,1.0,49.99999999999999,1.5230366880579475e-05,1.9510812807787172,-344693.8984134085,1.0,-344697.26191983337,1.9511165820076943,-0.1422259716782719,3.505732396559324,3.3635064248810522,0.64,-0.004042922529869294,-0.23274065054426968,0.10950763664110472,0.3616741432211846,0.007915874918046548,0.006487743821428035,0.031208007710723403
SPLN07,?,,tierA_p95,B cells,emt_ecm,35179,10355,ctrl+N2,49.99999999999999,0.0002450292215336577,1.951086955017481,-344691.796104111,,49.99999999999999,1.3819605493572627e-05,1.9510783391786881,-344691.9514520114,,,,-0.15534790048125144,,,,,,,,0.007915874918046548,,
SPLN07,?,,tierA_p95,B cells,il6_jak_stat3,35179,10355,naive,49.99999999999999,-0.00010714248028906804,4.380280410185272,-316289.6201811789,1.0,49.99999999999999,-0.0001424679819409555,4.3721672913209275,-316354.8388491466,1.0,-316293.57595194253,4.380285917350893,-65.21866796771064,3.955770763626788,-61.262897204083856,1.0,-1.8539090925754185,-3.505993038247073,-0.7005369070243949,0.3616741432211846,0.011158594216497576,-0.04305167357087445,-0.009601790171835442
SPLN07,?,,tierA_p95,B cells,il6_jak_stat3,35179,10355,ctrl,40.868941774896264,0.0009158910862422887,4.315072472229636,-316771.25674380467,0.0,49.99999999999999,-5.153085389490709e-05,4.3151473272836665,-316770.64648682234,1.0,-316771.3631712381,4.315550086078681,0.6102569823269732,0.10642743343487382,0.716684415761847,0.445,0.01734719526782948,-0.5080436919319953,0.3103891633077931,0.3584375986939682,0.011158594216497576,-0.015571846182473448,0.08207943298145007
SPLN07,?,,tierA_p95,B cells,il6_jak_stat3,35179,10355,ctrl+N2,27.304873519796445,0.0007352183800839236,4.314635673947716,-316772.8179596679,,40.868941774896264,-3.91464782190209e-05,4.3144629808745805,-316774.22602553054,,,,-1.4080658626523292,,,,,,,,0.011158594216497576,,
SPLN07,?,,tierA_p95,B cells,interferon_response,35179,10355,naive,17.345738419684505,-4.0689992915362394e-05,3.0920251224121533,-328541.99051669583,0.0,49.99999999999999,-2.676598116614378e-05,3.0917403507429766,-328545.2306080611,1.0,-328545.97017958015,3.0920269099243294,-3.240091365238186,3.979662884317804,0.7395715190796182,0.79,-0.0921029979600951,-0.49948946715071646,0.0852412459723948,0.3332083868733969,0.009375185886403842,-0.00962687940297232,-0.004340179853930361
SPLN07,?,,tierA_p95,B cells,interferon_response,35179,10355,ctrl,6.999999999999999,0.0002444565488736411,3.064358412848928,-328812.18060536514,1.0,20.177866835741543,-2.5276779986628033e-05,3.0643828096646817,-328811.90052971814,0.0,-328815.7581065794,3.0643952159269845,0.2800756469951011,3.577501214283984,3.8575768612790853,0.575,0.00796144424216439,-0.19984466832195386,0.10326581557442215,0.5668858532753606,0.009375185886403842,-0.002382254833889256,0.02607484820136569
SPLN07,?,,tierA_p95,B cells,interferon_response,35179,10355,ctrl+N2,49.99999999999999,0.00020569935062155853,3.064351737069772,-328810.2572437537,,21.2211739115045,-2.625126961479921e-05,3.064265779163617,-328811.2440611469,,,,-0.9868173932608387,,,,,,,,0.009375185886403842,,
SPLN07,?,,tierA_p95,B cells,oxidative_stress,35179,10355,naive,6.999999999999999,-0.0004223260040012238,12.504437759460236,-279387.8743278183,1.0,7.742591489922676,-0.0006177050187050397,12.503616737176419,-279390.1842030576,0.0,-279391.5529169191,12.504552006054624,-2.3098752393270843,3.678589100833051,1.3687138615059666,0.88,-0.06566062819656852,-0.2578431950016352,0.06424646751158289,0.8736155120339426,0.018853514684232398,-0.008648368235093786,-0.022400385872456123
SPLN07,?,,tierA_p95,B cells,oxidative_stress,35179,10355,ctrl,49.99999999999999,0.0003117784297416783,12.380232922323874,-279693.04941917775,1.0,8.563960425689007,-0.00036358567895902364,12.379893267401558,-279694.01457746665,0.0,-279696.9253103628,12.380276598913529,-0.9651582888909616,3.875891185074579,2.9107328961836174,0.73,-0.027435637422637413,-0.1930470406972038,0.11986633766265616,0.8222231149216181,0.018853514684232398,-0.0058025835281188525,0.016536886354982315
SPLN07,?,,tierA_p95,B cells,oxidative_stress,35179,10355,ctrl+N2,49.99999999999999,0.0003368844665569106,12.379883786601091,-279692.0415183457,,9.006764443646388,-0.00033852666839773095,12.37983933630693,-279692.1678296854,,,,-0.1263113396338719,,,,,,,,0.018853514684232398,,
SPLN07,?,,tierA_p95,B cells,secondary_senescence,35179,10355,naive,49.99999999999999,-0.0007335472879949917,1.2655925240535133,-359966.8932469509,1.0,49.99999999999999,-0.00015607007069532713,1.2561077898381598,-360231.52821295324,1.0,-359963.71850511385,1.2658506674247147,-264.63496600236977,-3.174741837021429,-267.8097078393912,1.0,-7.522526677914943,-10.678495666180716,-5.15376302086514,0.3616741432211846,0.005998594326904157,-0.08773085975570273,-0.12228653045975939
SPLN07,?,,tierA_p95,B cells,secondary_senescence,35179,10355,ctrl,49.99999999999999,0.000281306417468108,1.2178343800907856,-361274.09667723876,1.0,49.99999999999999,-7.794250641020266e-06,1.217860700579717,-361273.3363780638,1.0,-361277.0695673305,1.2178699373271742,0.7602991749881767,2.972890091710724,3.7331892666989006,0.58,0.021612302083293348,-0.1316218616282003,0.17117135670496234,0.3616741432211846,0.005998594326904157,-0.004381341706591657,0.04689538950142563
SPLN07,?,,tierA_p95,B cells,secondary_senescence,35179,10355,ctrl+N2,49.99999999999999,0.00026651611188917323,1.2177126620232117,-361275.61286463216,,49.99999999999999,4.974631373166492e-06,1.2176173233101837,-361278.36725160026,,,,-2.7543869681130877,,,,,,,,0.005998594326904157,,
SPLN07,?,,tierA_p95,B cells,tnfa_nfkb_proximal,35179,10355,naive,49.99999999999999,0.0006226138934737041,1.8061186780706777,-347455.8423031055,1.0,6.999999999999999,0.0001776919574967374,1.8062455009408735,-347453.3721746625,1.0,-347456.2202300198,1.8063046478437155,2.4701284430339,0.3779269143124111,2.848055357346311,0.24,0.07021599371880667,-0.13289867990935766,0.30341055594567123,0.8244519046126032,0.007165619691967037,0.005722298441986024,0.08688905079414018
SPLN07,?,,tierA_p95,B cells,tnfa_nfkb_proximal,35179,10355,ctrl,49.99999999999999,0.0005913552586653637,1.7992887018544477,-347543.12655945076,1.0,6.999999999999999,0.0001618119741213126,1.7994000811910251,-347540.9489809387,1.0,-347544.0561955192,1.7994457475982955,2.1775785120553337,0.9296360684675165,3.10721458052285,0.32,0.0618999548610061,-0.1996199846654536,0.29819857373901254,0.8244519046126032,0.007165619691967037,0.005210907800518045,0.08252674353423628
SPLN07,?,,tierA_p95,B cells,tnfa_nfkb_proximal,35179,10355,ctrl+N2,12.818224546846722,0.00037268964277730105,1.7992353450699863,-347542.16978622717,,6.999999999999999,0.00015720086016193246,1.799350506757467,-347539.91819453414,,,,2.2515916930024984,,,,,,,,0.007165619691967037,,
SPLN07,?,,tierA_p95,Endothelial,downstream_arrest,37381,10355,naive,49.99999999999999,-0.00022877447230865028,1.408798557675621,-380761.6162057583,1.0,21.2211739115045,-2.727097396717631e-05,1.4088205434239376,-380761.0328414153,0.0,-380764.67243288254,1.4088341266184161,0.5833643429796211,3.056227124237921,3.6395914672175422,0.59,0.015605905218683854,-0.1153821357291755,0.09432304841232989,0.7089144629114276,0.006139096695984498,-0.003105067372450577,-0.03726516841166934
SPLN07,?,,tierA_p95,Endothelial,downstream_arrest,37381,10355,ctrl,49.99999999999999,-0.0004116184886798338,1.3934099097679944,-381126.1843964667,1.0,45.204502969779604,-5.003325118727187e-05,1.3933052869591114,-381128.9912173613,0.0,-381127.29392671,1.3935176587560747,-2.8068208945915103,1.1095302432659082,-1.697290651325602,0.775,-0.0750868327383299,-0.34842688728875665,0.10113928715962128,0.44059279004087815,0.006139096695984498,-0.01640642303918312,-0.06704870585961274
SPLN07,?,,tierA_p95,Endothelial,downstream_arrest,37381,10355,ctrl+N2,49.99999999999999,-0.00042227331733368437,1.3933497807563047,-381125.7975119384,,45.204502969779604,-4.991533129997004e-05,1.3933052380360715,-381126.992529918,,,,-1.1950179795823053,,,,,,,,0.006139096695984498,,
SPLN07,?,,tierA_p95,Endothelial,emt_ecm,37381,10355,naive,49.99999999999999,-0.0003327789851036943,3.715461085139214,-344510.81090999633,1.0,49.99999999999999,0.0001015988178212546,3.7133874575727455,-344531.67935915897,1.0,-344514.05372601433,3.7155363457291486,-20.868449162633624,3.242816017998848,-17.625633144634776,0.92,-0.5582635339513021,-2.0329621938133635,0.14128245947927634,0.40679325954575063,0.009969773672847473,0.024048951644165553,-0.03337879033068063
SPLN07,?,,tierA_p95,Endothelial,emt_ecm,37381,10355,ctrl,6.999999999999999,0.000788844355773694,3.4254218954169993,-347503.0690476941,1.0,49.99999999999999,0.00017452827459685504,3.4223896430233443,-347536.17411593354,1.0,-347503.6220640443,3.4257377756148477,-33.10506823944161,0.5530163501971401,-32.55205188924447,1.0,-0.8856121623135178,-1.9806565893473944,-0.17517186423257866,0.28995971068786286,0.009969773672847473,0.04131172120234405,0.07912359714272911
SPLN07,?,,tierA_p95,Endothelial,emt_ecm,37381,10355,ctrl+N2,6.999999999999999,0.0007841001177706325,3.425408150121003,-347501.2190478857,,49.99999999999999,0.00014550944114989943,3.4202620317964834,-347557.42014440725,,,,-56.201096521637076,,,,,,,,0.009969773672847473,,
SPLN07,?,,tierA_p95,Endothelial,il6_jak_stat3,37381,10355,naive,6.999999999999999,-0.0010455923009374303,4.928103637117999,-333952.49245898693,1.0,6.999999999999999,-0.0004954783566309932,4.928398010683748,-333950.2596224984,1.0,-333952.1182411844,4.928680343465003,2.2328364885179326,-0.3742178025422618,1.8586186859756708,0.325,0.05973185544843457,-0.17118386853768675,0.1892471767385825,0.9257365159567283,0.011482590275855287,-0.007568596054502062,-0.09105892274541598
SPLN07,?,,tierA_p95,Endothelial,il6_jak_stat3,37381,10355,ctrl,6.999999999999999,-0.000405615502551121,4.7770745542134225,-335070.01029031095,1.0,49.99999999999999,-3.4793234444790665e-05,4.777025262486903,-335070.3960041018,1.0,-335073.35683292313,4.777158062999821,-0.3857137908344157,3.346542612183839,2.9608288213494234,0.73,-0.010318444954239205,-0.20035110742892911,0.08276864589244959,0.28995971068786286,0.011482590275855287,-0.007150686345836033,-0.035324390470388364
SPLN07,?,,tierA_p95,Endothelial,il6_jak_stat3,37381,10355,ctrl+N2,12.18803582947357,-0.0002432952990650678,4.77697742742809,-335068.7703230949,,49.99999999999999,-2.259296372326205e-05,4.776640093754827,-335071.4101336206,,,,-2.6398105257068916,,,,,,,,0.011482590275855287,,
SPLN07,?,,tierA_p95,Endothelial,interferon_response,37381,10355,naive,49.99999999999999,-0.00037191191960064487,2.3396314219737233,-361799.87404080294,1.0,49.99999999999999,-1.0939228415877594e-05,2.3397005116689624,-361798.7701901104,1.0,-361802.3721762304,2.339725423742911,1.1038506925688125,2.498135427478701,3.6019861200475134,0.57,0.02952972613276297,-0.19928113264385153,0.23142993962478883,0.40679325954575063,0.007911466427180727,-0.0032630407319457584,-0.04700922679465474
SPLN07,?,,tierA_p95,Endothelial,interferon_response,37381,10355,ctrl,18.24260882600192,0.00012673852180493736,2.315732455433834,-362137.6786755818,0.0,36.94920399670096,0.00010971246202182367,2.3151271656674397,-362147.45065691473,0.0,-362141.3814161196,2.3157508705677654,-9.771981332916766,3.7027405377593823,-6.069240795157384,0.975,-0.26141572812168656,-0.6961430132689257,-0.008884503422329595,0.4776045470469676,0.007911466427180727,0.020539381219190952,0.01601959926841039
SPLN07,?,,tierA_p95,Endothelial,interferon_response,37381,10355,ctrl+N2,6.999999999999999,0.00011109992003682757,2.3157041823062876,-362136.13506864663,,35.13265199376635,0.00011440707980427112,2.315084507910039,-362146.1394330407,,,,-10.004364394068157,,,,,,,,0.007911466427180727,,
SPLN07,?,,tierA_p95,Endothelial,oxidative_stress,37381,10355,naive,6.999999999999999,-0.002129171486185249,13.626688537881495,-295933.17427918414,1.0,9.006764443646388,-0.0015047525722675162,13.623981842138665,-295940.60007770464,0.0,-295930.6147337989,13.629079932571766,-7.425798520504031,-2.559545385243837,-9.985343905747868,0.995,-0.19865168188395257,-0.786081080476514,-0.05920350460111314,0.881783557177414,0.01909447894275698,-0.019340624723455317,-0.11150717924572594
SPLN07,?,,tierA_p95,Endothelial,oxidative_stress,37381,10355,ctrl,7.742591489922676,-0.0010244398727628603,13.236541011976293,-296973.05490153225,0.0,45.204502969779604,-0.00020095625307418852,13.233748796588431,-296980.9411622839,0.0,-296975.27548198844,13.237171116049876,-7.886260751634836,2.2205804561963305,-5.665680295438506,0.99,-0.2109697640949904,-0.5912624350279195,-0.042393946066522685,0.3310834830535928,0.01909447894275698,-0.021186214644788825,-0.05365110384946142
SPLN07,?,,tierA_p95,Endothelial,oxidative_stress,37381,10355,ctrl+N2,6.999999999999999,-0.001122312151883822,13.23642468397232,-296971.38342211937,,33.40540803599722,-0.0002797878152132833,13.233573673192858,-296979.43583171314,,,,-8.052409593774726,,,,,,,,0.01909447894275698,,
SPLN07,?,,tierA_p95,Endothelial,secondary_senescence,37381,10355,naive,49.99999999999999,-0.0007808790125203927,2.031352409736962,-367081.4961650267,1.0,49.99999999999999,-1.2617464349633637e-05,2.0317336710097047,-367074.4808434731,1.0,-367077.8710801886,2.0317668131594804,7.015321553568356,-3.625084838073235,3.3902367154951207,0.395,0.18767078338108548,-0.7690017460837322,0.5348425819551813,0.40679325954575063,0.0073724438492327755,-0.004038809848640396,-0.1059186110309592
SPLN07,?,,tierA_p95,Endothelial,secondary_senescence,37381,10355,ctrl,6.999999999999999,0.0005157708650905636,1.9540023891063603,-368486.7015949279,1.0,49.99999999999999,0.0001161251000960613,1.9526550773697766,-368512.4852027584,1.0,-368488.11835022125,1.9541374267122018,-25.783607830526307,1.4167552933795378,-24.36685253714677,0.99,-0.6897516875023757,-1.638649681791948,-0.03162005539709624,0.28995971068786286,0.0073724438492327755,0.03717127189314724,0.06995928020181241
SPLN07,?,,tierA_p95,Endothelial,secondary_senescence,37381,10355,ctrl+N2,7.361938632551805,0.00048260593517410357,1.9539673888166775,-368485.37117320154,,49.99999999999999,9.85593022428433e-05,1.9518736888038333,-368525.4468476189,,,,-40.075674417383254,,,,,,,,0.0073724438492327755,,
SPLN07,?,,tierA_p95,Endothelial,tnfa_nfkb_proximal,37381,10355,naive,6.999999999999999,0.0004332140611124303,2.022668867759162,-367241.63344940374,1.0,40.868941774896264,5.303978090044288e-05,2.022455641098161,-367245.57430502126,0.0,-367243.80387294496,2.022767867729937,-3.9408556175185367,2.1704235412180424,-1.7704320763004944,0.895,-0.1054240287182937,-0.6034804968725569,0.06893984083001437,0.3523415306198537,0.007356098999944792,0.012424014480193674,0.058891820386972736
SPLN07,?,,tierA_p95,Endothelial,tnfa_nfkb_proximal,37381,10355,ctrl,6.999999999999999,0.0005333442321328714,1.9980736741425984,-367652.96409951797,1.0,49.99999999999999,0.00010718167588481328,1.9969575733559446,-367673.8505266854,1.0,-367654.26356178656,1.9982180273771417,-20.886427167453803,1.2994622685946524,-19.58696489885915,0.99,-0.5587444735949761,-1.007485880668578,-0.013610612382996864,0.28995971068786286,0.007356098999944792,0.034384742134940485,0.07250367784125396
SPLN07,?,,tierA_p95,Endothelial,tnfa_nfkb_proximal,37381,10355,ctrl+N2,6.999999999999999,0.0005291136737248863,1.9980626096302718,-367651.1711007341,,49.99999999999999,0.00010342222724608112,1.9969217517470543,-367672.52107652085,,,,-21.34997578671028,,,,,,,,0.007356098999944792,,
SPLN07,?,,tierA_p95,Erythroid cells,downstream_arrest,9733,10355,naive,6.999999999999999,-0.0012800404532155249,2.2920970511978793,-81299.63575711763,1.0,49.99999999999999,6.201929925972631e-05,2.292141582991563,-81299.44666227221,1.0,-81302.61883614567,2.292336546043522,0.18909484542382415,2.9830790280393558,3.17217387346318,0.66,0.01942821796196693,-3.149088954248815,0.6441696419754013,0.28272360981860123,0.015346729114969634,0.009222251637729526,-0.08340803069779404
SPLN07,?,,tierA_p95,Erythroid cells,downstream_arrest,9733,10355,ctrl,49.99999999999999,0.0007998246196246907,1.2244673044169574,-87355.84955983497,1.0,49.99999999999999,0.00026594935184532596,1.2227235721140155,-87369.71995265114,1.0,-87359.00145011385,1.2245740061400423,-13.870392816170352,3.151890278881183,-10.718502537289169,0.99,-1.4250891622490858,-3.0184796174348785,-0.09015280445157886,0.40028783332016044,0.015346729114969634,0.03954659073681844,0.05211694385042622
SPLN07,?,,tierA_p95,Erythroid cells,downstream_arrest,9733,10355,ctrl+N2,49.99999999999999,0.000816190956182367,1.2244454489632963,-87354.02328519957,,49.99999999999999,0.00023122687162079446,1.2214202540658292,-87378.10002572986,,,,-24.076740530293392,,,,,,,,0.015346729114969634,,
SPLN07,?,,tierA_p95,Erythroid cells,emt_ecm,9733,10355,naive,7.361938632551805,-0.0010092761764628237,0.9803128403859175,-89566.36587480937,0.0,6.999999999999999,-0.0008214887659970616,0.9802554020083099,-89566.93616633743,1.0,-89568.75655037099,0.9804749457848481,-0.5702915280562593,2.390675561618991,1.820384033562732,0.84,-0.05859360197845056,-0.9465818993592179,0.13871784578459495,0.9237117873122903,0.010036791180949797,-0.014963814471129646,-0.10055765415125002
SPLN07,?,,tierA_p95,Erythroid cells,emt_ecm,9733,10355,ctrl,12.818224546846722,-0.0009502676764701726,0.9090143436431363,-90255.31319167775,0.0,8.563960425689007,-0.0008145852607932471,0.9089220671175887,-90256.30126520837,0.0,-90256.6276429148,0.9092651952991264,-0.9880735306214774,1.3144512370490702,0.3263777064275928,0.73,-0.10151788047071586,-0.5754859620860046,0.27536794373180923,0.8981683258301199,0.010036791180949797,-0.019286787191942652,-0.09467843449599087
SPLN07,?,,tierA_p95,Erythroid cells,emt_ecm,9733,10355,ctrl+N2,14.178039470333344,-0.0008861030599957436,0.9087032687169747,-90256.64450372016,,11.019082036984365,-0.0005427215156445043,0.9083310576779429,-90260.63202342845,,,,-3.9875197082892435,,,,,,,,0.010036791180949797,,
SPLN07,?,,tierA_p95,Erythroid cells,il6_jak_stat3,9733,10355,naive,6.999999999999999,0.0012312503755208253,1.9064789891039946,-83092.54255581072,1.0,14.178039470333344,0.0004441859996973581,1.9063424717086874,-83093.23953248415,0.0,-83095.41137769134,1.9067005747036534,-0.6969766734255245,2.8688218806200894,2.171845207194565,0.805,-0.07160964486032308,-1.1650755816969278,0.18217382368091822,0.7548292636048916,0.013996449677904558,0.013704485251967196,0.08796876377704306
SPLN07,?,,tierA_p95,Erythroid cells,il6_jak_stat3,9733,10355,ctrl,6.999999999999999,0.0012342477787776291,1.7905871547610892,-83656.94272693516,1.0,49.99999999999999,-0.00010771437977122965,1.7904976381569833,-83657.42931977409,1.0,-83659.77884701088,1.7908012874079546,-0.48659283893357497,2.836120075720828,2.349527236787253,0.86,-0.04999412708656888,-1.2675060576409725,0.15539708627677715,0.28272360981860123,0.013996449677904558,-0.0175623140403223,0.08818291831805652
SPLN07,?,,tierA_p95,Erythroid cells,il6_jak_stat3,9733,10355,ctrl+N2,6.999999999999999,0.0012159840901719802,1.7905271475336797,-83655.26891051665,,49.99999999999999,-7.381425287141334e-05,1.7892479553195648,-83662.22486612402,,,,-6.955955607373186,,,,,,,,0.013996449677904558,,
SPLN07,?,,tierA_p95,Erythroid cells,interferon_response,9733,10355,naive,6.999999999999999,0.00042122198729262667,0.8332546245703951,-91148.29448702652,1.0,36.94920399670096,3.828489049539516e-05,0.8332512625381869,-91148.3337580063,0.0,-91151.99156344768,0.8332805586504297,-0.03927097977430094,3.697076421158272,3.657805441383971,0.635,-0.004034827881876188,-0.6430529056419227,0.28162561642483597,0.38325531467793367,0.009252780570414062,0.005929381181773025,0.04552382757178615
SPLN07,?,,tierA_p95,Erythroid cells,interferon_response,9733,10355,ctrl,49.99999999999999,-0.00014773152533991508,0.7569553884658916,-92037.00263128142,1.0,49.99999999999999,-6.842023212127508e-05,0.7568365319682351,-92038.53101874134,1.0,-92040.95582094963,0.7569590290102339,-1.5283874599263072,3.9531896682165097,2.4248022082902025,0.795,-0.1570314866871784,-0.7762856506750384,0.12624516274785882,0.40028783332016044,0.009252780570414062,-0.01687478393774466,-0.015966176242882404
SPLN07,?,,tierA_p95,Erythroid cells,interferon_response,9733,10355,ctrl+N2,14.178039470333344,-8.199327652477241e-05,0.7569107103711818,-92035.57712316846,,49.99999999999999,-5.731407476337711e-05,0.7567033567391324,-92038.24381735058,,,,-2.6666941821110957,,,,,,,,0.009252780570414062,,
SPLN07,?,,tierA_p95,Erythroid cells,oxidative_stress,9733,10355,naive,6.999999999999999,0.003574320184294388,4.5179992718047775,-74694.80136735774,1.0,7.742591489922676,0.0028043350431064817,4.516525024220566,-74697.97781614338,0.0,-74694.77932612288,4.519866664641221,-3.1764487856416963,-0.02204123485716991,-3.198490020498866,0.975,-0.3263586546431415,-0.8994570332941542,-0.003556863127445243,0.9089599090015082,0.021549611746566173,0.027190490749808338,0.16586471376673756
SPLN07,?,,tierA_p95,Erythroid cells,oxidative_stress,9733,10355,ctrl,6.999999999999999,0.004406635281133576,4.343005064313006,-75033.28150882697,1.0,6.999999999999999,0.0036289710805880665,4.341661999075538,-75036.29188423115,1.0,-75031.1657964628,4.345734840965612,-3.0103754041774664,-2.115712364175124,-5.1260877683525905,0.95,-0.3092957365845542,-0.6799830733605984,0.05635225202216279,0.9230159513714092,0.021549611746566173,0.03078786914988761,0.2044879199102631
SPLN07,?,,tierA_p95,Erythroid cells,oxidative_stress,9733,10355,ctrl+N2,6.999999999999999,0.004363223228198296,4.342667757032818,-75032.03746909102,,6.999999999999999,0.0035911741688112557,4.341301215345602,-75035.10071134668,,,,-3.063242255647681,,,,,,,,0.021549611746566173,,
SPLN07,?,,tierA_p95,Erythroid cells,secondary_senescence,9733,10355,naive,49.99999999999999,0.00017539592817040854,0.5147572000731454,-95836.13489555105,1.0,7.742591489922676,-0.0001051951137755034,0.514757953220902,-95836.12065508633,0.0,-95840.03174874728,0.5147626553121523,0.014240464719478041,3.89685319623095,3.911093660950428,0.64,0.0014631115503419337,-0.5786394234539782,0.2686802083741393,0.8287763463126004,0.007272440128456346,-0.003022330891840162,0.024117892350874578
