arm,section,call,n_cells,n_senders_full,n_senders_iso,prevalence_full,prevalence_iso,jaccard_top5pct,n_intersection,n_union,spearman_tierA,pearson_tierA
h1,SPLN07,tierAmg_p95,227360,10352,10345,4.5531,4.5501,0.5553,7390,13307,0.8696,0.9113
h1,SPLN07,tierA_p95,227360,10355,10347,4.5545,4.5509,0.5572,7408,13294,0.8696,0.9113
h1,SPLN14,tierAmg_p95,283628,11612,11611,4.0941,4.0937,0.5518,8258,14965,0.8701,0.9054
h1,SPLN14,tierA_p95,283628,9680,9678,3.4129,3.4122,0.5515,6881,12477,0.8701,0.9054
h1,SPLN21,tierAmg_p95,196142,8536,8530,4.3519,4.3489,0.5722,6211,10855,0.848,0.9031
h1,SPLN21,tierA_p95,196142,7529,7519,3.8385,3.8334,0.5747,5492,9556,0.848,0.9031
h1,SPLN24,tierAmg_p95,393202,16482,16482,4.1917,4.1917,0.5559,11778,21186,0.934,0.9367
h1,SPLN24,tierA_p95,393202,16116,16116,4.0987,4.0987,0.5565,11524,20708,0.934,0.9367
h1,SPLN30,tierAmg_p95,291577,11688,11681,4.0085,4.0061,0.5431,8225,15144,0.8588,0.8982
h1,SPLN30,tierA_p95,291577,11691,11684,4.0096,4.0072,0.5424,8220,15155,0.8588,0.8982
h1,SPLN43,tierAmg_p95,270472,10378,10374,3.837,3.8355,0.5192,7092,13660,0.866,0.8929
h1,SPLN43,tierA_p95,270472,9138,9138,3.3785,3.3785,0.5222,6270,12006,0.866,0.8929
h1,SPLN44,tierAmg_p95,299897,12035,12034,4.013,4.0127,0.5645,8685,15384,0.893,0.9157
h1,SPLN44,tierA_p95,299897,10657,10657,3.5536,3.5536,0.5721,7756,13558,0.893,0.9157
