true_family,true_superposition,regime,rep,n,true_d_half,fit_family,fit_mode,lam,d_half,aic,beta,rss,k_params
exponential,False,clean,0,11246,20.8,exponential,nearest,43.77126715941092,30.400000000000002,1477.8871603195835,1.2741385987044724,12809.436111346546,6
exponential,False,clean,0,11246,20.8,gaussian,nearest,29.000052655665577,34.2,1477.7740225243754,0.7847230613858893,12809.307245610311,6
exponential,False,clean,0,11246,20.8,powerlaw,nearest,265.7197469699947,32.6,1480.1085865164266,1.3610762514615986,12809.688323034692,7
exponential,False,clean,0,11246,20.8,step,nearest,36.012661273651375,36.2,1596.909717563027,0.40103121960142574,12945.725305755966,6
exponential,False,clean,0,11246,20.8,spline,nearest,,240.9,1482.3372133400844,,12803.116161842683,11
exponential,False,clean,0,11246,20.8,exponential,superposition,17.901628468571026,,1601.9544985517973,0.8270449742662401,12951.533859842268,6
exponential,False,clean,1,11143,20.8,exponential,nearest,37.80703810621123,26.400000000000002,1719.792492757639,1.1640500940310168,12986.280799922692,6
exponential,False,clean,1,11143,20.8,gaussian,nearest,28.03634109288479,33.2,1718.9574007374706,0.7351930719985903,12985.307603018078,6
exponential,False,clean,1,11143,20.8,powerlaw,nearest,223.96630654145002,27.6,1722.302463125825,1.2406978906950978,12986.875143452131,7
exponential,False,clean,1,11143,20.8,step,nearest,33.321614053498976,33.4,1838.7532103287012,0.3832197157225895,13125.662745484602,6
exponential,False,clean,1,11143,20.8,spline,nearest,,243.9,1724.685639536653,,12980.330532023672,11
exponential,False,clean,1,11143,20.8,exponential,superposition,17.901628468571026,,1780.8435939631318,0.8159894949643903,13057.626273723936,6
exponential,False,clean,2,11276,20.8,exponential,nearest,29.337960166573218,20.400000000000002,1952.6159416342439,1.1865379822224376,13391.238564368128,6
exponential,False,clean,2,11276,20.8,gaussian,nearest,25.02037073476708,29.6,1949.2029773702843,0.7357170471088292,13387.185983429452,6
exponential,False,clean,2,11276,20.8,powerlaw,nearest,167.07987190750015,20.6,1955.7459693355902,1.2527613939901672,13392.58063857981,7
exponential,False,clean,2,11276,20.8,step,nearest,28.527759021034033,28.6,2040.4841870727314,0.40367812676325754,13495.997445973422,6
exponential,False,clean,2,11276,20.8,spline,nearest,,,1958.3646115727024,,13386.190688853472,11
exponential,False,clean,2,11276,20.8,exponential,superposition,16.563928731234586,,2031.884096624471,0.880941788025924,13485.708110349779,6
exponential,False,clean,3,11217,20.8,exponential,nearest,39.18794117651141,27.200000000000003,1835.1845379444883,1.1279627135312686,13194.36452780082,6
exponential,False,clean,3,11217,20.8,gaussian,nearest,29.27025460205337,34.6,1839.3103714741371,0.7011330784245325,13199.218567600894,6
exponential,False,clean,3,11217,20.8,powerlaw,nearest,231.02089630970752,28.400000000000002,1837.4290391643954,1.2035445423250213,13194.65213352274,7
exponential,False,clean,3,11217,20.8,step,nearest,38.92103695602845,39.0,1952.2088027378752,0.338998772122306,13332.73871867399,6
exponential,False,clean,3,11217,20.8,spline,nearest,,242.4,1843.6476982936185,,13192.556893538484,11
exponential,False,clean,3,11217,20.8,exponential,superposition,17.901628468571026,,1915.3561845924173,0.7809812584323603,13289.006876723844,6
exponential,False,clean,4,11220,20.8,exponential,nearest,28.025875179086412,19.6,1894.1531226402994,1.1381129247026742,13266.863758131673,6
exponential,False,clean,4,11220,20.8,gaussian,nearest,24.349775834244053,28.8,1888.718746158527,0.7088880495265787,13260.439544656836,6
exponential,False,clean,4,11220,20.8,powerlaw,nearest,159.68791720471503,19.6,1897.3575721386826,1.220444995204048,13268.288011706003,7
exponential,False,clean,4,11220,20.8,step,nearest,33.321614053498976,33.4,1963.9279651286715,0.3777186067576393,13349.624689675284,6
exponential,False,clean,4,11220,20.8,spline,nearest,,238.0,1897.5162662221485,,13259.018461049662,11
exponential,False,clean,4,11220,20.8,exponential,superposition,15.32618864787106,,1962.3714325119324,0.933028517841034,13347.772846093296,6
exponential,False,clean,5,11235,20.8,exponential,nearest,43.37260758443659,30.200000000000003,1626.10040049898,1.0600088394189624,12968.496079898083,6
exponential,False,clean,5,11235,20.8,gaussian,nearest,29.40240133443385,34.800000000000004,1632.9163046891429,0.654520577557373,12976.36602600031,6
exponential,False,clean,5,11235,20.8,powerlaw,nearest,23.470355795012853,42.0,1627.4981237190275,1.908748779114603,12967.800893898013,7
exponential,False,clean,5,11235,20.8,step,nearest,30.831655419554103,31.0,1711.5586094477999,0.35168658673568953,13067.516117408937,6
exponential,False,clean,5,11235,20.8,spline,nearest,,239.20000000000002,1626.9603158032596,,12957.950022925714,11
exponential,False,clean,5,11235,20.8,exponential,superposition,15.32618864787106,,1714.206327659248,0.8532617839125424,13070.596062015527,6
exponential,False,clean,6,11209,20.8,exponential,nearest,32.78933838003079,22.8,1832.200364773785,1.180138577873112,13182.972026380126,6
exponential,False,clean,6,11209,20.8,gaussian,nearest,26.02729083870247,30.8,1840.896243667664,0.7317088749888624,13193.203269780763,6
exponential,False,clean,6,11209,20.8,powerlaw,nearest,57.634598875632406,23.6,1833.8987776480428,1.4218605908066742,13182.617332727132,7
exponential,False,clean,6,11209,20.8,step,nearest,33.321614053498976,33.4,1943.8193456184492,0.3808505070721583,13314.903573742453,6
exponential,False,clean,6,11209,20.8,spline,nearest,,,1837.9059386840543,,13177.922293534586,11
exponential,False,clean,6,11209,20.8,exponential,superposition,15.32618864787106,,1911.1223445238372,0.9614197056998833,13276.120180207123,6
exponential,False,clean,7,11312,20.8,exponential,nearest,38.51657811216904,26.8,1707.0783259043835,1.2219570077220827,13138.345696557568,6
exponential,False,clean,7,11312,20.8,gaussian,nearest,27.103792447436696,32.0,1726.1973280175903,0.748989112862926,13160.570277108367,6
exponential,False,clean,7,11312,20.8,powerlaw,nearest,15.51678029609943,30.400000000000002,1705.1063565281945,2.1886627211894476,13133.733254373614,7
exponential,False,clean,7,11312,20.8,step,nearest,28.527759021034033,28.6,1849.3725843958157,0.40590510933294033,13304.657485626476,6
exponential,False,clean,7,11312,20.8,spline,nearest,,229.3,1707.584119678168,,13127.32325741861,11
exponential,False,clean,7,11312,20.8,exponential,superposition,14.18093873026609,,1800.5456492628293,1.1043152789344646,13247.353238260885,6
exponential,False,clean,8,11176,20.8,exponential,nearest,47.75386143309718,33.2,1758.2672350604566,1.2555805177492714,13063.749872942088,6
exponential,False,clean,8,11176,20.8,gaussian,nearest,29.721022484011264,35.0,1766.8902147001838,0.7658875085337721,13073.833258589628,6
exponential,False,clean,8,11176,20.8,powerlaw,nearest,29.645522001744226,49.800000000000004,1759.170605270496,2.289166789859126,13062.468073153448,7
exponential,False,clean,8,11176,20.8,step,nearest,36.012661273651375,36.2,1880.7223143589792,0.39135645783998924,13207.676025257459,6
exponential,False,clean,8,11176,20.8,spline,nearest,,241.3,1742.5138205616665,,13033.6810800251,11
exponential,False,clean,8,11176,20.8,exponential,superposition,15.32618864787106,,1894.6028841507523,0.9298657145181441,13224.090123664211,6
exponential,False,clean,9,11244,20.8,exponential,nearest,37.87301777632464,26.400000000000002,1598.2068325046807,1.1452911440122442,12945.240367158824,6
exponential,False,clean,9,11244,20.8,gaussian,nearest,27.63582159917028,32.6,1606.2488614826407,0.7104843309017371,12954.50248356082,6
exponential,False,clean,9,11244,20.8,powerlaw,nearest,26.163063305061407,32.2,1599.5414786377391,1.74897110492382,12944.47436654485,7
exponential,False,clean,9,11244,20.8,step,nearest,38.92103695602845,39.0,1721.8622677391977,0.3523678411631136,13088.39082745866,6
exponential,False,clean,9,11244,20.8,spline,nearest,,239.9,1604.0460263487325,,12940.45090867508,11
exponential,False,clean,9,11244,20.8,exponential,superposition,15.32618864787106,,1699.7885077562155,0.9211612449010411,13062.721439781637,6
exponential,False,clean,10,11211,20.8,exponential,nearest,59.87481249963855,41.6,1377.8437296858297,1.2638773321628676,12661.269913784019,6
exponential,False,clean,10,11211,20.8,gaussian,nearest,34.02037931292862,40.2,1387.2334859614093,0.73674413395214,12671.878783557264,6
