response,design,design_label,n_fits,n_sections,median_abs_amplitude,median_signed_amplitude,frac_positive,frac_CI_excludes_zero,clustered_mean,clustered_lo,clustered_hi,clustered_p,median_CI_halfwidth
all_controls,base,naive (intercept only),165,11,0.1277,-0.0865,0.321,0.43,-0.0744,-0.1306,-0.0182,0.0145,0.1346
all_controls,n6,+N6 neighbour baseline,165,11,0.0946,-0.0558,0.321,0.327,-0.0625,-0.1085,-0.0164,0.0128,0.1304
all_controls,n5,+N5 technical covariates,165,11,0.0528,0.0032,0.503,0.121,0.0038,-0.0186,0.0261,0.715,0.1354
all_controls,n6n5,+N6+N5 (full nuisance design),165,11,0.0474,0.0046,0.539,0.103,0.0053,-0.0162,0.0268,0.595,0.1336
all_controls,n2,N2 matched-decoy contrast,165,11,0.1163,-0.0804,0.321,0.394,-0.0642,-0.1113,-0.0172,0.0124,0.1336
genomic_control,base,naive (intercept only),165,11,0.0752,-0.045,0.376,0.194,-0.0307,-0.0558,-0.0056,0.0213,0.1345
genomic_control,n6,+N6 neighbour baseline,165,11,0.0746,-0.042,0.376,0.194,-0.0295,-0.0546,-0.0045,0.0254,0.1345
genomic_control,n5,+N5 technical covariates,165,11,0.0578,0.0005,0.503,0.109,0.0108,-0.0125,0.0341,0.327,0.1434
genomic_control,n6n5,+N6+N5 (full nuisance design),165,11,0.0586,0.004,0.509,0.109,0.0113,-0.0119,0.0346,0.303,0.1439
genomic_control,n2,N2 matched-decoy contrast,165,11,0.0731,-0.0405,0.376,0.194,-0.0262,-0.0501,-0.0024,0.0344,0.1365
neg_control_codeword,base,naive (intercept only),165,11,0.1269,-0.0818,0.358,0.43,-0.0604,-0.1085,-0.0123,0.0188,0.1351
neg_control_codeword,n6,+N6 neighbour baseline,165,11,0.1014,-0.0578,0.358,0.327,-0.052,-0.0917,-0.0122,0.0155,0.1314
neg_control_codeword,n5,+N5 technical covariates,165,11,0.051,-0.0024,0.479,0.121,0.0017,-0.0172,0.0207,0.842,0.1372
neg_control_codeword,n6n5,+N6+N5 (full nuisance design),165,11,0.0473,0.0023,0.509,0.091,0.0026,-0.0154,0.0207,0.752,0.1395
neg_control_codeword,n2,N2 matched-decoy contrast,165,11,0.1188,-0.0741,0.358,0.4,-0.0512,-0.0922,-0.0102,0.0195,0.1344
neg_control_probe,base,naive (intercept only),165,11,0.0822,-0.0425,0.412,0.315,-0.0225,-0.0527,0.0078,0.129,0.1259
neg_control_probe,n6,+N6 neighbour baseline,165,11,0.0797,-0.0395,0.412,0.309,-0.0217,-0.0511,0.0077,0.131,0.1247
neg_control_probe,n5,+N5 technical covariates,165,11,0.0497,-0.0116,0.436,0.139,0.0015,-0.0161,0.019,0.854,0.1315
neg_control_probe,n6n5,+N6+N5 (full nuisance design),165,11,0.0521,-0.0107,0.448,0.145,0.0015,-0.016,0.0191,0.849,0.1308
neg_control_probe,n2,N2 matched-decoy contrast,165,11,0.0792,-0.0422,0.412,0.297,-0.0194,-0.0464,0.0075,0.14,0.1265
neg_probe_rate,base,naive (intercept only),165,11,0.0735,0.0068,0.509,0.212,0.0113,-0.0085,0.031,0.232,0.1324
neg_probe_rate,n6,+N6 neighbour baseline,165,11,0.0732,0.0066,0.509,0.212,0.0112,-0.0085,0.031,0.232,0.132
neg_probe_rate,n5,+N5 technical covariates,165,11,0.0694,0.0023,0.503,0.158,0.01,-0.0056,0.0255,0.183,0.1318
neg_probe_rate,n6n5,+N6+N5 (full nuisance design),165,11,0.0697,0.0024,0.503,0.164,0.0097,-0.006,0.0253,0.199,0.1326
neg_probe_rate,n2,N2 matched-decoy contrast,165,11,0.0751,0.0031,0.509,0.212,0.0115,-0.008,0.031,0.219,0.1286
BIOLOGICAL MODULES (reference),base,naive (intercept only),1155,11,0.312,0.2394,0.752,0.728,0.2767,0.2032,0.3502,7.77e-06,0.185
BIOLOGICAL MODULES (reference),n6,+N6 neighbour baseline,1155,11,0.1705,0.1041,0.683,0.555,0.1124,0.0795,0.1452,1.82e-05,0.1574
BIOLOGICAL MODULES (reference),n5,+N5 technical covariates,1155,11,0.0982,0.0383,0.624,0.306,0.0694,0.04,0.0988,0.000365,0.1653
BIOLOGICAL MODULES (reference),n6n5,+N6+N5 (full nuisance design),1155,11,0.0795,0.021,0.593,0.248,0.031,0.0104,0.0515,0.00722,0.1525
BIOLOGICAL MODULES (reference),n2,N2 matched-decoy contrast,1155,11,0.2965,0.2322,0.752,0.713,0.2662,0.1963,0.336,6.94e-06,0.1842
