section,arm,A,B,n,n_A,n_B,n_both,jaccard,chance,ratio
7001_liver_sham_Male_52-U1,sham,tierA_score,senepy_score,108311,5436,5434,260,0.02451,0.0257,0.953
7001_liver_sham_Male_52-U1,sham,tierA_score,deepscence_score,139859,7037,7034,388,0.02836,0.02587,1.096
7001_liver_sham_Male_52-U1,sham,tierA_score,cdkn1a_counts,139859,7037,3097,244,0.02467,0.01576,1.566
7001_liver_sham_Male_52-U1,sham,senepy_score,deepscence_score,108311,5434,5434,113,0.01051,0.02535,0.414
7001_liver_sham_Male_52-U1,sham,senepy_score,cdkn1a_counts,108311,5434,2246,131,0.01735,0.01493,1.163
7001_liver_sham_Male_52-U1,sham,deepscence_score,cdkn1a_counts,139859,7034,3097,155,0.01554,0.01561,0.995
7239_liver_sbr_Male_52-U1,SBR,tierA_score,senepy_score,45527,2308,2309,88,0.01943,0.02585,0.752
7239_liver_sbr_Male_52-U1,SBR,tierA_score,deepscence_score,75384,3826,3827,323,0.04407,0.0265,1.663
7239_liver_sbr_Male_52-U1,SBR,tierA_score,cdkn1a_counts,75384,3826,1764,121,0.02212,0.01637,1.352
7239_liver_sbr_Male_52-U1,SBR,senepy_score,deepscence_score,45527,2309,2309,61,0.01339,0.0257,0.521
7239_liver_sbr_Male_52-U1,SBR,senepy_score,cdkn1a_counts,45527,2309,1196,51,0.01477,0.01756,0.841
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,cdkn1a_counts,75384,3827,1764,164,0.03022,0.0165,1.831
7248_liver_sham_Male_26-U1,sham,tierA_score,senepy_score,163401,8193,8193,381,0.02381,0.02567,0.927
7248_liver_sham_Male_26-U1,sham,tierA_score,deepscence_score,195443,9813,9813,643,0.03387,0.02595,1.305
7248_liver_sham_Male_26-U1,sham,tierA_score,cdkn1a_counts,195443,9813,4187,286,0.02085,0.01533,1.36
7248_liver_sham_Male_26-U1,sham,senepy_score,deepscence_score,163401,8193,8194,186,0.01148,0.02536,0.453
7248_liver_sham_Male_26-U1,sham,senepy_score,cdkn1a_counts,163401,8193,3545,229,0.0199,0.01544,1.288
7248_liver_sham_Male_26-U1,sham,deepscence_score,cdkn1a_counts,195443,9813,4187,209,0.01515,0.01524,0.994
7250_liver_sham_Male_26-U1,sham,tierA_score,senepy_score,183070,9177,9181,452,0.02524,0.0257,0.982
7250_liver_sham_Male_26-U1,sham,tierA_score,deepscence_score,218273,10957,10961,610,0.02863,0.02582,1.109
7250_liver_sham_Male_26-U1,sham,tierA_score,cdkn1a_counts,218273,10957,1514,83,0.0067,0.00614,1.092
7250_liver_sham_Male_26-U1,sham,senepy_score,deepscence_score,183070,9181,9181,990,0.05699,0.0265,2.15
7250_liver_sham_Male_26-U1,sham,senepy_score,cdkn1a_counts,183070,9181,1237,85,0.00823,0.006,1.37
7250_liver_sham_Male_26-U1,sham,deepscence_score,cdkn1a_counts,218273,10961,1514,217,0.0177,0.0062,2.854
7259_liver_sbr_Male_26-U1,SBR,tierA_score,senepy_score,63357,3184,3185,173,0.02792,0.02583,1.081
7259_liver_sbr_Male_26-U1,SBR,tierA_score,deepscence_score,114721,5767,5768,381,0.03416,0.026,1.314
7259_liver_sbr_Male_26-U1,SBR,tierA_score,cdkn1a_counts,114721,5767,2218,161,0.02058,0.01425,1.444
7259_liver_sbr_Male_26-U1,SBR,senepy_score,deepscence_score,63357,3185,3185,61,0.00967,0.02538,0.381
7259_liver_sbr_Male_26-U1,SBR,senepy_score,cdkn1a_counts,63357,3185,1320,65,0.01464,0.01495,0.98
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,cdkn1a_counts,114721,5768,2218,168,0.02149,0.01426,1.506
7260_liver_sbr_Male_26-U1,SBR,tierA_score,senepy_score,106373,5348,5345,218,0.02081,0.02565,0.811
7260_liver_sbr_Male_26-U1,SBR,tierA_score,deepscence_score,180669,9081,9081,626,0.0357,0.02603,1.371
7260_liver_sbr_Male_26-U1,SBR,tierA_score,cdkn1a_counts,180669,9081,4191,280,0.02155,0.01621,1.329
7260_liver_sbr_Male_26-U1,SBR,senepy_score,deepscence_score,106373,5345,5349,136,0.01288,0.02546,0.506
7260_liver_sbr_Male_26-U1,SBR,senepy_score,cdkn1a_counts,106373,5345,2513,171,0.02225,0.01643,1.354
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,cdkn1a_counts,180669,9081,4191,211,0.01615,0.01613,1.002
7352_liver_sham_Male_2-U1,sham,tierA_score,senepy_score,103290,5187,5187,258,0.0255,0.02575,0.99
