section,arm,A,B,n,n_strata,n_A,n_B,n_both,exp_both_marginal,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
7001_liver_sham_Male_52-U1,sham,tierA_score,senepy_score,108311,60,5436,5434,260,272.73,0.953,272.75,15.691,0.953,-0.81
7001_liver_sham_Male_52-U1,sham,tierA_score,deepscence_score,139859,100,7037,7034,388,353.92,1.096,353.98,17.874,1.096,1.9
7001_liver_sham_Male_52-U1,sham,tierA_score,cdkn1a_counts,139859,100,7037,3097,244,155.83,1.566,155.88,11.986,1.565,7.35
7001_liver_sham_Male_52-U1,sham,senepy_score,deepscence_score,108311,60,5434,5434,113,272.63,0.414,272.64,15.688,0.414,-10.18
7001_liver_sham_Male_52-U1,sham,senepy_score,cdkn1a_counts,108311,60,5434,2246,131,112.68,1.163,112.63,10.197,1.163,1.8
7001_liver_sham_Male_52-U1,sham,deepscence_score,cdkn1a_counts,139859,100,7034,3097,155,155.76,0.995,155.84,11.985,0.995,-0.07
7239_liver_sbr_Male_52-U1,SBR,tierA_score,senepy_score,45527,60,2308,2309,88,117.06,0.752,117.16,10.282,0.751,-2.84
7239_liver_sbr_Male_52-U1,SBR,tierA_score,deepscence_score,75384,110,3826,3827,323,194.23,1.663,194.53,13.248,1.66,9.7
7239_liver_sbr_Male_52-U1,SBR,tierA_score,cdkn1a_counts,75384,110,3826,1764,121,89.53,1.352,89.58,9.075,1.351,3.46
7239_liver_sbr_Male_52-U1,SBR,senepy_score,deepscence_score,45527,60,2309,2309,61,117.11,0.521,117.21,10.284,0.52,-5.47
7239_liver_sbr_Male_52-U1,SBR,senepy_score,cdkn1a_counts,45527,60,2309,1196,51,60.66,0.841,60.57,7.457,0.842,-1.28
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,cdkn1a_counts,75384,110,3827,1764,164,89.55,1.831,89.61,9.076,1.83,8.2
