section,arm,A,B,n,n_strata,n_A,n_B,n_both,exp_both_marginal,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
sham,sham,tierA_score,senepy_score,183070,60,9177,9181,452,460.23,0.982,460.3,20.382,0.982,-0.41
sham,sham,tierA_score,deepscence_score,218273,120,10957,10961,610,550.23,1.109,550.32,22.287,1.108,2.68
sham,sham,tierA_score,cdkn1a_counts,218273,120,10957,1514,83,76.0,1.092,76.13,8.46,1.09,0.81
sham,sham,senepy_score,deepscence_score,183070,60,9181,9181,990,460.43,2.15,460.5,20.386,2.15,25.97
sham,sham,senepy_score,cdkn1a_counts,183070,60,9181,1237,85,62.04,1.37,62.09,7.643,1.369,3.0
sham,sham,deepscence_score,cdkn1a_counts,218273,120,10961,1514,217,76.03,2.854,76.18,8.462,2.849,16.64
sbr,SBR,tierA_score,senepy_score,63357,50,3184,3185,173,160.06,1.081,160.07,12.021,1.081,1.08
sbr,SBR,tierA_score,deepscence_score,114721,90,5767,5768,381,289.96,1.314,290.02,16.18,1.314,5.62
sbr,SBR,tierA_score,cdkn1a_counts,114721,90,5767,2218,161,111.5,1.444,111.62,10.165,1.442,4.86
sbr,SBR,senepy_score,deepscence_score,63357,50,3185,3185,61,160.11,0.381,160.12,12.022,0.381,-8.24
sbr,SBR,senepy_score,cdkn1a_counts,63357,50,3185,1320,65,66.36,0.98,66.37,7.832,0.979,-0.18
sbr,SBR,deepscence_score,cdkn1a_counts,114721,90,5768,2218,168,111.52,1.506,111.64,10.166,1.505,5.54
