section,arm,caller,cell_type,bg_pct,call_pct,enrichment,n_called
7001_liver_sham_Male_52-U1,sham,tierA_score,Hepatocytes,44.293,25.776,0.582,1802
7001_liver_sham_Male_52-U1,sham,tierA_score,Biliary/ductular,16.582,26.806,1.617,1874
7001_liver_sham_Male_52-U1,sham,tierA_score,Kupffer cells,13.613,14.862,1.092,1039
7001_liver_sham_Male_52-U1,sham,tierA_score,LSECs,13.291,8.869,0.667,620
7001_liver_sham_Male_52-U1,sham,tierA_score,T/NK cells,3.709,10.041,2.707,702
7001_liver_sham_Male_52-U1,sham,tierA_score,DC,2.351,3.376,1.436,236
7001_liver_sham_Male_52-U1,sham,tierA_score,vSMCs,2.169,2.403,1.108,168
7001_liver_sham_Male_52-U1,sham,tierA_score,Proliferating,1.455,4.091,2.812,286
7001_liver_sham_Male_52-U1,sham,tierA_score,B-cells,1.294,2.775,2.144,194
7001_liver_sham_Male_52-U1,sham,tierA_score,Central venous LSECs,1.242,1.001,0.806,70
7001_liver_sham_Male_52-U1,sham,senepy_score,Hepatocytes,44.293,1.292,0.029,70
7001_liver_sham_Male_52-U1,sham,senepy_score,Biliary/ductular,16.582,0.0,0.0,0
7001_liver_sham_Male_52-U1,sham,senepy_score,Kupffer cells,13.613,98.375,7.227,5328
7001_liver_sham_Male_52-U1,sham,senepy_score,LSECs,13.291,0.332,0.025,18
7001_liver_sham_Male_52-U1,sham,senepy_score,T/NK cells,3.709,0.0,0.0,0
7001_liver_sham_Male_52-U1,sham,senepy_score,DC,2.351,0.0,0.0,0
7001_liver_sham_Male_52-U1,sham,senepy_score,vSMCs,2.169,0.0,0.0,0
7001_liver_sham_Male_52-U1,sham,senepy_score,Proliferating,1.455,0.0,0.0,0
7001_liver_sham_Male_52-U1,sham,senepy_score,B-cells,1.294,0.0,0.0,0
7001_liver_sham_Male_52-U1,sham,senepy_score,Central venous LSECs,1.242,0.0,0.0,0
7001_liver_sham_Male_52-U1,sham,deepscence_score,Hepatocytes,44.293,74.088,1.673,5181
7001_liver_sham_Male_52-U1,sham,deepscence_score,Biliary/ductular,16.582,23.309,1.406,1630
7001_liver_sham_Male_52-U1,sham,deepscence_score,Kupffer cells,13.613,0.944,0.069,66
7001_liver_sham_Male_52-U1,sham,deepscence_score,LSECs,13.291,0.629,0.047,44
7001_liver_sham_Male_52-U1,sham,deepscence_score,T/NK cells,3.709,0.114,0.031,8
7001_liver_sham_Male_52-U1,sham,deepscence_score,DC,2.351,0.114,0.049,8
7001_liver_sham_Male_52-U1,sham,deepscence_score,vSMCs,2.169,0.229,0.105,16
7001_liver_sham_Male_52-U1,sham,deepscence_score,Proliferating,1.455,0.343,0.236,24
7001_liver_sham_Male_52-U1,sham,deepscence_score,B-cells,1.294,0.057,0.044,4
7001_liver_sham_Male_52-U1,sham,deepscence_score,Central venous LSECs,1.242,0.172,0.138,12
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Hepatocytes,44.293,63.625,1.436,1011
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Biliary/ductular,16.582,4.783,0.288,76
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Kupffer cells,13.613,11.894,0.874,189
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,LSECs,13.291,6.86,0.516,109
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,T/NK cells,3.709,1.322,0.356,21
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,DC,2.351,1.196,0.509,19
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,vSMCs,2.169,0.692,0.319,11
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Proliferating,1.455,9.44,6.488,150
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,B-cells,1.294,0.063,0.049,1
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Central venous LSECs,1.242,0.126,0.101,2
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Hepatocytes,36.134,6.393,0.177,241
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Biliary/ductular,22.2,44.562,2.007,1680
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Hepatic stellate cells,11.509,8.727,0.758,329
7239_liver_sbr_Male_52-U1,SBR,tierA_score,LSECs,10.131,5.172,0.511,195
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Kupffer cells,9.036,10.663,1.18,402
7239_liver_sbr_Male_52-U1,SBR,tierA_score,T/NK cells,3.007,9.841,3.272,371
7239_liver_sbr_Male_52-U1,SBR,tierA_score,DC,2.7,5.119,1.896,193
7239_liver_sbr_Male_52-U1,SBR,tierA_score,vSMCs,2.217,2.175,0.981,82
7239_liver_sbr_Male_52-U1,SBR,tierA_score,B-cells,1.208,3.899,3.227,147
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Proliferating,0.919,2.732,2.972,103
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Central venous LSECs,0.877,0.69,0.787,26
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Mesothelial cells,0.062,0.027,0.425,1
7239_liver_sbr_Male_52-U1,SBR,senepy_score,Hepatocytes,36.134,9.574,0.265,218
