section,arm,A,B,stratum,spearman,partial_spearman_given_logcounts,jaccard_ratio
sham,sham,tierA_score,senepy_score,ALL,-0.0235,-0.0369,0.769
sham,sham,tierA_score,senepy_score,Q1_low,-0.0258,,0.805
sham,sham,tierA_score,senepy_score,Q2,-0.0325,,1.019
sham,sham,tierA_score,senepy_score,Q3,-0.044,,0.93
sham,sham,tierA_score,senepy_score,Q4,-0.0568,,0.819
sham,sham,tierA_score,senepy_score,Q5_high,-0.0389,,0.768
sham,sham,tierA_score,deepscence_score,ALL,-0.0646,-0.0366,1.598
sham,sham,tierA_score,deepscence_score,Q1_low,-0.0809,,0.887
sham,sham,tierA_score,deepscence_score,Q2,-0.0413,,1.24
sham,sham,tierA_score,deepscence_score,Q3,-0.037,,1.447
sham,sham,tierA_score,deepscence_score,Q4,-0.0299,,1.492
sham,sham,tierA_score,deepscence_score,Q5_high,-0.0064,,1.341
sham,sham,tierA_score,naive_corescence,ALL,-0.0315,-0.0379,1.065
sham,sham,tierA_score,naive_corescence,Q1_low,-0.0449,,0.914
sham,sham,tierA_score,naive_corescence,Q2,-0.0401,,0.78
sham,sham,tierA_score,naive_corescence,Q3,-0.0403,,0.943
sham,sham,tierA_score,naive_corescence,Q4,-0.0363,,0.851
sham,sham,tierA_score,naive_corescence,Q5_high,-0.0212,,1.212
sham,sham,tierA_score,cdkn1a_counts,ALL,0.0032,0.0019,1.232
sham,sham,tierA_score,cdkn1a_counts,Q1_low,-0.0101,,1.028
sham,sham,tierA_score,cdkn1a_counts,Q2,0.0059,,1.412
sham,sham,tierA_score,cdkn1a_counts,Q3,-0.0004,,1.461
sham,sham,tierA_score,cdkn1a_counts,Q4,0.0022,,1.451
sham,sham,tierA_score,cdkn1a_counts,Q5_high,0.0069,,1.383
sham,sham,senepy_score,deepscence_score,ALL,0.1184,0.1879,4.022
sham,sham,senepy_score,deepscence_score,Q1_low,0.121,,3.505
sham,sham,senepy_score,deepscence_score,Q2,0.1994,,4.48
sham,sham,senepy_score,deepscence_score,Q3,0.2503,,5.696
sham,sham,senepy_score,deepscence_score,Q4,0.2202,,7.016
sham,sham,senepy_score,deepscence_score,Q5_high,0.1347,,6.169
sham,sham,senepy_score,naive_corescence,ALL,-0.01,-0.0258,0.797
sham,sham,senepy_score,naive_corescence,Q1_low,-0.0402,,0.882
sham,sham,senepy_score,naive_corescence,Q2,-0.0278,,0.787
sham,sham,senepy_score,naive_corescence,Q3,-0.0276,,0.864
sham,sham,senepy_score,naive_corescence,Q4,-0.0261,,0.819
sham,sham,senepy_score,naive_corescence,Q5_high,-0.0035,,0.95
sham,sham,senepy_score,cdkn1a_counts,ALL,0.0124,0.0105,1.471
sham,sham,senepy_score,cdkn1a_counts,Q1_low,0.0001,,0.897
sham,sham,senepy_score,cdkn1a_counts,Q2,0.0133,,0.635
sham,sham,senepy_score,cdkn1a_counts,Q3,0.0146,,2.0
sham,sham,senepy_score,cdkn1a_counts,Q4,0.0096,,1.439
sham,sham,senepy_score,cdkn1a_counts,Q5_high,0.0162,,1.776
