section,arm,threshold,A,B,n,n_A,n_B,n_both,jaccard,chance_jaccard,ratio,spearman
sham,sham,global_top5,tierA_score,senepy_score,183070,8277,9154,342,0.02001,0.02422,0.826,-0.0221
sham,sham,global_top5,tierA_score,deepscence_score,218273,10912,10914,923,0.04416,0.0261,1.692,-0.0397
sham,sham,global_top5,tierA_score,cdkn1a_counts,218273,10912,1591,117,0.00945,0.00642,1.471,0.0064
sham,sham,global_top5,senepy_score,deepscence_score,183070,9154,8045,1661,0.1069,0.02589,4.129,0.1184
sham,sham,global_top5,senepy_score,cdkn1a_counts,183070,9154,1237,91,0.00883,0.00601,1.471,0.0124
sham,sham,global_top5,deepscence_score,cdkn1a_counts,218273,10914,1591,235,0.01915,0.00648,2.954,0.0414
sham,sham,within_type_top5,tierA_score,senepy_score,183070,9149,9155,282,0.01565,0.02539,0.616,-0.0221
sham,sham,within_type_top5,tierA_score,deepscence_score,218273,10912,10912,703,0.03328,0.02583,1.289,-0.0397
sham,sham,within_type_top5,tierA_score,cdkn1a_counts,218273,10912,1516,68,0.0055,0.00613,0.897,0.0064
sham,sham,within_type_top5,senepy_score,deepscence_score,183070,9155,9149,635,0.03594,0.02589,1.388,0.1184
sham,sham,within_type_top5,senepy_score,cdkn1a_counts,183070,9155,1237,103,0.01001,0.00601,1.665,0.0124
sham,sham,within_type_top5,deepscence_score,cdkn1a_counts,218273,10912,1516,190,0.01553,0.00619,2.507,0.0414
sbr,SBR,global_top5,tierA_score,senepy_score,63357,2555,3168,85,0.01508,0.02266,0.665,0.0254
sbr,SBR,global_top5,tierA_score,deepscence_score,114721,5736,5736,235,0.02091,0.02552,0.819,0.0218
sbr,SBR,global_top5,tierA_score,cdkn1a_counts,114721,5736,5240,143,0.0132,0.02419,0.546,0.0157
sbr,SBR,global_top5,senepy_score,deepscence_score,63357,3168,3959,7,0.00098,0.0278,0.035,-0.2545
sbr,SBR,global_top5,senepy_score,cdkn1a_counts,63357,3168,4144,180,0.02524,0.02905,0.869,0.0269
sbr,SBR,global_top5,deepscence_score,cdkn1a_counts,114721,5736,5240,594,0.05721,0.02524,2.267,0.1184
sbr,SBR,within_type_top5,tierA_score,senepy_score,63357,3170,3171,88,0.01407,0.02537,0.555,0.0254
sbr,SBR,within_type_top5,tierA_score,deepscence_score,114721,5740,5741,401,0.03619,0.02592,1.396,0.0218
sbr,SBR,within_type_top5,tierA_score,cdkn1a_counts,114721,5740,2167,109,0.01398,0.0139,1.005,0.0157
sbr,SBR,within_type_top5,senepy_score,deepscence_score,63357,3171,3171,70,0.01116,0.0253,0.441,-0.2545
sbr,SBR,within_type_top5,senepy_score,cdkn1a_counts,63357,3171,1170,129,0.03063,0.0139,2.203,0.0269
sbr,SBR,within_type_top5,deepscence_score,cdkn1a_counts,114721,5741,2167,147,0.01894,0.01397,1.356,0.1184
