row_type,arm_id,call,sender_set_kind,variant,control_type,scope_kind,seed,seed_index,n_fits,n_reportable,frac_reportable,median_sf_matched,sf_matched_q25,sf_matched_q75,frac_sf_le_0,frac_sf_gt_05,median_comp_share,median_sf_matched_lo,median_sf_matched_hi,median_sf_matched_n5n6,median_sf_n5,median_sf_n6n5,median_beta_naive,median_beta_naive_sd,median_beta_matched,median_lam_naive,frac_lam_railed,median_match_rate,median_max_smd_before,median_max_smd_after,frac_smd_gate_pass,n_match_cols,matched_on,n_sections,n_modules,n_boot,n_blocks,window_um,caliper_sd,n_seeds,seeds,sf_across_seed_mean,sf_across_seed_sd,sf_across_seed_min,sf_across_seed_max,sf_across_seed_range,comp_share_q25,comp_share_q75,comp_share_across_seed_min,comp_share_across_seed_max,max_max_smd_after
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260901,0,315,150,0.47619047619047616,0.9646681612984108,0.9156743527474286,0.9881189325094207,0.0,1.0,0.03533183870158918,0.8967773985857677,0.9966861234489064,0.08775834373397359,0.11433439019962015,0.08402370299261969,0.009974444231201699,0.32600582062111494,0.009230023061165,16.555361190652583,0.5666666666666667,0.9998871331828444,0.0974912317592025,0.0339514096738252,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260902,1,315,149,0.473015873015873,0.9629187899232174,0.9139014213306428,0.9869024537722152,0.0,1.0,0.037081210076782556,0.8914618020845585,0.9970377510854926,0.0866654974540614,0.1136528001979865,0.0836071211320542,0.0101481078482851,0.32879493094894585,0.0094354150445056,16.885936456434926,0.5637583892617449,0.9998871331828444,0.0974912317592025,0.0315075051908812,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260903,2,315,150,0.47619047619047616,0.9646659378960449,0.9140469571302647,0.9879500288729999,0.0,1.0,0.035334062103955066,0.8953093166566939,0.9963614136855092,0.0892870766155663,0.11433439019962015,0.08402370299261969,0.0101007294220712,0.33105825477383416,0.00933127703617485,16.555361190652583,0.5666666666666667,0.9998871331828444,0.0974912317592025,0.0321387850139815,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260904,3,315,149,0.473015873015873,0.9648249435319752,0.9154019510297128,0.9881104544247868,0.0,1.0,0.03517505646802477,0.9014779317690388,0.9968513022952724,0.0906466631125053,0.1195312032402228,0.0865925242920123,0.0101481078482851,0.33332157859872247,0.0094200163449449,16.22478592487024,0.5771812080536913,0.9998871331828444,0.0974912317592025,0.0326831915452864,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260905,4,315,150,0.47619047619047616,0.9636786333530563,0.9159835288453596,0.98794965609671,0.0,1.0,0.03632136664694374,0.8929357645858936,0.9971735244962774,0.08936029533932316,0.1172735917207383,0.08551640457259874,0.0101007294220712,0.32600582062111494,0.009342325775824199,17.458034361072826,0.5666666666666667,0.9998871331828444,0.0974912317592025,0.0333169670478752,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
summary,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,-1,-1,1575,748,0.4749206349206349,0.9646659378960449,0.9152011681445646,0.9880330346499477,0.0,1.0,0.035732227552219775,0.894805109436069,0.9968295840241327,0.0889744666607936,0.1150159802012538,0.0844402848531852,0.0101007294220712,0.32879493094894585,0.0093312813503893,16.885936456434926,0.5681818181818182,0.9998871331828444,0.0974912317592025,0.0339514096738252,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,5.0,20260901|20260902|20260903|20260904|20260905,0.964151293200541,0.0008258765377289997,0.9629187899232174,0.9648249435319752,0.001906153608757788,0.011966965350052233,0.08479883185543532,0.03517505646802477,0.037081210076782556,0.0468861143549208
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260901,0,42,33,0.7857142857142857,0.983695419828466,0.9668239297966535,0.9915482220249496,0.0,1.0,0.016304580171534022,0.9734591170721708,0.994886772335886,-0.0838026432485642,-0.0635740798503045,-0.0838170465322657,0.019694831922698,0.6426456753264005,0.0197772625092629,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844365,0.03566316497237175,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260902,1,42,33,0.7857142857142857,0.9838872824684572,0.9675101276190492,0.9910961960926016,0.0,1.0,0.016112717531542753,0.9737161037749908,0.9945837254050494,-0.0838230797590809,-0.0635740798503045,-0.0838170465322657,0.019694831922698,0.6426456753264005,0.019777326228763,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844365,0.034000219490886996,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260903,2,42,33,0.7857142857142857,0.9839648479521724,0.966964169290088,0.991213738260128,0.0,1.0,0.016035152047827572,0.9716621242580464,0.9940566420926038,-0.0837866085540104,-0.0635740798503045,-0.0838170465322657,0.019694831922698,0.6426456753264005,0.0197787936462333,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844365,0.035739744885852,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260904,3,42,33,0.7857142857142857,0.9837138676570342,0.9667095635031396,0.991106744635114,0.0,1.0,0.01628613234296583,0.9733873130129758,0.9941358784554896,-0.0837666642946118,-0.0635740798503045,-0.0838170465322657,0.019694831922698,0.6426456753264005,0.0197777568669164,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844365,0.035559513722595096,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
