row_type,arm_id,call,sender_set_kind,variant,control_type,scope_kind,seed,seed_index,n_fits,n_reportable,frac_reportable,median_sf_matched,sf_matched_q25,sf_matched_q75,frac_sf_le_0,frac_sf_gt_05,median_comp_share,median_sf_matched_lo,median_sf_matched_hi,median_sf_matched_n5n6,median_sf_n5,median_sf_n6n5,median_beta_naive,median_beta_naive_sd,median_beta_matched,median_lam_naive,frac_lam_railed,median_match_rate,median_max_smd_before,median_max_smd_after,frac_smd_gate_pass,n_match_cols,matched_on,n_sections,n_modules,n_boot,n_blocks,window_um,caliper_sd,n_seeds,seeds,sf_across_seed_mean,sf_across_seed_sd,sf_across_seed_min,sf_across_seed_max,sf_across_seed_range,comp_share_q25,comp_share_q75,comp_share_across_seed_min,comp_share_across_seed_max,max_max_smd_after
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260901,0,315,150,0.47619047619047616,0.9646681612984108,0.9156743527474286,0.9881189325094207,0.0,1.0,0.03533183870158918,0.8967773985857677,0.9966861234489063,0.08775834373397362,0.11433439019962022,0.08402370299261974,0.009974444231201762,0.32600582062111716,0.009230023061165035,16.555361190652583,0.5666666666666667,0.9998871331828443,0.09749123175920256,0.033951409673825296,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260902,1,315,149,0.473015873015873,0.9629187899232174,0.9139014213306428,0.9869024537722153,0.0,1.0,0.037081210076782556,0.8914618020845585,0.9970377510854926,0.08666549745406141,0.11365280019798656,0.0836071211320542,0.01014810784828517,0.328794930948949,0.009435415044505633,16.885936456434926,0.5637583892617449,0.9998871331828443,0.09749123175920256,0.03150750519088129,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260903,2,315,150,0.47619047619047616,0.9646659378960449,0.9140469571302647,0.9879500288729999,0.0,1.0,0.035334062103955066,0.8953093166566939,0.9963614136855091,0.08928707661556631,0.11433439019962022,0.08402370299261974,0.01010072942207127,0.33105825477383555,0.009331277036174859,16.555361190652583,0.5666666666666667,0.9998871331828443,0.09749123175920256,0.032138785013981534,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260904,3,315,149,0.473015873015873,0.9648249435319752,0.9154019510297129,0.9881104544247868,0.0,1.0,0.03517505646802477,0.9014779317690388,0.9968513022952725,0.09064666311250533,0.11953120324022287,0.08659252429201238,0.01014810784828517,0.333321578598722,0.009420016344944987,16.22478592487024,0.5771812080536913,0.9998871331828443,0.09749123175920256,0.0326831915452864,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,20260905,4,315,150,0.47619047619047616,0.9636786333530563,0.9159835288453597,0.98794965609671,0.0,1.0,0.03632136664694369,0.8929357645858936,0.9971735244962774,0.08936029533932321,0.11727359172073838,0.08551640457259882,0.01010072942207127,0.32600582062111716,0.00934232577582429,17.458034361072826,0.5666666666666667,0.9998871331828443,0.09749123175920256,0.033316967047875214,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
summary,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,by_celltype,-1,-1,1575,748,0.4749206349206349,0.9646659378960449,0.9152011681445646,0.9880330346499477,0.0,1.0,0.035732227552219775,0.894805109436069,0.9968295840241327,0.08897446666079362,0.11501598020125389,0.08444028485318528,0.01010072942207127,0.328794930948949,0.00933128135038935,16.885936456434926,0.5681818181818182,0.9998871331828443,0.09749123175920256,0.033951409673825296,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,5.0,20260901|20260902|20260903|20260904|20260905,0.964151293200541,0.0008258765377289997,0.9629187899232174,0.9648249435319752,0.001906153608757788,0.011966965350052233,0.0847988318554353,0.03517505646802477,0.037081210076782556,0.0468861143549208
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260901,0,42,33,0.7857142857142857,0.983695419828466,0.9668239297966537,0.9915482220249495,0.0,1.0,0.016304580171534022,0.9734591170721707,0.994886772335886,-0.08380264324856425,-0.0635740798503045,-0.08381704653226578,0.019694831922698004,0.6426456753263999,0.01977726250926299,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844371,0.03566316497237183,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260902,1,42,33,0.7857142857142857,0.9838872824684571,0.9675101276190492,0.9910961960926017,0.0,1.0,0.016112717531542864,0.9737161037749908,0.9945837254050494,-0.0838230797590809,-0.0635740798503045,-0.08381704653226578,0.019694831922698004,0.6426456753263999,0.019777326228763062,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844371,0.034000219490887086,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260903,2,42,33,0.7857142857142857,0.9839648479521724,0.9669641692900881,0.991213738260128,0.0,1.0,0.016035152047827572,0.9716621242580463,0.9940566420926038,-0.08378660855401042,-0.0635740798503045,-0.08381704653226578,0.019694831922698004,0.6426456753263999,0.019778793646233337,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844371,0.03573974488585204,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260904,3,42,33,0.7857142857142857,0.9837138676570342,0.9667095635031395,0.991106744635114,0.0,1.0,0.01628613234296583,0.9733873130129758,0.9941358784554895,-0.08376666429461183,-0.0635740798503045,-0.08381704653226578,0.019694831922698004,0.6426456753263999,0.01977775686691644,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844371,0.03555951372259513,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,20260905,4,42,33,0.7857142857142857,0.9837345264581869,0.9673397983866936,0.9907989755826812,0.0,1.0,0.01626547354181307,0.9722405399858879,0.9937274070760204,-0.08381025801288627,-0.0635740798503045,-0.08381704653226578,0.019694831922698004,0.6426456753263999,0.019778007536541967,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844371,0.035318146930714917,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
summary,m1,tierA_p95,A_SENDER_FINAL_strict,comp,decoy_matching,pooled,-1,-1,210,165,0.7857142857142857,0.9837345264581869,0.9668239297966537,0.991213738260128,0.0,1.0,0.01626547354181307,0.973036611722509,0.994165750831684,-0.08380264324856425,-0.0635740798503045,-0.08381704653226578,0.019694831922698004,0.6426456753263999,0.01977775686691644,6.999999999999999,0.7575757575757576,0.999871050275251,0.09161172951844371,0.03522217173235909,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,5.0,20260901|20260902|20260903|20260904|20260905,0.9837991888728632,0.00011982525240915576,0.983695419828466,0.9839648479521724,0.00026942812370645,0.008786261739871959,0.03317607020334634,0.016035152047827572,0.016304580171534022,0.0468861143549208
seed,m1,tierA_p95,A_SENDER_FINAL_strict,comp_adj,covariate_adjustment,by_celltype,-1,-1,315,150,0.47619047619047616,0.5023090459870199,0.28359087684505613,0.8043938051854599,0.08666666666666667,0.5,0.4976909540129802,0.10526191838440815,0.7712836340232736,,,,0.009974444231201762,0.32600582062111716,0.004650017702724527,16.555361190652583,0.5666666666666667,,,,,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,,,,,,,,,,,,,
summary,m1,tierA_p95,A_SENDER_FINAL_strict,comp_adj,covariate_adjustment,by_celltype,-1,-1,315,150,0.47619047619047616,0.5023090459870199,0.28359087684505613,0.8043938051854599,0.08666666666666667,0.5,0.4976909540129802,0.10526191838440815,0.7712836340232736,,,,0.009974444231201762,0.32600582062111716,0.004650017702724527,16.555361190652583,0.5666666666666667,,,,,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,,1.0,-1,0.5023090459870199,,0.5023090459870199,0.5023090459870199,0.0,0.19560619481454014,0.7164091231549439,0.4976909540129802,0.4976909540129802,
