row_type,arm_id,call,sender_set_kind,variant,control_type,scope_kind,seed,seed_index,n_fits,n_reportable,frac_reportable,median_sf_matched,sf_matched_q25,sf_matched_q75,frac_sf_le_0,frac_sf_gt_05,median_comp_share,median_sf_matched_lo,median_sf_matched_hi,median_sf_matched_n5n6,median_sf_n5,median_sf_n6n5,median_beta_naive,median_beta_naive_sd,median_beta_matched,median_lam_naive,frac_lam_railed,median_match_rate,median_max_smd_before,median_max_smd_after,frac_smd_gate_pass,n_match_cols,matched_on,n_sections,n_modules,n_boot,n_blocks,window_um,caliper_sd,n_seeds,seeds,sf_across_seed_mean,sf_across_seed_sd,sf_across_seed_min,sf_across_seed_max,sf_across_seed_range,comp_share_q25,comp_share_q75,comp_share_across_seed_min,comp_share_across_seed_max,max_max_smd_after
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,by_celltype,20260901,0,315,157,0.4984126984126984,0.9661896772596041,0.9380461022225773,0.9924343972941255,0.0,1.0,0.03381032274039586,0.9129308184627586,1.0000675988262147,0.0849615015237171,0.11294818207504044,0.08885740513045151,0.00989881280896033,0.29840802824800994,0.009484314485075645,16.58627195247028,0.5605095541401274,0.9998549673676578,0.09754349029318118,0.04444507841936543,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,by_celltype,20260902,1,315,160,0.5079365079365079,0.9657768365135977,0.9250874646821217,0.9911665497571244,0.0,1.0,0.03422316348640231,0.9129486528196685,0.9999854391473635,0.0915909236635725,0.12786207989850706,0.09145303601378353,0.009421542616567172,0.2951130899447352,0.00922807157909526,15.888180631631355,0.55,0.9998549673676578,0.09754349029318118,0.04489454856673879,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,by_celltype,20260903,2,315,157,0.4984126984126984,0.9659529038603235,0.9326125123137722,0.9914381072870437,0.0,1.0,0.03404709613967649,0.9143146961614288,0.9989823588065077,0.09403796743931125,0.1347696950096561,0.09315106728758345,0.00989881280896033,0.29840802824800994,0.009483065749006087,16.317012328774005,0.5605095541401274,0.9998549673676578,0.09754349029318118,0.04327415701715819,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,by_celltype,20260904,3,315,155,0.49206349206349204,0.9681812760096606,0.9345009335496335,0.9919861122879112,0.0,1.0,0.03181872399033936,0.9146494786090354,1.000060002108627,0.09070864801473699,0.12095446478735805,0.08975500473998362,0.010020522868676244,0.2995585306930962,0.009572016628103874,17.35451294266074,0.5612903225806452,0.9998549673676578,0.09754349029318118,0.04397860249566524,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,by_celltype,20260905,4,315,161,0.5111111111111111,0.9655703694995426,0.932275186623219,0.9917128081079083,0.0,1.0,0.03442963050045744,0.9140327470677281,1.0002320903276074,0.08553991351770153,0.11294818207504044,0.08885740513045151,0.009556563509501141,0.29386293761938126,0.009305495930670043,15.329759490332558,0.5590062111801242,0.9998549673676578,0.09754349029318118,0.04453811069446115,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
summary,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,by_celltype,-1,-1,1575,790,0.5015873015873016,0.9659529038603235,0.9323595180458573,0.9918508928017363,0.0,1.0,0.03395998748124218,0.913805834220423,0.9999783401430423,0.08956683002599825,0.12095446478735805,0.08975500473998362,0.00989881280896033,0.29738563525904954,0.009482342711893015,16.317012328774005,0.5582278481012658,0.9998549673676578,0.09754349029318118,0.04439964670795724,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,5.0,20260901|20260902|20260903|20260904|20260905,0.9663342126285457,0.001057361627199252,0.9655703694995426,0.9681812760096606,0.002610906510118083,0.0081491071982637,0.06764048195414274,0.03181872399033936,0.03442963050045744,0.07592607948185241
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,pooled,20260901,0,42,34,0.8095238095238095,0.9860043788563033,0.9726143552864334,0.9921833917197014,0.0,1.0,0.013995621143696735,0.9729556376728667,0.992778571315722,-0.07056913556885633,-0.040287638462728786,-0.07403763397196624,0.02074248735701402,0.6065861954590315,0.020415164943818884,6.999999999999999,0.7352941176470589,0.999871050275251,0.09724373958025234,0.04445958143186901,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,pooled,20260902,1,42,34,0.8095238095238095,0.9858861548223476,0.9725577857706759,0.9921059862691569,0.0,1.0,0.014113845177652351,0.9725661544261963,0.9925631033865348,-0.07059810670484243,-0.040287638462728786,-0.07403763397196624,0.02074248735701402,0.6065861954590315,0.020416505548747927,6.999999999999999,0.7352941176470589,0.9998549673676578,0.09724373958025234,0.04491523676498761,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,pooled,20260903,2,42,35,0.8333333333333334,0.98607619897885,0.97255608769528,0.9922371356564563,0.0,1.0,0.013923801021149984,0.970280149732742,0.9937860647037471,-0.06899288350986349,-0.03376112175815611,-0.07402502383574223,0.020466175278799254,0.5859723532057285,0.020084565155770628,6.999999999999999,0.7428571428571429,0.999871050275251,0.09724373958025234,0.04369578706201882,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
seed,m1,tierApm_p95,A_sender_for_<module> (7 sets),comp,decoy_matching,pooled,20260904,3,42,34,0.8095238095238095,0.9862450034260468,0.9725239925793434,0.992464310990023,0.0,1.0,0.013754996573953182,0.9724238070859913,0.9925827733453274,-0.07057423287299706,-0.040287638462728786,-0.07403763397196624,0.02074248735701402,0.6065861954590315,0.020417958230226553,6.999999999999999,0.7352941176470589,0.999871050275251,0.09724373958025234,0.04448335055296558,1.0,9,knn_frac_B-cells|knn_frac_Biliary/ductular|knn_frac_DC|knn_frac_Endothelial|knn_frac_Hepatocytes|knn_frac_Macrophages|knn_frac_Mesenchymal|knn_frac_Proliferating|knn_frac_T/NK cells,6,7,400,100,100.0,0.25,,,,,,,,,,,,
