section,arm,week,call,celltype,module,bin_lo,bin_hi,n,mean_obs,sem_obs,n_decoy,mean_decoy
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,0.0,5.0,679.0,0.0014077025243723752,0.0006460510502774197,2195.0,0.0017987425966972722
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,5.0,10.0,4610.0,0.0018442190917244902,0.0002277275396967867,4261.0,0.0018115864823043824
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,10.0,15.0,4302.0,0.0022639260693144464,0.0002309093784696604,4182.0,0.002193182692247044
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,15.0,20.0,4053.0,0.0022080606968196696,0.0002424375787353945,4079.0,0.0017816131377808475
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,20.0,25.0,3950.0,0.001645931641683955,0.0002390767165321796,3720.0,0.002224841387066189
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,25.0,30.0,3396.0,0.002018489389896608,0.0002545699169913114,3250.0,0.00193813229994423
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,30.0,35.0,2844.0,0.0020975738334374204,0.0002821683698350461,2655.0,0.002283318258243505
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,35.0,40.0,2208.0,0.002155557056783542,0.00031603732408656197,2101.0,0.0020738981472841426
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,40.0,45.0,1663.0,0.002462279026564265,0.0003628341651283193,1531.0,0.00241128673712798
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,45.0,50.0,1141.0,0.002586380362100243,0.0004436615761417673,1055.0,0.002740805682876413
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,50.0,55.0,815.0,0.0026158404981494634,0.0005164170735687568,779.0,0.0018114762528890934
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,55.0,60.0,564.0,0.0030884219959971364,0.0006591982591823152,501.0,0.002395269460126536
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,60.0,65.0,351.0,0.0016731339082228978,0.000684528883427428,299.0,0.004075117069035675
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,65.0,70.0,231.0,0.0022303030632251824,0.0010187352015731104,189.0,0.00264783067256551
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,70.0,75.0,137.0,0.0035681750972281095,0.0012633533919687854,124.0,0.0018715322519476045
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,75.0,80.0,74.0,-0.001036756840639518,0.001605440166835305,81.0,0.003697530854418644
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,80.0,85.0,39.0,0.0014756409683076737,0.002141366755779232,54.0,0.0016679629146286363
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,85.0,90.0,30.0,0.0018966666187528365,0.002976050158980994,32.0,0.0035918750024848123
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,90.0,95.0,30.0,0.0036866667796857655,0.002625424360991973,16.0,0.007651250102753693
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,95.0,100.0,18.0,-0.0004744443285744637,0.00426802557422549,31.0,0.0001500000531274465
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,0.0,5.0,679.0,0.044919057418911175,0.0010889222202604704,2195.0,0.04543064235444292
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,5.0,10.0,4610.0,0.04604832319475341,0.00040870167865838885,4261.0,0.0462808284405575
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,10.0,15.0,4302.0,0.04554459554227385,0.0004171803126296687,4182.0,0.04624378049594074
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,15.0,20.0,4053.0,0.044284103125870417,0.0004237201122713567,4079.0,0.044311365485049
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,20.0,25.0,3950.0,0.04449235699866395,0.00042568612537577475,3720.0,0.04486638980804425
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,25.0,30.0,3396.0,0.044476699056487635,0.00046315898834437485,3250.0,0.04456746459489044
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,30.0,35.0,2844.0,0.04504917368501713,0.0005020979886533011,2655.0,0.044121122411106384
