null,n,q25,median,q75,frac_le_0,frac_gt_05
N2  matched decoy,160,0.9053337737321627,0.9428247221235153,0.9804946519184696,0.0,1.0
N3  torus shift,160,0.9921567979792512,1.0001120175357205,1.0078886885450573,0.0,1.0
N4  rotation,160,0.8674242458566614,0.9641233669663237,1.0423271402470997,0.0,0.96875
zonation covariate only,160,0.5098783742712809,0.8427042949351852,0.9923213441048304,0.04375,0.76875
N6  receiver baseline,160,0.22200392020141807,0.4862903697589529,0.7560242853970942,0.125,0.49375
N1  label permutation,160,0.40325327789185955,0.7160375343146883,0.8823078021210116,0.0875,0.6625
N5  nuisance conditioning,160,-0.13042308970925004,0.08420193715544111,0.26060300744897325,0.38125,0.0625
N5 + N6,160,-0.09894211876913511,0.0824123997135594,0.25169223830061577,0.35,0.05625
N2 + N5 + N6,160,-0.0992216348388479,0.08220446525029695,0.24870786133411396,0.35,0.0625
N8  scrambled response set,160,0.8192633915966557,0.9348088086347247,1.0544041656321184,0.0125,0.96875
