call,celltype,module,n_sections,sd_log_lam_raw,sd_log_lam_poisson,sd_log_lam_nn
cdkn1a_pos,Biliary/ductular,downstream_arrest,6,0.7750082511309726,0.8651539748592176,0.8382210202639226
cdkn1a_pos,Biliary/ductular,emt_ecm,6,0.81027802322897,0.6251373580311982,0.6938538230192416
cdkn1a_pos,Biliary/ductular,il6_jak_stat3,6,0.6339619280455318,0.6905201120208091,0.5824400943888876
cdkn1a_pos,Biliary/ductular,interferon_response,6,0.7878370946428134,0.8526090571327497,0.7157219779647964
cdkn1a_pos,Biliary/ductular,oxidative_stress,6,0.9150677266855275,1.0829053408922902,1.0682150576930383
cdkn1a_pos,Biliary/ductular,secondary_senescence,6,0.715716818367602,0.7788675215177906,0.818819021243224
cdkn1a_pos,Biliary/ductular,tnfa_nfkb_proximal,6,0.34896923012685016,0.29844803186535496,0.29390612673611016
cdkn1a_pos,Hepatocytes,downstream_arrest,6,0.0,0.24166150129438324,0.16358524098264485
cdkn1a_pos,Hepatocytes,emt_ecm,6,0.8215264143627534,0.6419102671146238,0.6978947665604525
cdkn1a_pos,Hepatocytes,il6_jak_stat3,6,0.09393935893773366,0.26346618612566564,0.15774995537915687
cdkn1a_pos,Hepatocytes,interferon_response,6,0.5967922447904647,0.698193541726673,0.5556370174017398
cdkn1a_pos,Hepatocytes,oxidative_stress,6,0.7327269997143223,0.8208396039516153,0.7912590630120999
cdkn1a_pos,Hepatocytes,secondary_senescence,6,0.5022374504731436,0.4514797619913396,0.47571428130932375
cdkn1a_pos,Hepatocytes,tnfa_nfkb_proximal,6,0.7014194716746315,0.509956474965614,0.6479669025983418
senepy_p95,Biliary/ductular,downstream_arrest,6,0.697736129923241,0.7121612109912899,0.7123879377950891
senepy_p95,Biliary/ductular,emt_ecm,6,0.9256531035941441,0.9450250804766953,1.0269312247121074
senepy_p95,Biliary/ductular,il6_jak_stat3,6,0.8059537140723421,0.7867080428361364,0.7262886432717623
senepy_p95,Biliary/ductular,interferon_response,6,0.7315216575596556,0.6628076871420799,0.6619089057004115
senepy_p95,Biliary/ductular,oxidative_stress,6,0.7292018155944863,0.7564669854232824,0.712063058106286
senepy_p95,Biliary/ductular,secondary_senescence,6,0.8952179401483976,0.914736826434689,0.8366078194210492
senepy_p95,Biliary/ductular,tnfa_nfkb_proximal,6,0.4647862791637035,0.43664277253314154,0.36764907515919404
senepy_p95,Hepatocytes,downstream_arrest,6,0.7384374572815348,0.6897242487621854,0.5784108260064842
senepy_p95,Hepatocytes,emt_ecm,6,0.7327269997143224,0.6728871098365196,0.600574153065557
senepy_p95,Hepatocytes,il6_jak_stat3,6,0.7327269997143223,0.7457454897410598,0.7079597937429913
senepy_p95,Hepatocytes,interferon_response,6,0.7228326941672578,0.7190087797271583,0.6175890504960262
senepy_p95,Hepatocytes,oxidative_stress,6,0.01878787178754673,0.09997170987761303,0.15837255154282964
senepy_p95,Hepatocytes,secondary_senescence,6,0.7108174719246834,0.7752121237562309,0.7657802638899739
senepy_p95,Hepatocytes,tnfa_nfkb_proximal,6,0.7576895030439121,0.7261608166284094,0.7841587942442314
tierA_p95,Biliary/ductular,downstream_arrest,6,0.8719272969900316,0.9593353618479621,0.9461568121629409
tierA_p95,Biliary/ductular,emt_ecm,6,0.6957603256977798,0.6821208672536514,0.7331399474008663
tierA_p95,Biliary/ductular,il6_jak_stat3,6,0.8144493662302826,0.8564292612701335,0.8802608634043887
tierA_p95,Biliary/ductular,interferon_response,6,0.7432022341479635,0.8460457616810838,0.8443870246946645
tierA_p95,Biliary/ductular,oxidative_stress,6,0.6292675050320643,0.6390299423236866,0.6429220282003729
tierA_p95,Biliary/ductular,secondary_senescence,6,0.8879729395318117,0.8091653706258733,0.8208348216511412
tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,6,0.6665326858960807,0.7676188142401074,0.772933397705149
tierA_p95,Hepatocytes,downstream_arrest,6,0.7846045604484039,0.8486809564548827,0.8772277111310804
tierA_p95,Hepatocytes,emt_ecm,6,0.8793045150908282,0.797287923489842,0.8232749382728205
tierA_p95,Hepatocytes,il6_jak_stat3,6,0.7327269997143224,0.769594414417481,0.8017903351406748
tierA_p95,Hepatocytes,interferon_response,6,0.808184278067395,0.7918639844038576,0.7792089295945546
tierA_p95,Hepatocytes,oxidative_stress,6,0.9830564281864163,0.9145938464440575,0.945968438833385
tierA_p95,Hepatocytes,secondary_senescence,6,0.7595506935243841,0.795414758670181,0.8345907606109214
tierA_p95,Hepatocytes,tnfa_nfkb_proximal,6,0.7235648251096873,0.7701948494239949,0.8032043476938437
