section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,0.0,5.0,0.00077916734158583,-0.0003385028368808827,0.0019486132133700654
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,5.0,10.0,0.0007818822972632999,-2.1113297503544377e-06,0.001631176194554679
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,10.0,15.0,0.0007896240284528281,0.00011365166275896114,0.0015931664111239062
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,15.0,20.0,0.0007778169714571765,0.00015721379364889366,0.001554366284563171
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,20.0,25.0,0.0007891720437996463,0.00010404501484299361,0.0015545642671315597
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,25.0,30.0,0.0007895855785740038,9.590392268370482e-05,0.0015143359063809244
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,30.0,35.0,0.0008010618688011013,0.00011383438152311165,0.0015772845099577039
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,35.0,40.0,0.0007778054913294863,4.475347522967299e-05,0.001589190790679842
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,40.0,45.0,0.0007815485457056989,-1.92881273896858e-05,0.0016165259564540353
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,45.0,50.0,0.0007785308670766772,-9.677829566058048e-05,0.0016591880471019743
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,50.0,55.0,0.0007887056800308732,-0.0002860819029502153,0.001782970670880012
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,55.0,60.0,0.0007496330521577157,-0.0003426417564067679,0.0017940942654943491
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,60.0,65.0,0.0007549887275100687,-0.00047730388193517804,0.002005749906857145
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,65.0,70.0,0.0007479004153861115,-0.0006154857917763448,0.002201386489170655
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,70.0,75.0,0.0007686633662248397,-0.000817204987719212,0.0023309979425407954
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,75.0,80.0,0.0007446349711193427,-0.0010738503483127635,0.0024701733533113715
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,80.0,85.0,0.0007490299896390408,-0.0011186824673231038,0.0026642453721424176
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,85.0,90.0,0.0007595880337979397,-0.0012293117279224548,0.0027459176758277536
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,90.0,95.0,0.0007836944370267243,-0.0015125222835331456,0.0028860008472997574
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,95.0,100.0,0.0007580544642678025,-0.0007068707382316244,0.0016556140360967273
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,0.0,5.0,0.01270295730253532,0.010876306664065036,0.014917268204715506
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,5.0,10.0,0.01266989512377199,0.01118254942263571,0.014216317114561831
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,10.0,15.0,0.012695901049779613,0.011250738440731038,0.014211857127094498
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,15.0,20.0,0.012693657579958247,0.011269661098380367,0.014044510344046973
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,20.0,25.0,0.012682568449803927,0.011398410624156035,0.01395002854465368
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,25.0,30.0,0.012677322522610822,0.011335990100838056,0.013962022580859134
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,30.0,35.0,0.012701395148684534,0.011335465789014593,0.013946660690650132
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,35.0,40.0,0.012663736178803384,0.01128259569020391,0.013990558139727053
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,40.0,45.0,0.012697771476709009,0.011211798929331418,0.014060790196178202
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,45.0,50.0,0.01272055204425818,0.011175373662474512,0.014208550779816718
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,50.0,55.0,0.012680158916263576,0.011072935957995848,0.0143018646060541
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,55.0,60.0,0.012720481937288173,0.010871118618700592,0.014523968979314796
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,60.0,65.0,0.01269500548295781,0.010765893910444807,0.014803090541107015
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,65.0,70.0,0.012680561440846023,0.01038188067013463,0.015150616391440122
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,70.0,75.0,0.012683905345751487,0.010004329803735328,0.01566982703406963
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,75.0,80.0,0.012715142541012704,0.009801110886879967,0.016220246572377285
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,80.0,85.0,0.01271513529487468,0.00973176889927951,0.016214215162407793
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,85.0,90.0,0.012638935143738733,0.009423020404965966,0.01629648096931859
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,90.0,95.0,0.012570251874172381,0.009242004130304486,0.016362992134204214
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,emt_ecm,N3_orig,95.0,100.0,0.012448161419399896,0.010856645584330148,0.014769091154811589
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,0.0,5.0,-0.009439635341261621,-0.011220966513895462,-0.007686817982414382
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,5.0,10.0,-0.009423782577928289,-0.010609762299973001,-0.008185533419250355
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,10.0,15.0,-0.00939621153999117,-0.010460776708204864,-0.008291861692227315
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,15.0,20.0,-0.009422370319375161,-0.010413231009193289,-0.00836061973449274
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,20.0,25.0,-0.009413399173086536,-0.010436643599312453,-0.008341704268564423
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,25.0,30.0,-0.009410572121108825,-0.010389672588270574,-0.008349040949370938
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,30.0,35.0,-0.009401757843064963,-0.010463088252108704,-0.008322508465561406
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,35.0,40.0,-0.009395731534075533,-0.01047553903427135,-0.008297446302744312
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,40.0,45.0,-0.009417000551713246,-0.010563233710454683,-0.008223892540531309
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,45.0,50.0,-0.009397363407788914,-0.010623027133511228,-0.008038323146749932
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,50.0,55.0,-0.009384479945010628,-0.010876560831081322,-0.007953186134751943
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,55.0,60.0,-0.00943041957813903,-0.011053180824854033,-0.007717031769912222
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,60.0,65.0,-0.009421146636398647,-0.011334078271594493,-0.007603769419957299
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,65.0,70.0,-0.009417365945648588,-0.011505935504778849,-0.0072799088173586286
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,70.0,75.0,-0.009357452126203952,-0.011610211164447867,-0.006751031012512627
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,75.0,80.0,-0.009365782351837602,-0.011836064383383332,-0.006670225753348532
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,80.0,85.0,-0.00941157315190327,-0.012235168166715176,-0.006497980196961687
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,85.0,90.0,-0.009506281099238663,-0.012453291002843545,-0.006642326292105396
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,90.0,95.0,-0.00945496077566256,-0.012455133599010248,-0.0062111461599033075
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,il6_jak_stat3,N3_orig,95.0,100.0,-0.009486716331048257,-0.010762739597327993,-0.007868699856483922
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,0.0,5.0,0.006385880784186886,0.004864833325725863,0.00812090005542229
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,5.0,10.0,0.006373375249449401,0.005200000981259715,0.0076729916935781295
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,10.0,15.0,0.006387190839887076,0.005388603126679262,0.00750651963090226
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,15.0,20.0,0.006379592923768584,0.005394965133729527,0.0074960543195880395
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,20.0,25.0,0.006376623955928718,0.005440455313259705,0.007420956377227688
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,25.0,30.0,0.006384596886093545,0.005426183364539611,0.007424467808489629
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,30.0,35.0,0.006376522521640217,0.00538814861757198,0.007384153204658398
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,35.0,40.0,0.006364263315022659,0.005277034314120335,0.007449535239179329
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,40.0,45.0,0.006382979347208456,0.005265175390122527,0.007595815284406348
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,45.0,50.0,0.006377616446880067,0.0051613937638032145,0.007614119846976228
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,50.0,55.0,0.0064089301828670646,0.005021650011635443,0.007864433575723567
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,55.0,60.0,0.006362058290447755,0.004757665275461187,0.008049403609748044
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,60.0,65.0,0.006392070091331252,0.004641731202734576,0.007989031259798909
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,65.0,70.0,0.006334108160963865,0.004431295896909507,0.008397937604697956
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,70.0,75.0,0.006389302796979077,0.004310827914436217,0.008791544809981497
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,75.0,80.0,0.006369865157215548,0.003964601766627212,0.008842969186987465
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,80.0,85.0,0.006361471550298503,0.0036942799666514372,0.00915699755329107
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,85.0,90.0,0.006351608707538302,0.003637120995019826,0.009454207389883153
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,90.0,95.0,0.006296329672193069,0.0033324422044501037,0.009596726646928632
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,interferon_response,N3_orig,95.0,100.0,0.006323559414214109,0.004907239403020534,0.00804743924662291
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,0.0,5.0,0.10066350708234167,0.0967066481460321,0.10461810282006319
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,5.0,10.0,0.10077032694494893,0.09790087071628255,0.10375463995916522
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,10.0,15.0,0.10072351946631052,0.09808742179414351,0.10341740543751907
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,15.0,20.0,0.1007124117045019,0.09820211229541019,0.10328871293138155
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,20.0,25.0,0.10078207046876538,0.09822452090983677,0.10316204234090896
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,25.0,30.0,0.10076201452323451,0.09801373850302388,0.10335764442363549
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,30.0,35.0,0.10071782433539157,0.09823039003203664,0.10326515476060842
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,35.0,40.0,0.10077129296028062,0.09799231323952991,0.10362486218632455
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,40.0,45.0,0.10072336798223208,0.0979934324991727,0.10373565373781869
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,45.0,50.0,0.1007481359111721,0.09777905946941587,0.1040288924549633
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,50.0,55.0,0.1006968927339289,0.09728603977985327,0.10398526922657599
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,55.0,60.0,0.10062413562316506,0.09675785635873242,0.10430501523341607
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,60.0,65.0,0.10073247673316416,0.09654548516967058,0.1052646016337344
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,65.0,70.0,0.10061223834439971,0.09586196983253004,0.10526801071045967
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,70.0,75.0,0.10075405052688334,0.09575593265165279,0.10617128010847039
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,75.0,80.0,0.10069622699150899,0.09488061716532117,0.1067392628249444
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,80.0,85.0,0.10069374690138469,0.09410112478329181,0.10722081555506016
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,85.0,90.0,0.10075774479502073,0.09345507108875696,0.1074293982992704
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,90.0,95.0,0.10082177209644178,0.0933832289672265,0.1080892025537982
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,oxidative_stress,N3_orig,95.0,100.0,0.10110495236653431,0.09673319128577754,0.10737576922625364
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,secondary_senescence,N3_orig,0.0,5.0,0.033011005474752365,0.03145015050720477,0.03455455042340245
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,secondary_senescence,N3_orig,5.0,10.0,0.03298068630416032,0.03191459959823516,0.034038382931504144
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,secondary_senescence,N3_orig,10.0,15.0,0.03298810902380596,0.03212657762951726,0.03409441585504401
