section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,0.0,5.0,0.0007915267318312987,-0.00011963104746225072,0.0017487263891651722
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,5.0,10.0,0.000776866875162524,0.0001620035314144727,0.0015371124804291823
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,10.0,15.0,0.0007815293300885145,0.00020016797232016997,0.0015804866084103994
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,15.0,20.0,0.0007829618520031002,0.00019051663664979346,0.001547044153136977
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,20.0,25.0,0.0007799594234147071,0.00017876163824510249,0.0015108953696057847
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,25.0,30.0,0.0007873908504280488,0.00010456891407693934,0.0015441326840930612
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,30.0,35.0,0.0007958666371543465,5.69976327054762e-05,0.001574939442025234
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,35.0,40.0,0.0008079276701093308,-5.8529939497621675e-05,0.0016854707078028592
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,40.0,45.0,0.0007936980048300962,-0.00027596148713393456,0.0018715019123510706
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,45.0,50.0,0.0007860418207766672,-0.0005367493100786117,0.001999182132102663
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,50.0,55.0,0.0007896466830031812,-0.000677128611386441,0.0022532061733116023
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,55.0,60.0,0.0008037775544253568,-0.001000267444240898,0.0025130944023477103
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,60.0,65.0,0.0007935777380599733,-0.0014349122019658217,0.0027580121120552845
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,65.0,70.0,0.0008286886634174353,-0.0014663075670159334,0.0028485577133011987
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,70.0,75.0,0.0008134198765150458,-0.0013962496305103377,0.002989579359242221
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,75.0,80.0,0.000770956536521301,-0.001746807863477679,0.0031173526911247532
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,80.0,85.0,0.0007799601347387697,-0.0018024435312680805,0.003235802700045247
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,85.0,90.0,0.0007266401484807072,-0.0018495183372474683,0.003023625468970777
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,90.0,95.0,0.0008033868910255326,-0.0018538013496705878,0.00304005448408854
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,95.0,100.0,0.0008007193677464593,-0.0004781838625805626,0.0016553509600821636
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,0.0,5.0,0.012729896987720474,0.011184362188269886,0.01446476910087202
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,5.0,10.0,0.012706008207430815,0.011375073687639707,0.01408773363867876
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,10.0,15.0,0.012700298119392165,0.011412808081326333,0.013947013346584831
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,15.0,20.0,0.012723168564640824,0.011474416299790015,0.013906026872181046
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,20.0,25.0,0.01271607949039809,0.011399814247337504,0.014001071554779261
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,25.0,30.0,0.012734341414469018,0.011491586853911774,0.013976951041718567
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,30.0,35.0,0.012733371411384703,0.011316271780977417,0.01404871813057571
