section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,0.0,5.0,0.0008053689259086302,0.0003975917307874428,0.0011924844841914503
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,5.0,10.0,0.0014148189789731141,0.0009141234797570566,0.0019007330032498064
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,10.0,15.0,0.0007318141531442413,0.0004732714250798335,0.0009950312967622666
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,15.0,20.0,0.0005579891011291285,0.000294048366089281,0.0008152790261508169
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,20.0,25.0,0.0006593906489325851,0.00035058817137954124,0.0009751026679242766
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,25.0,30.0,0.0007906856763895284,0.0004056828548839082,0.001179051796342558
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,30.0,35.0,0.0009383597281437527,0.00043810639786917175,0.0014377375172275255
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,35.0,40.0,0.0010795512500311934,0.0003982078000765104,0.00179270159973854
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,40.0,45.0,0.0012210736216704703,0.00018724918633648518,0.0022260256555951983
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,45.0,50.0,0.0014098453758726896,-5.354470224240783e-05,0.0028555875301177333
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,50.0,55.0,0.0016800647756169892,-0.0005999831755111349,0.004113050162231155
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,55.0,60.0,0.0020235020581883807,-0.0013776513088853038,0.005476343766188213
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,60.0,65.0,0.0022681247925470044,-0.0033540093255901913,0.008131119910678154
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,65.0,70.0,0.002160819204528131,-0.0064365333113043256,0.011255546090544782
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,70.0,75.0,0.0023639206664199126,-0.01213691666489467,0.01622804178453708
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,75.0,80.0,0.003981538113195383,-0.012608250143239274,0.023571499995887275
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,80.0,85.0,0.003956634101927196,-0.014990000054240227,0.023979999125003815
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,85.0,90.0,0.004209219965368582,-0.014399999752640724,0.021959999576210976
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,90.0,95.0,0.0033951692132464127,-0.01472649992792867,0.021503249858506008
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N1,95.0,100.0,-0.006306203002107884,-0.017160000279545784,0.0062699997797608376
