subset,variant,label,scope,source,n_perm,n,q25,median,q75,mean,frac_le_0,frac_gt_05,reject_rate_p05,full_sf_median,full_sf_q25,full_sf_q75,full_sf_n,frac_retaining_a_neighbour,real_median_nbrs,null_median_nbrs,median_displacement_um
"PRIMARY: in-band sections, tierA_p95",N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,"perm_nulls.csv (ORIGINAL, published)",1000,153,0.9888509940583976,0.998870982287264,1.005757785105693,0.995529982489923,0.0,1.0,0.8235294117647058,1.001497874122256,0.9710227052424804,1.067839642924508,153,0.7716478586339715,140.0,119.6875,2909.936871554154
"PRIMARY: in-band sections, tierA_p95",N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,"perm_nulls.csv (ORIGINAL, published)",1000,153,0.8036994751061498,0.9471932849110392,1.0388956918149912,0.8784247937466617,0.0196078431372549,0.9150326797385621,0.8496732026143791,0.9923269886609268,0.6287770510281208,1.279409948214394,153,0.9195264258950364,140.0,129.675,3194.444463257835
"PRIMARY: in-band sections, tierA_p95",N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.991450960046792,1.001113717067906,1.0078828950946628,0.9990771137851948,0.0,1.0,0.8235294117647058,0.9985114515857916,0.9688886076117702,1.0333940947642246,153,0.7716478586339715,140.0,119.6875,2909.936871554154
"PRIMARY: in-band sections, tierA_p95",N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,3.8760027022932425e-15,0.302356431254201,0.7338425579645339,0.3902913008238092,0.16339869281045752,0.39215686274509803,0.46405228758169936,0.2873601478057668,-1.0567205748054395e-14,0.801310799692524,153,0.9997699868861976,140.0,140.8,28.30266952966369
"PRIMARY: in-band sections, tierA_p95",N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.7612770785582639,0.9398494974456004,1.0107992828442909,0.8738986310966628,0.006535947712418301,0.9215686274509803,0.8431372549019608,0.9174590873146308,0.6644210322101048,1.099071542119442,153,0.9694663497867988,140.0,133.075,316.5739043952766
"PRIMARY: in-band sections, tierA_p95",N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.3920342256184254,0.6947681209409671,0.8721459222698098,0.5885736586592191,0.05228758169934641,0.6928104575163399,0.7843137254901961,1.0026553995490295,0.9235175145751876,1.1255932274157727,153,1.0,140.0,142.39999999999998,3240.851871005143
"PRIMARY: in-band sections, tierA_p95",N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.9499020344425744,0.9934052775657544,1.0166372213848156,0.9784227418345338,0.0,1.0,0.8888888888888888,0.975676537564024,0.8639562027627827,1.0686545096360829,153,1.0,140.0,120.025,2977.4969737489964
"PRIMARY: in-band sections, tierA_p95",N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.7964834022893463,0.9519971263126406,1.0479798380530652,0.8821691374527936,0.013071895424836602,0.9150326797385621,0.8496732026143791,1.0012763128862894,0.6425760814630483,1.3189510018488744,153,0.9195264258950364,140.0,129.675,3194.444463257835
"PRIMARY: in-band sections, tierA_p95",N4_occ,"N4-occ whole-section rotation, <=5% of senders out of tissue",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,4.842635413173834e-16,0.1832792895262877,0.5586485552841167,0.3020163516058767,0.16993464052287582,0.29411764705882354,0.3333333333333333,0.1978794305699689,-1.999938124133904e-16,0.7016784157624191,153,0.9997036921719726,140.0,140.825,24.686665568870843
"PRIMARY: in-band sections, tierA_p95",N4_occ15,"N4-occ15 whole-section rotation, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.6903821479972823,0.8831230952739932,0.9894862151394884,0.8336208157939043,0.006535947712418301,0.9019607843137255,0.8431372549019608,0.8927711344317534,0.6061120847004148,1.0836559369818846,153,0.968780185341134,140.0,133.45,320.31025416043985
"PRIMARY: in-band sections, tierA_p95",N4_swap,"N4-swap rotation, snapped to nearest real cell positions",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.7860641431280384,0.945694063721839,1.034549232343928,0.8765640989321656,0.013071895424836602,0.9215686274509803,0.9150326797385621,0.957560200268288,0.6732715638189871,1.2096201188976987,153,1.0,140.0,129.4625,2980.1229622532583
"PRIMARY: in-band sections, tierA_p95",N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1.csv (C1 re-run),1000,136,0.9061030618183926,0.9705516885970162,1.0088536229578724,0.9532946484264959,0.007352941176470588,0.9705882352941176,0.8014705882352942,0.9724984392398979,0.7990379260191547,1.0654551768584344,136,1.0,143.0,139.225,478.56443824347684
"PRIMARY: in-band sections, tierA_p95",N4_tile,N4-tile rotation inside solid-tissue tiles,solid tiles,perm_nulls_c1.csv (C1 re-run),1000,136,0.834645056302733,0.9242656044390682,1.048902076020922,0.9383376402392587,0.0,0.9632352941176471,0.8455882352941176,0.9937991639382573,0.7283867681615869,1.1679861064878796,136,1.0,143.0,139.075,589.4224908527729
