call,variant,label,scope,source,n,q25,median,q75,mean,frac_le_0,frac_gt_05,reject_rate_p05
cdkn1a_pos,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),192,0.9959007562940961,1.0016880221178113,1.007627999021114,1.001929696752468,0.0,1.0,0.9322916666666666
cdkn1a_pos,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_n7.csv (ORIGINAL),192,0.9439049684545584,1.0023559992145232,1.0535581906106692,1.020714747384277,0.0,0.9895833333333334,0.9322916666666666
cdkn1a_pos,N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,0.9946013797929731,0.9993660403016309,1.0039425702081635,0.9989411857187506,0.0,1.0,0.9375
cdkn1a_pos,N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,4.291280620605132e-15,0.3935999413867196,0.7672499647010298,0.4090260369100145,0.171875,0.4583333333333333,0.4479166666666667
cdkn1a_pos,N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,0.877705200095706,0.9720572228245754,1.0414120329295857,0.9390634761420626,0.0,0.9739583333333334,0.921875
cdkn1a_pos,N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1_n7.csv (C1 re-run),192,0.7494671880868925,0.8907027853104683,0.957756684820045,0.884593327918247,0.03125,0.90625,0.875
cdkn1a_pos,N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,0.991498962417342,1.0089983857175677,1.0349071094634872,1.0183345336111607,0.0,1.0,0.9427083333333334
cdkn1a_pos,N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,0.9492404713201427,0.9988366411943894,1.0507497622751287,1.0197803507725478,0.0,0.9895833333333334,0.9322916666666666
cdkn1a_pos,N4_occ,"N4-occ whole-section rotation, <=5% of senders out of tissue",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,3.5579850789318726e-16,0.3015100211457508,0.6385239751478281,0.3446141156976785,0.171875,0.3958333333333333,0.25
cdkn1a_pos,N4_occ15,"N4-occ15 whole-section rotation, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1_n7.csv (C1 re-run),192,0.78831509967924,0.9377423550763848,1.014259300213248,0.8838776830899001,0.010416666666666666,0.890625,0.6875
