subset,variant,label,scope,source,n_perm,n,q25,median,q75,mean,frac_le_0,frac_gt_05,reject_rate_p05,full_sf_median,full_sf_n,sf_wm_median,sf_wm_q25,sf_wm_q75,frac_cells_retained,full_sf_n_perm,frac_retaining_a_neighbour,real_median_nbrs,null_median_nbrs,median_displacement_um
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_orig,"N3 torus shift, whole-section bounding box (ORIGINAL)",whole section,"perm_nulls.csv (ORIGINAL, published)",1000,153,0.9888509940583976,0.998870982287264,1.005757785105693,0.995529982489923,0.0,1.0,0.8235294117647058,1.001497874122256,153,,,,,,0.7716478586339715,140.0,119.6875,2909.936871554154
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_orig_rerun,"N3 torus shift, whole-section bounding box (ORIGINAL, re-run in the C1 job)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.991450960046792,1.001113717067906,1.0078828950946628,0.9990771137851948,0.0,1.0,0.8235294117647058,0.9985114515857916,153,,,,,,0.7716478586339715,140.0,119.6875,2909.936871554154
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_tile,N3-tile torus shift inside solid-tissue tiles,solid tiles,perm_nulls_c1.csv (C1 re-run),1000,136,0.9061030618183926,0.9705516885970162,1.0088536229578724,0.9532946484264959,0.007352941176470588,0.9705882352941176,0.8014705882352942,0.9724984392398979,136,,,,,,1.0,143.0,139.225,478.56443824347684
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_occ,"N3-occ whole-section shift, <=5% of senders out of tissue",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,3.8760027022932425e-15,0.302356431254201,0.7338425579645339,0.3902913008238092,0.16339869281045752,0.39215686274509803,0.46405228758169936,0.2873601478057668,153,,,,,,0.9997699868861976,140.0,140.8,28.30266952966369
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_occ15,"N3-occ15 whole-section shift, <=15% out of tissue (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.7612770785582639,0.9398494974456004,1.0107992828442909,0.8738986310966628,0.006535947712418301,0.9215686274509803,0.8431372549019608,0.9174590873146308,153,,,,,,0.9694663497867988,140.0,133.075,316.5739043952766
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_swap,N3-swap senders relocated to random real cell positions,whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.3920342256184254,0.6947681209409671,0.8721459222698098,0.5885736586592191,0.05228758169934641,0.6928104575163399,0.7843137254901961,1.0026553995490295,153,,,,,,1.0,140.0,142.39999999999998,3240.851871005143
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_snap,"N3-snap whole-section shift, snapped to nearest real cell (suppl.)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.9499020344425744,0.9934052775657544,1.0166372213848156,0.9784227418345338,0.0,1.0,0.8888888888888888,0.975676537564024,153,,,,,,1.0,140.0,120.025,2977.4969737489964
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N3_var,N3-var VARIANCE-CORRECTED Euclidean shift (Mrkvicka et al. 2021),whole section (tissue window W),perm_nulls_var.csv (variance correction),1000,153,0.9753640265668346,0.9959658800875878,1.0073993045179812,0.9933050420110168,0.0,1.0,0.9084967320261438,0.996950634757758,153,0.994770837810335,0.9754556029620118,1.0076820245379277,0.5910440029998082,200.0,1.0,140.0,133.525,2214.9363818961747
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N4_orig,"N4 rotation, whole-section bounding box (ORIGINAL)",whole section,"perm_nulls.csv (ORIGINAL, published)",1000,153,0.8036994751061498,0.9471932849110392,1.0388956918149912,0.8784247937466617,0.0196078431372549,0.9150326797385621,0.8496732026143791,0.9923269886609268,153,,,,,,0.9195264258950364,140.0,129.675,3194.444463257835
"PRIMARY: in-band sections, tierA_p95, A_SENDER_FINAL_strict (33 genes)",N4_orig_rerun,"N4 rotation, whole-section bounding box (ORIGINAL, re-run in the C1 job)",whole section,perm_nulls_c1.csv (C1 re-run),1000,153,0.7964834022893463,0.9519971263126406,1.0479798380530652,0.8821691374527936,0.013071895424836602,0.9150326797385621,0.8496732026143791,1.0012763128862894,153,,,,,,0.9195264258950364,140.0,129.675,3194.444463257835
