section,null,celltype,module,n_draws,n_i_min,n_i_max,spearman_n_vs_absdev,spearman_p,log_sd_vs_log_n_slope
7259_liver_sbr_Male_26-U1,N3_var,Biliary/ductular,emt_ecm,400,8870,30979,-0.08486192527654904,0.09007813426243703,-0.5761783911560022
7259_liver_sbr_Male_26-U1,N3_var,Biliary/ductular,tnfa_nfkb_proximal,400,8870,30979,-0.1564651708288464,0.0016960402073456446,-0.39803440123860107
7259_liver_sbr_Male_26-U1,N3_var,DC,il6_jak_stat3,400,749,2605,-0.09308771931333566,0.06288999639167034,-0.5853307069943778
7259_liver_sbr_Male_26-U1,N3_var,Endothelial,emt_ecm,400,3849,12246,-0.027704632731092572,0.5806300294990616,-0.12185313308079684
7259_liver_sbr_Male_26-U1,N4_var,Biliary/ductular,emt_ecm,400,13348,30950,-0.11747466799980354,0.018759099304744956,-0.35232311213611767
7259_liver_sbr_Male_26-U1,N4_var,Biliary/ductular,tnfa_nfkb_proximal,400,13348,30950,-0.18878100537683692,0.00014586322109495022,-0.6439909975174184
7259_liver_sbr_Male_26-U1,N4_var,DC,il6_jak_stat3,400,1057,2586,-0.20258022540427167,4.4780755654924865e-05,-0.6322857004114731
7259_liver_sbr_Male_26-U1,N4_var,Endothelial,emt_ecm,400,5681,12238,-0.14399724522929105,0.003901881008374234,-0.11895224187139734
7260_liver_sbr_Male_26-U1,N3_var,Biliary/ductular,downstream_arrest,400,7868,26189,-0.088978220705588,0.07548233288764725,-0.47050533219362833
7260_liver_sbr_Male_26-U1,N3_var,Biliary/ductular,emt_ecm,400,7868,26189,-0.1903767077022403,0.0001277743442847957,-0.43061194869502706
7260_liver_sbr_Male_26-U1,N3_var,Biliary/ductular,il6_jak_stat3,400,7868,26189,-0.15137824155572052,0.002400560990830379,-0.5405291016142478
7260_liver_sbr_Male_26-U1,N3_var,DC,emt_ecm,400,1742,5055,-0.15641018633781675,0.0017025153851473614,-0.4280623079578042
7260_liver_sbr_Male_26-U1,N4_var,Biliary/ductular,downstream_arrest,400,22387,27567,0.055682184289686715,0.2665594497316703,1.0544883466794848
7260_liver_sbr_Male_26-U1,N4_var,Biliary/ductular,emt_ecm,400,22387,27567,0.20265452680907978,4.4487081045414916e-05,2.008719404931554
7260_liver_sbr_Male_26-U1,N4_var,Biliary/ductular,il6_jak_stat3,400,22387,27567,-0.07243386499614782,0.14816494678746392,-0.7173200350292153
7260_liver_sbr_Male_26-U1,N4_var,DC,emt_ecm,400,4345,5484,0.023498682036065636,0.6393787660850871,1.7272133778017464
