response,design,design_label,n_fits,n_sections,median_abs_amplitude,median_signed_amplitude,frac_positive,frac_CI_excludes_zero,clustered_mean,clustered_lo,clustered_hi,clustered_p,median_CI_halfwidth
all_controls,base,naive (intercept only),165,11,0.1264,-0.0794,0.352,0.448,-0.0697,-0.1276,-0.0118,0.023,0.1363
all_controls,n6,+N6 neighbour baseline,165,11,0.0946,-0.0564,0.364,0.321,-0.0608,-0.1082,-0.0133,0.0172,0.1356
all_controls,n5,+N5 technical covariates,165,11,0.0631,0.0044,0.527,0.109,0.0064,-0.0121,0.0248,0.46,0.1381
all_controls,n6n5,+N6+N5 (full nuisance design),165,11,0.0549,0.0046,0.533,0.091,0.0068,-0.0109,0.0245,0.411,0.1366
all_controls,n2,N2 matched-decoy contrast,165,11,0.1161,-0.0739,0.352,0.406,-0.0611,-0.1105,-0.0116,0.0204,0.1356
genomic_control,base,naive (intercept only),165,11,0.0809,-0.0398,0.345,0.182,-0.0337,-0.0538,-0.0136,0.00389,0.1373
genomic_control,n6,+N6 neighbour baseline,165,11,0.0798,-0.0378,0.345,0.182,-0.0323,-0.0524,-0.0122,0.005,0.1376
genomic_control,n5,+N5 technical covariates,165,11,0.0575,-0.0027,0.491,0.103,0.0067,-0.0107,0.0242,0.41,0.1378
genomic_control,n6n5,+N6+N5 (full nuisance design),165,11,0.0563,-0.0014,0.497,0.103,0.0073,-0.0103,0.025,0.376,0.1378
genomic_control,n2,N2 matched-decoy contrast,165,11,0.0794,-0.0379,0.345,0.176,-0.0297,-0.0486,-0.0107,0.00583,0.1387
neg_control_codeword,base,naive (intercept only),165,11,0.1251,-0.0701,0.382,0.412,-0.0549,-0.1064,-0.0034,0.0389,0.1437
neg_control_codeword,n6,+N6 neighbour baseline,165,11,0.0941,-0.0591,0.4,0.327,-0.0498,-0.0925,-0.0071,0.0265,0.1409
neg_control_codeword,n5,+N5 technical covariates,165,11,0.0633,0.0055,0.539,0.121,0.0064,-0.0163,0.0292,0.543,0.1421
neg_control_codeword,n6n5,+N6+N5 (full nuisance design),165,11,0.0541,0.0094,0.539,0.109,0.006,-0.0151,0.0271,0.541,0.1415
neg_control_codeword,n2,N2 matched-decoy contrast,165,11,0.1206,-0.0664,0.382,0.394,-0.0473,-0.0931,-0.0015,0.0441,0.1458
neg_control_probe,base,naive (intercept only),165,11,0.0783,-0.0354,0.43,0.285,-0.0177,-0.0453,0.0099,0.183,0.1271
neg_control_probe,n6,+N6 neighbour baseline,165,11,0.0775,-0.0341,0.43,0.273,-0.0171,-0.0438,0.0096,0.185,0.1248
neg_control_probe,n5,+N5 technical covariates,165,11,0.0597,0.0011,0.503,0.127,0.0054,-0.0038,0.0146,0.219,0.1306
neg_control_probe,n6n5,+N6+N5 (full nuisance design),165,11,0.0598,0.0033,0.509,0.127,0.0055,-0.0038,0.0147,0.217,0.1308
neg_control_probe,n2,N2 matched-decoy contrast,165,11,0.0778,-0.0342,0.43,0.267,-0.0149,-0.0391,0.0093,0.201,0.1283
neg_probe_rate,base,naive (intercept only),165,11,0.0714,0.0061,0.509,0.182,0.0142,-0.002,0.0304,0.0787,0.1304
neg_probe_rate,n6,+N6 neighbour baseline,165,11,0.0707,0.0064,0.509,0.182,0.0141,-0.0021,0.0303,0.0809,0.1304
neg_probe_rate,n5,+N5 technical covariates,165,11,0.0649,0.0023,0.503,0.164,0.0111,0.0025,0.0197,0.0161,0.1351
neg_probe_rate,n6n5,+N6+N5 (full nuisance design),165,11,0.0657,0.0024,0.503,0.164,0.0108,0.0021,0.0195,0.0204,0.1357
neg_probe_rate,n2,N2 matched-decoy contrast,165,11,0.0728,0.0064,0.509,0.182,0.0144,-0.0013,0.0301,0.0679,0.1303
BIOLOGICAL MODULES (reference),base,naive (intercept only),1155,11,0.3143,0.2504,0.77,0.739,0.2914,0.2206,0.3622,3.49e-06,0.1918
BIOLOGICAL MODULES (reference),n6,+N6 neighbour baseline,1155,11,0.1694,0.1096,0.691,0.551,0.1204,0.0872,0.1536,1.07e-05,0.1612
BIOLOGICAL MODULES (reference),n5,+N5 technical covariates,1155,11,0.0975,0.0329,0.605,0.282,0.0736,0.0432,0.1039,0.000303,0.1732
BIOLOGICAL MODULES (reference),n6n5,+N6+N5 (full nuisance design),1155,11,0.077,0.0219,0.581,0.215,0.0356,0.0145,0.0568,0.00377,0.1561
BIOLOGICAL MODULES (reference),n2,N2 matched-decoy contrast,1155,11,0.3007,0.2413,0.77,0.724,0.2814,0.2135,0.3492,3.28e-06,0.1911
