section,arm,A,B,n,n_A,n_B,n_both,jaccard,chance,ratio
7001_liver_sham_Male_52-U1,sham,tierA_score,senepy_score,108311,5435,5434,246,0.02316,0.02567,0.902
7001_liver_sham_Male_52-U1,sham,tierA_score,deepscence_score,139859,7037,7034,393,0.02873,0.02587,1.11
7001_liver_sham_Male_52-U1,sham,tierA_score,cdkn1a_counts,139859,7037,3097,179,0.01798,0.01565,1.149
7001_liver_sham_Male_52-U1,sham,senepy_score,deepscence_score,108311,5434,5434,113,0.01051,0.02535,0.414
7001_liver_sham_Male_52-U1,sham,senepy_score,cdkn1a_counts,108311,5434,2246,131,0.01735,0.01493,1.163
7001_liver_sham_Male_52-U1,sham,deepscence_score,cdkn1a_counts,139859,7034,3097,155,0.01554,0.01561,0.995
7239_liver_sbr_Male_52-U1,SBR,tierA_score,senepy_score,45527,2309,2309,82,0.01808,0.02582,0.7
7239_liver_sbr_Male_52-U1,SBR,tierA_score,deepscence_score,75384,3827,3827,333,0.04549,0.02654,1.714
7239_liver_sbr_Male_52-U1,SBR,tierA_score,cdkn1a_counts,75384,3827,1764,108,0.0197,0.01633,1.206
7239_liver_sbr_Male_52-U1,SBR,senepy_score,deepscence_score,45527,2309,2309,61,0.01339,0.0257,0.521
7239_liver_sbr_Male_52-U1,SBR,senepy_score,cdkn1a_counts,45527,2309,1196,51,0.01477,0.01756,0.841
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,cdkn1a_counts,75384,3827,1764,164,0.03022,0.0165,1.831
7248_liver_sham_Male_26-U1,sham,tierA_score,senepy_score,163401,8192,8193,385,0.02406,0.02567,0.937
7248_liver_sham_Male_26-U1,sham,tierA_score,deepscence_score,195443,9813,9813,677,0.03573,0.026,1.374
7248_liver_sham_Male_26-U1,sham,tierA_score,cdkn1a_counts,195443,9813,4187,273,0.01989,0.01531,1.299
7248_liver_sham_Male_26-U1,sham,senepy_score,deepscence_score,163401,8193,8194,186,0.01148,0.02536,0.453
7248_liver_sham_Male_26-U1,sham,senepy_score,cdkn1a_counts,163401,8193,3545,229,0.0199,0.01544,1.288
