section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
sham,sham,tierA_score,depth_quintile,Q1_low,20.05,36.16,1.804
sham,sham,tierA_score,depth_quintile,Q2,19.95,25.96,1.301
sham,sham,tierA_score,depth_quintile,Q3,20.02,19.26,0.962
sham,sham,tierA_score,depth_quintile,Q4,20.02,12.38,0.619
sham,sham,tierA_score,depth_quintile,Q5_high,19.97,6.25,0.313
sham,sham,tierA_score,zonation_hepatocyte,periportal,33.33,26.24,0.787
sham,sham,tierA_score,zonation_hepatocyte,midzonal,33.33,32.62,0.979
sham,sham,tierA_score,zonation_hepatocyte,pericentral,33.33,41.14,1.234
sham,sham,senepy_score,depth_quintile,Q1_low,20.05,8.16,0.407
sham,sham,senepy_score,depth_quintile,Q2,19.95,14.4,0.722
sham,sham,senepy_score,depth_quintile,Q3,20.02,21.64,1.081
sham,sham,senepy_score,depth_quintile,Q4,20.02,26.71,1.334
sham,sham,senepy_score,depth_quintile,Q5_high,19.97,29.09,1.457
sham,sham,senepy_score,zonation_hepatocyte,periportal,33.33,30.18,0.905
sham,sham,senepy_score,zonation_hepatocyte,midzonal,33.33,44.59,1.338
sham,sham,senepy_score,zonation_hepatocyte,pericentral,33.33,25.23,0.757
sham,sham,deepscence_score,depth_quintile,Q1_low,20.05,39.52,1.971
sham,sham,deepscence_score,depth_quintile,Q2,19.95,26.98,1.352
sham,sham,deepscence_score,depth_quintile,Q3,20.02,19.63,0.981
sham,sham,deepscence_score,depth_quintile,Q4,20.02,11.19,0.559
sham,sham,deepscence_score,depth_quintile,Q5_high,19.97,2.68,0.134
sham,sham,deepscence_score,zonation_hepatocyte,periportal,33.33,40.12,1.204
sham,sham,deepscence_score,zonation_hepatocyte,midzonal,33.33,32.72,0.981
sham,sham,deepscence_score,zonation_hepatocyte,pericentral,33.33,27.16,0.815
sham,sham,cdkn1a_counts,depth_quintile,Q1_low,20.05,13.45,0.671
sham,sham,cdkn1a_counts,depth_quintile,Q2,19.95,21.37,1.071
sham,sham,cdkn1a_counts,depth_quintile,Q3,20.02,19.8,0.989
sham,sham,cdkn1a_counts,depth_quintile,Q4,20.02,19.92,0.995
sham,sham,cdkn1a_counts,depth_quintile,Q5_high,19.97,25.46,1.275
sham,sham,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,35.27,1.058
sham,sham,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,44.69,1.341
sham,sham,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,20.03,0.601
sbr,SBR,tierA_score,depth_quintile,Q1_low,20.08,38.24,1.904
sbr,SBR,tierA_score,depth_quintile,Q2,19.92,28.74,1.442
sbr,SBR,tierA_score,depth_quintile,Q3,20.07,20.07,1.0
sbr,SBR,tierA_score,depth_quintile,Q4,19.92,10.36,0.52
sbr,SBR,tierA_score,depth_quintile,Q5_high,20.0,2.6,0.13
sbr,SBR,tierA_score,zonation_hepatocyte,periportal,33.34,23.96,0.719
sbr,SBR,tierA_score,zonation_hepatocyte,midzonal,33.33,28.12,0.844
sbr,SBR,tierA_score,zonation_hepatocyte,pericentral,33.34,47.92,1.437
sbr,SBR,senepy_score,depth_quintile,Q1_low,20.08,0.98,0.049
sbr,SBR,senepy_score,depth_quintile,Q2,19.92,6.82,0.342
sbr,SBR,senepy_score,depth_quintile,Q3,20.07,21.34,1.063
sbr,SBR,senepy_score,depth_quintile,Q4,19.92,43.56,2.186
sbr,SBR,senepy_score,depth_quintile,Q5_high,20.0,27.3,1.365
sbr,SBR,senepy_score,zonation_hepatocyte,periportal,33.34,18.94,0.568
sbr,SBR,senepy_score,zonation_hepatocyte,midzonal,33.33,30.3,0.909
sbr,SBR,senepy_score,zonation_hepatocyte,pericentral,33.34,50.76,1.523
sbr,SBR,deepscence_score,depth_quintile,Q1_low,20.08,20.55,1.023
sbr,SBR,deepscence_score,depth_quintile,Q2,19.92,12.88,0.647
sbr,SBR,deepscence_score,depth_quintile,Q3,20.07,10.09,0.503
sbr,SBR,deepscence_score,depth_quintile,Q4,19.92,12.67,0.636
sbr,SBR,deepscence_score,depth_quintile,Q5_high,20.0,43.79,2.19
sbr,SBR,deepscence_score,zonation_hepatocyte,periportal,33.34,33.65,1.009
sbr,SBR,deepscence_score,zonation_hepatocyte,midzonal,33.33,33.16,0.995
sbr,SBR,deepscence_score,zonation_hepatocyte,pericentral,33.34,33.19,0.996
sbr,SBR,cdkn1a_counts,depth_quintile,Q1_low,20.08,4.48,0.223
sbr,SBR,cdkn1a_counts,depth_quintile,Q2,19.92,7.79,0.391
sbr,SBR,cdkn1a_counts,depth_quintile,Q3,20.07,11.56,0.576
sbr,SBR,cdkn1a_counts,depth_quintile,Q4,19.92,18.34,0.92
sbr,SBR,cdkn1a_counts,depth_quintile,Q5_high,20.0,57.82,2.892
sbr,SBR,cdkn1a_counts,zonation_hepatocyte,periportal,33.34,33.82,1.014
sbr,SBR,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,37.09,1.113
sbr,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.34,29.09,0.873
