section,arm,score,n_scored,rho_transcript_counts,rho_cell_area,rho_nucleus_area,rho_zonation
7001_liver_sham_Male_52-U1,sham,tierA_score,139859,0.0557,0.0378,,0.0092
7001_liver_sham_Male_52-U1,sham,senepy_score,108311,0.1613,0.07,,0.0374
7001_liver_sham_Male_52-U1,sham,deepscence_score,139859,0.2906,0.3077,,-0.1361
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,139859,0.1704,0.1289,,-0.0147
7239_liver_sbr_Male_52-U1,SBR,tierA_score,75384,0.0224,-0.0233,,0.0218
7239_liver_sbr_Male_52-U1,SBR,senepy_score,45527,0.1725,0.1467,,0.04
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,75384,0.3891,0.3417,,-0.2199
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,75384,0.4814,0.4558,,-0.1484
7248_liver_sham_Male_26-U1,sham,tierA_score,195443,0.0429,0.0315,,0.0218
7248_liver_sham_Male_26-U1,sham,senepy_score,163401,0.1542,0.154,,-0.005
7248_liver_sham_Male_26-U1,sham,deepscence_score,195443,0.4571,0.4318,,-0.0351
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,195443,0.1287,0.1116,,-0.0201
7250_liver_sham_Male_26-U1,sham,tierA_score,218273,0.0871,0.0817,,0.0153
7250_liver_sham_Male_26-U1,sham,senepy_score,183070,0.1676,0.1077,,-0.0205
7250_liver_sham_Male_26-U1,sham,deepscence_score,218273,-0.35,-0.4315,,0.179
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,218273,0.0152,-0.0085,,0.0006
7259_liver_sbr_Male_26-U1,SBR,tierA_score,114721,0.0216,0.0022,,0.0409
7259_liver_sbr_Male_26-U1,SBR,senepy_score,63357,0.1814,0.1038,,0.1531
7259_liver_sbr_Male_26-U1,SBR,deepscence_score,114721,0.3176,0.3197,,-0.3917
7259_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,114721,0.1923,0.1804,,-0.102
7260_liver_sbr_Male_26-U1,SBR,tierA_score,180669,0.1129,0.0921,,-0.0022
7260_liver_sbr_Male_26-U1,SBR,senepy_score,106373,0.3345,0.27,,-0.0509
7260_liver_sbr_Male_26-U1,SBR,deepscence_score,180669,0.3164,0.278,,-0.1483
7260_liver_sbr_Male_26-U1,SBR,cdkn1a_counts,180669,0.2274,0.191,,-0.0921
7352_liver_sham_Male_2-U1,sham,tierA_score,122380,0.1629,0.1635,,-0.0343
7352_liver_sham_Male_2-U1,sham,senepy_score,103290,0.1607,0.0874,,-0.0501
7352_liver_sham_Male_2-U1,sham,deepscence_score,122380,0.4096,0.4813,,-0.0816
7352_liver_sham_Male_2-U1,sham,cdkn1a_counts,122380,0.1415,0.1199,,-0.0364
7361_liver_sbr_Male_2-U1,SBR,tierA_score,161579,0.1439,0.1498,,-0.0267
7361_liver_sbr_Male_2-U1,SBR,senepy_score,136384,0.3066,0.2434,,0.0653
7361_liver_sbr_Male_2-U1,SBR,deepscence_score,161579,0.3846,0.5053,,-0.1994
7361_liver_sbr_Male_2-U1,SBR,cdkn1a_counts,161579,0.2912,0.2596,,0.0353
7435_liver_sham_Male_10-U1,sham,tierA_score,139768,0.1249,0.1136,,0.0146
7435_liver_sham_Male_10-U1,sham,senepy_score,119459,0.0968,0.0898,,-0.0411
7435_liver_sham_Male_10-U1,sham,deepscence_score,139768,0.4799,0.4871,,-0.1219
7435_liver_sham_Male_10-U1,sham,cdkn1a_counts,139768,0.0754,0.0533,,-0.0038
7448_liver_sbr_Male_10-U1,SBR,tierA_score,162303,0.0916,0.0652,,-0.0348
7448_liver_sbr_Male_10-U1,SBR,senepy_score,87313,0.5134,0.4791,,-0.045
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,162303,0.3451,0.2816,,-0.2061
7448_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,162303,0.329,0.3146,,-0.1302
7450_liver_sbr_Male_10-U1,SBR,tierA_score,81428,0.0083,-0.0123,,0.0519
7450_liver_sbr_Male_10-U1,SBR,senepy_score,59284,0.1045,0.054,,0.1808
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,81428,0.5577,0.5706,,-0.2603
7450_liver_sbr_Male_10-U1,SBR,cdkn1a_counts,81428,0.3257,0.3,,-0.0681
