section,arm,caller,within_type_depth_quintile,bg_pct,enrichment
7001_liver_sham_Male_52-U1,sham,tierA_score,Q1,20.04,1.64
7001_liver_sham_Male_52-U1,sham,tierA_score,Q2,20.0,1.34
7001_liver_sham_Male_52-U1,sham,tierA_score,Q3,19.99,1.005
7001_liver_sham_Male_52-U1,sham,tierA_score,Q4,20.0,0.69
7001_liver_sham_Male_52-U1,sham,tierA_score,Q5,19.99,0.323
7001_liver_sham_Male_52-U1,sham,senepy_score,Q1,20.04,0.075
7001_liver_sham_Male_52-U1,sham,senepy_score,Q2,20.0,0.246
7001_liver_sham_Male_52-U1,sham,senepy_score,Q3,19.99,0.54
7001_liver_sham_Male_52-U1,sham,senepy_score,Q4,20.0,1.172
7001_liver_sham_Male_52-U1,sham,senepy_score,Q5,19.99,2.97
7001_liver_sham_Male_52-U1,sham,deepscence_score,Q1,20.04,1.35
7001_liver_sham_Male_52-U1,sham,deepscence_score,Q2,20.0,1.141
7001_liver_sham_Male_52-U1,sham,deepscence_score,Q3,19.99,0.978
7001_liver_sham_Male_52-U1,sham,deepscence_score,Q4,20.0,0.796
7001_liver_sham_Male_52-U1,sham,deepscence_score,Q5,19.99,0.734
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Q1,20.04,0.319
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Q2,20.0,0.585
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Q3,19.99,0.826
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Q4,20.0,1.15
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,Q5,19.99,2.122
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Q1,20.05,1.656
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Q2,19.99,1.287
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Q3,19.97,0.949
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Q4,19.95,0.696
7239_liver_sbr_Male_52-U1,SBR,tierA_score,Q5,19.98,0.413
7239_liver_sbr_Male_52-U1,SBR,senepy_score,Q1,20.05,0.105
7239_liver_sbr_Male_52-U1,SBR,senepy_score,Q2,19.99,0.376
7239_liver_sbr_Male_52-U1,SBR,senepy_score,Q3,19.97,0.816
7239_liver_sbr_Male_52-U1,SBR,senepy_score,Q4,19.95,1.302
7239_liver_sbr_Male_52-U1,SBR,senepy_score,Q5,19.98,2.408
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Q1,20.05,1.181
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Q2,19.99,1.035
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Q3,19.97,1.007
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Q4,19.95,0.957
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Q5,19.98,0.822
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Q1,20.05,0.075
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Q2,19.99,0.169
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Q3,19.97,0.439
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Q4,19.95,1.148
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Q5,19.98,3.177
7248_liver_sham_Male_26-U1,sham,tierA_score,Q1,20.04,1.777
7248_liver_sham_Male_26-U1,sham,tierA_score,Q2,20.0,1.284
7248_liver_sham_Male_26-U1,sham,tierA_score,Q3,19.99,0.955
7248_liver_sham_Male_26-U1,sham,tierA_score,Q4,19.98,0.652
7248_liver_sham_Male_26-U1,sham,tierA_score,Q5,19.99,0.33
7248_liver_sham_Male_26-U1,sham,senepy_score,Q1,20.04,0.153
7248_liver_sham_Male_26-U1,sham,senepy_score,Q2,20.0,0.434
7248_liver_sham_Male_26-U1,sham,senepy_score,Q3,19.99,0.774
7248_liver_sham_Male_26-U1,sham,senepy_score,Q4,19.98,1.249
7248_liver_sham_Male_26-U1,sham,senepy_score,Q5,19.99,2.394
7248_liver_sham_Male_26-U1,sham,deepscence_score,Q1,20.04,1.124
7248_liver_sham_Male_26-U1,sham,deepscence_score,Q2,20.0,1.032
7248_liver_sham_Male_26-U1,sham,deepscence_score,Q3,19.99,0.978
7248_liver_sham_Male_26-U1,sham,deepscence_score,Q4,19.98,0.977
7248_liver_sham_Male_26-U1,sham,deepscence_score,Q5,19.99,0.888
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q1,20.04,0.352
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q2,20.0,0.591
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q3,19.99,0.841
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q4,19.98,1.162
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q5,19.99,2.057
7250_liver_sham_Male_26-U1,sham,tierA_score,Q1,20.09,1.578
7250_liver_sham_Male_26-U1,sham,tierA_score,Q2,20.01,1.215
7250_liver_sham_Male_26-U1,sham,tierA_score,Q3,19.97,1.02
7250_liver_sham_Male_26-U1,sham,tierA_score,Q4,19.97,0.757
7250_liver_sham_Male_26-U1,sham,tierA_score,Q5,19.96,0.427
7250_liver_sham_Male_26-U1,sham,senepy_score,Q1,20.09,0.124
7250_liver_sham_Male_26-U1,sham,senepy_score,Q2,20.01,0.361
7250_liver_sham_Male_26-U1,sham,senepy_score,Q3,19.97,0.724
7250_liver_sham_Male_26-U1,sham,senepy_score,Q4,19.97,1.27
7250_liver_sham_Male_26-U1,sham,senepy_score,Q5,19.96,2.528
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q1,20.09,1.784
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q2,20.01,1.198
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q3,19.97,0.958
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q4,19.97,0.665
7250_liver_sham_Male_26-U1,sham,deepscence_score,Q5,19.96,0.389
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q1,20.09,0.384
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q2,20.01,0.765
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q3,19.97,1.021
7250_liver_sham_Male_26-U1,sham,cdkn1a_counts,Q4,19.97,1.226
