null,family,frac_retaining_a_neighbour,real_median_nbrs,null_median_nbrs,frac_in_occupancy,median_displacement_um,sf_median,sf_q25,sf_q75,sf_published,note
N3_orig,published bounding box,0.771998970641883,140.5,119.725,0.6442487749466776,2973.8995183267725,1.00156847240748,0.9936103696682217,1.009569474323041,1.0001120175357205,"PUBLISHED, leaves the tissue"
N3_tile,in tissue,1.0,144.0,139.64999999999998,0.9472346334965946,488.6095450843595,0.974499315932299,0.9130672591554326,1.0076242089028407,,"in-tissue, clustering-preserving"
N3_occ,in tissue,0.999758214268128,140.5,141.25,0.9650661963406328,27.418786053180504,0.3488154738365158,0.07265943876173878,0.7638955464577203,,degenerate: displacement below the fitting window
N3_occ15,in tissue,0.9659859472759981,140.5,133.65,0.8803628161348686,304.3230902499274,0.9514071631092929,0.8337861659170805,1.0265939214547024,,"in-tissue, clustering-preserving"
N3_swap,in tissue,1.0,140.5,142.39999999999998,1.0,3251.7062466600946,0.7207254084157506,0.4063560238628608,0.8790695291832249,,"equals N1 (label permutation), not a torus shift"
N3_snap,in tissue,1.0,140.5,119.94999999999999,1.0,2980.672705437867,0.9880483924935397,0.9426963367903579,1.0259910467522722,,"in-tissue, clustering-preserving"
N4_orig,published bounding box,0.9171672781991074,140.5,129.275,0.7994763278035759,3232.416853431699,0.9598329278874773,0.8696031140671417,1.038199980742298,0.9641233669663237,"PUBLISHED, leaves the tissue"
N4_tile,in tissue,1.0,144.0,139.525,0.9463174661245458,595.7159220062377,0.9617784581019512,0.8658970229032935,1.0278027274874788,,"in-tissue, clustering-preserving"
N4_occ,in tissue,0.9997077949456423,140.5,141.15,0.971093093630111,25.11651632976863,0.27291953966230625,6.95291596937569e-16,0.5923872278797631,,degenerate: displacement below the fitting window
N4_occ15,in tissue,0.9693497585942432,140.5,133.97500000000002,0.8920251728678549,307.8720255154111,0.8955035368216131,0.7549861521655173,0.9982602839961573,,"in-tissue, clustering-preserving"
N4_swap,in tissue,1.0,140.5,129.0625,1.0,3037.7293511460443,0.969018325764285,0.8620664559138058,1.0304149423911568,,"in-tissue, clustering-preserving"
reference_median_lambda_hat_um,,,,,,12.834516664176409,,,,,panel f line
reference_N1_sf,,,,,,,0.7160375343146883,,,,panel g line
A7_all_controls_base,M1 negative-control-probe kernel,,,,,,-0.0697,-0.1276,-0.0118,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.023, 165 fits"
A7_all_controls_n6,M1 negative-control-probe kernel,,,,,,-0.0608,-0.1082,-0.0133,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.0172, 165 fits"
A7_all_controls_n5,M1 negative-control-probe kernel,,,,,,0.0064,-0.0121,0.0248,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.46, 165 fits"
A7_all_controls_n6n5,M1 negative-control-probe kernel,,,,,,0.0068,-0.0109,0.0245,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.411, 165 fits"
A7_all_controls_n2,M1 negative-control-probe kernel,,,,,,-0.0611,-0.1105,-0.0116,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.0204, 165 fits"
A7_BIOLOGICAL_base,M1 negative-control-probe kernel,,,,,,0.2914,0.2206,0.3622,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=3.49e-06, 1155 fits"
A7_BIOLOGICAL_n6,M1 negative-control-probe kernel,,,,,,0.1204,0.0872,0.1536,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=1.07e-05, 1155 fits"
A7_BIOLOGICAL_n5,M1 negative-control-probe kernel,,,,,,0.0736,0.0432,0.1039,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.000303, 1155 fits"
A7_BIOLOGICAL_n6n5,M1 negative-control-probe kernel,,,,,,0.0356,0.0145,0.0568,,"panel h: beta/sd_y, section-clustered mean [95% CI], p=0.00377, 1155 fits"
