panel,pair,section,arm,x,ratio_stratified,z,is_published_section
a,tierA vs senepy,7001_liver_sham_Male_52-U1,sham,0.0603,0.902,-1.7,False
a,tierA vs senepy,7239_liver_sbr_Male_52-U1,SBR,-0.1013,0.7,-3.42,False
a,tierA vs senepy,7248_liver_sham_Male_26-U1,sham,-0.202,0.937,-1.34,False
a,tierA vs senepy,7250_liver_sham_Male_26-U1,sham,0.0,0.932,-1.54,True
a,tierA vs senepy,7259_liver_sbr_Male_26-U1,SBR,0.0,0.943,-0.76,True
a,tierA vs senepy,7260_liver_sbr_Male_26-U1,SBR,-0.2127,0.882,-2.04,False
a,tierA vs senepy,7352_liver_sham_Male_2-U1,sham,0.1378,0.948,-0.88,False
a,tierA vs senepy,7361_liver_sbr_Male_2-U1,SBR,0.1816,0.995,-0.09,False
a,tierA vs senepy,7435_liver_sham_Male_10-U1,sham,0.0469,0.775,-4.11,False
a,tierA vs senepy,7448_liver_sbr_Male_10-U1,SBR,0.101,0.957,-0.67,False
a,tierA vs senepy,7450_liver_sbr_Male_10-U1,SBR,0.0192,0.979,-0.27,False
a,tierA vs deepscence,7001_liver_sham_Male_52-U1,sham,1.1914,1.11,2.18,False
a,tierA vs deepscence,7239_liver_sbr_Male_52-U1,SBR,1.139,1.711,10.45,False
a,tierA vs deepscence,7248_liver_sham_Male_26-U1,sham,0.7812,1.374,8.73,False
a,tierA vs deepscence,7250_liver_sham_Male_26-U1,sham,1.0,1.041,1.01,True
a,tierA vs deepscence,7259_liver_sbr_Male_26-U1,SBR,1.0,1.221,3.96,True
a,tierA vs deepscence,7260_liver_sbr_Male_26-U1,SBR,1.1573,1.238,5.35,False
a,tierA vs deepscence,7352_liver_sham_Male_2-U1,sham,0.7948,1.341,6.32,False
a,tierA vs deepscence,7361_liver_sbr_Male_2-U1,SBR,1.101,1.294,6.24,False
a,tierA vs deepscence,7435_liver_sham_Male_10-U1,sham,0.8573,1.085,1.69,False
a,tierA vs deepscence,7448_liver_sbr_Male_10-U1,SBR,1.1598,1.319,6.78,False
a,tierA vs deepscence,7450_liver_sbr_Male_10-U1,SBR,1.0182,1.268,4.05,False
a,tierA vs cdkn1a,7001_liver_sham_Male_52-U1,sham,1.9119,1.148,1.93,False
a,tierA vs cdkn1a,7239_liver_sbr_Male_52-U1,SBR,1.966,1.205,2.03,False
a,tierA vs cdkn1a,7248_liver_sham_Male_26-U1,sham,1.7925,1.299,4.51,False
a,tierA vs cdkn1a,7250_liver_sham_Male_26-U1,sham,2.0,0.959,-0.37,True
a,tierA vs cdkn1a,7259_liver_sbr_Male_26-U1,SBR,2.0,1.057,0.63,True
a,tierA vs cdkn1a,7260_liver_sbr_Male_26-U1,SBR,1.8347,1.125,1.89,False
a,tierA vs cdkn1a,7352_liver_sham_Male_2-U1,sham,2.0751,0.948,-0.61,False
a,tierA vs cdkn1a,7361_liver_sbr_Male_2-U1,SBR,2.0648,1.247,3.45,False
a,tierA vs cdkn1a,7435_liver_sham_Male_10-U1,sham,2.0508,1.137,1.68,False
a,tierA vs cdkn1a,7448_liver_sbr_Male_10-U1,SBR,1.9488,1.21,3.0,False
a,tierA vs cdkn1a,7450_liver_sbr_Male_10-U1,SBR,2.2188,1.433,4.31,False
a,senepy vs deepscence,7001_liver_sham_Male_52-U1,sham,3.2116,0.414,-10.18,False
a,senepy vs deepscence,7239_liver_sbr_Male_52-U1,SBR,3.0816,0.52,-5.47,False
a,senepy vs deepscence,7248_liver_sham_Male_26-U1,sham,3.0662,0.453,-11.68,False
a,senepy vs deepscence,7250_liver_sham_Male_26-U1,sham,3.0,2.15,25.97,True
a,senepy vs deepscence,7259_liver_sbr_Male_26-U1,SBR,3.0,0.381,-8.24,True
a,senepy vs deepscence,7260_liver_sbr_Male_26-U1,SBR,3.0829,0.506,-8.53,False
a,senepy vs deepscence,7352_liver_sham_Male_2-U1,sham,2.9511,0.541,-7.8,False
a,senepy vs deepscence,7361_liver_sbr_Male_2-U1,SBR,2.8394,0.549,-8.8,False
a,senepy vs deepscence,7435_liver_sham_Male_10-U1,sham,3.0975,0.532,-8.53,False
a,senepy vs deepscence,7448_liver_sbr_Male_10-U1,SBR,3.0112,0.332,-10.41,False
a,senepy vs deepscence,7450_liver_sbr_Male_10-U1,SBR,2.9165,0.5,-6.45,False
a,senepy vs cdkn1a,7001_liver_sham_Male_52-U1,sham,3.9938,1.163,1.8,False
