celltype,module,scale,n,slope,r2
Biliary/ductular,downstream_arrest,lam_raw,33,-0.08092030458519034,0.0038049049980327654
Biliary/ductular,downstream_arrest,lam_poisson,33,0.4190796954148096,0.09292272300428706
Biliary/ductular,emt_ecm,lam_raw,33,-0.47854519549281427,0.1363466033717209
Biliary/ductular,emt_ecm,lam_poisson,33,0.021454804507185562,0.00031722707646331116
Biliary/ductular,il6_jak_stat3,lam_raw,33,-0.18451944608363455,0.02363100041613675
Biliary/ductular,il6_jak_stat3,lam_poisson,33,0.3154805539163652,0.06607554850643937
Biliary/ductular,interferon_response,lam_raw,33,-0.11261405074776636,0.007841318641030548
Biliary/ductular,interferon_response,lam_poisson,33,0.3873859492522335,0.08552307094179079
Biliary/ductular,oxidative_stress,lam_raw,33,-0.05463992839272112,0.0015185636731829266
Biliary/ductular,oxidative_stress,lam_poisson,33,0.44536007160727853,0.09176816457492254
Biliary/ductular,secondary_senescence,lam_raw,33,-0.2953224667635209,0.06029706233160648
Biliary/ductular,secondary_senescence,lam_poisson,33,0.20467753323647872,0.0298998837474147
Biliary/ductular,tnfa_nfkb_proximal,lam_raw,33,-0.1251172407888233,0.01185094968264322
Biliary/ductular,tnfa_nfkb_proximal,lam_poisson,33,0.37488275921117675,0.09720254613464274
Hepatocytes,downstream_arrest,lam_raw,33,0.16697733248558064,0.02307191867109848
Hepatocytes,downstream_arrest,lam_poisson,33,0.6669773324855807,0.27368602898477057
Hepatocytes,emt_ecm,lam_raw,33,-0.49620596164891695,0.13670093629455937
Hepatocytes,emt_ecm,lam_poisson,33,0.0037940383510830177,9.257328526079966e-06
Hepatocytes,il6_jak_stat3,lam_raw,33,-0.051518538061030426,0.0035943498321122647
Hepatocytes,il6_jak_stat3,lam_poisson,33,0.44848146193896954,0.2146804521757688
Hepatocytes,interferon_response,lam_raw,33,0.2139071860286118,0.02470538869265626
Hepatocytes,interferon_response,lam_poisson,33,0.7139071860286118,0.22006344213399553
Hepatocytes,oxidative_stress,lam_raw,33,0.30161756626561875,0.06405355344342367
Hepatocytes,oxidative_stress,lam_poisson,33,0.8016175662656189,0.32587641912336884
Hepatocytes,secondary_senescence,lam_raw,33,-0.037968935475698615,0.0011744199431956703
Hepatocytes,secondary_senescence,lam_poisson,33,0.4620310645243014,0.14828975359483054
Hepatocytes,tnfa_nfkb_proximal,lam_raw,33,-0.21397164404738964,0.02718410786159231
Hepatocytes,tnfa_nfkb_proximal,lam_poisson,33,0.2860283559526103,0.04755853362666895
