call,celltype,module,n_sections,sd_log_lam_raw,sd_log_lam_poisson,sd_log_lam_nn
cdkn1a_pos,Biliary/ductular,downstream_arrest,6,0.7750082511309726,0.8651539748592176,0.8382210202639226
cdkn1a_pos,Biliary/ductular,emt_ecm,6,0.81027802322897,0.6251373580311982,0.6938538230192416
cdkn1a_pos,Biliary/ductular,il6_jak_stat3,6,0.6339619280455318,0.6905201120208091,0.5824400943888876
cdkn1a_pos,Biliary/ductular,interferon_response,6,0.7878370946428134,0.8526090571327497,0.7157219779647964
cdkn1a_pos,Biliary/ductular,oxidative_stress,6,0.9150677266855275,1.0829053408922902,1.0682150576930383
cdkn1a_pos,Biliary/ductular,secondary_senescence,6,0.7135434841568917,0.582904332728622,0.6337002959316242
cdkn1a_pos,Biliary/ductular,tnfa_nfkb_proximal,6,0.34896923012685016,0.29844803186535496,0.29390612673611016
cdkn1a_pos,Hepatocytes,downstream_arrest,6,0.0,0.24166150129438324,0.16358524098264485
cdkn1a_pos,Hepatocytes,emt_ecm,6,0.8215264143627534,0.6419102671146238,0.6978947665604525
cdkn1a_pos,Hepatocytes,il6_jak_stat3,6,0.09393935893773366,0.26346618612566564,0.15774995537915687
cdkn1a_pos,Hepatocytes,interferon_response,6,0.5967922447904647,0.698193541726673,0.5556370174017398
cdkn1a_pos,Hepatocytes,oxidative_stress,6,0.7327269997143223,0.8208396039516153,0.7912590630120999
cdkn1a_pos,Hepatocytes,secondary_senescence,6,0.07515148715018692,0.2565144532412023,0.15442839261596167
cdkn1a_pos,Hepatocytes,tnfa_nfkb_proximal,6,0.7014194716746315,0.509956474965614,0.6479669025983418
senepy_p95,Biliary/ductular,downstream_arrest,6,0.697736129923241,0.7121612109912899,0.7123879377950891
senepy_p95,Biliary/ductular,emt_ecm,6,0.9256531035941441,0.9450250804766953,1.0269312247121074
senepy_p95,Biliary/ductular,il6_jak_stat3,6,0.8059537140723421,0.7867080428361364,0.7262886432717623
senepy_p95,Biliary/ductular,interferon_response,6,0.7315216575596556,0.6628076871420799,0.6619089057004115
senepy_p95,Biliary/ductular,oxidative_stress,6,0.7292018155944863,0.7564669854232824,0.712063058106286
senepy_p95,Biliary/ductular,secondary_senescence,6,0.7586671973621983,0.7462577485172449,0.7551453652956762
senepy_p95,Biliary/ductular,tnfa_nfkb_proximal,6,0.4647862791637035,0.43664277253314154,0.36764907515919404
senepy_p95,Hepatocytes,downstream_arrest,6,0.7384374572815348,0.6897242487621854,0.5784108260064842
senepy_p95,Hepatocytes,emt_ecm,6,0.7327269997143224,0.6728871098365196,0.600574153065557
senepy_p95,Hepatocytes,il6_jak_stat3,6,0.7327269997143223,0.7457454897410598,0.7079597937429913
senepy_p95,Hepatocytes,interferon_response,6,0.7228326941672578,0.7190087797271583,0.6175890504960262
senepy_p95,Hepatocytes,oxidative_stress,6,0.01878787178754673,0.09997170987761303,0.15837255154282964
senepy_p95,Hepatocytes,secondary_senescence,6,0.737289328900231,0.7397057859860243,0.6683420698242231
senepy_p95,Hepatocytes,tnfa_nfkb_proximal,6,0.7576895030439121,0.7261608166284094,0.7841587942442314
tierA_p95,Biliary/ductular,downstream_arrest,6,0.7097738689631479,0.7392298535019829,0.7635079921623433
tierA_p95,Biliary/ductular,emt_ecm,6,0.7599223846127059,0.8241847664120339,0.8719511756963956
tierA_p95,Biliary/ductular,il6_jak_stat3,6,0.5473690952254554,0.5090561858119631,0.4633220342463358
tierA_p95,Biliary/ductular,interferon_response,6,0.8530604168468928,0.9202959351963339,0.8961319591084254
tierA_p95,Biliary/ductular,oxidative_stress,6,0.6679610285412555,0.6870751974061802,0.7015993336517581
tierA_p95,Biliary/ductular,secondary_senescence,6,0.5293380767157625,0.614272278245474,0.6551928005993695
tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,6,0.6346297252054467,0.7490829309121377,0.7536010283600829
tierA_p95,Hepatocytes,downstream_arrest,6,0.8728983532133672,0.9362228118090568,0.9665910960007389
tierA_p95,Hepatocytes,emt_ecm,6,0.70121814576013,0.5904183914189388,0.5756831812441652
tierA_p95,Hepatocytes,il6_jak_stat3,6,0.0,0.14713928450187724,0.16358524098264482
tierA_p95,Hepatocytes,interferon_response,6,0.8353739388474879,0.8057337673369398,0.7792410005071759
tierA_p95,Hepatocytes,oxidative_stress,6,0.8402611792983474,0.7855633266243301,0.8252888816132081
tierA_p95,Hepatocytes,secondary_senescence,6,0.7198476904291434,0.6804641791004956,0.6634577249520418
tierA_p95,Hepatocytes,tnfa_nfkb_proximal,6,0.7223930594418436,0.7573376382936348,0.781368637232323
