section,arm,week,call,null,scope,n_senders,n_cells,occ_frac_bbox,tissue_frac_bbox,n_solid_tiles,tile_cell_coverage,tile_sender_coverage,real_median_nbrs,null_median_nbrs,frac_retaining_a_neighbour,frac_in_occupancy,median_displacement_um,n_admissible_moves,n_candidate_moves
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_orig,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,207.25,0.7574207114070439,0.6460837567899071,2246.549511652605,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_tile,solid tiles,2737,127386,0.6562,0.6732,5,0.461,0.4796,263.0,254.6,1.0,0.9840518816222141,510.93900647618955,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_occ,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,256.65,0.9989924653933766,0.96683896968635,71.32747404207944,63.0,38080.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_occ15,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,242.85,0.9580865603644648,0.8944016120553707,335.20836903120414,982.0,38080.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_swap,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,256.35,1.0,1.0,2159.5493054462268,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_snap,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,221.35,1.0,1.0,1679.0927081517282,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_orig,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,222.2,0.8354214123006833,0.7439022253373051,2523.3166209346573,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_tile,solid tiles,2737,127386,0.6562,0.6732,5,0.461,0.4796,263.0,254.0,1.0,0.9843807088052611,615.2208809969441,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_occ,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,258.0,0.9984580339933415,0.9686437708077801,52.185685338576945,12.0,720.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_occ15,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,242.25,0.9520939197476782,0.8942351498160155,1476.3472652830267,99.0,720.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_swap,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4796,259.0,225.55,1.0,1.0,1719.9191509350119,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_orig,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,135.95,0.7897291196388262,0.6806884875846501,2840.7221344648347,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_tile,solid tiles,5158,202016,0.6555,0.7051,15,0.57,0.5822,176.0,167.85,0.9987010469174098,0.9374563784412562,465.96066932899714,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_occ,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,169.6,0.9997460496613995,0.9672516930022574,21.338834764831844,6.0,90168.0
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_occ15,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,157.15,0.9665462753950338,0.870558690744921,293.0123010666312,796.0,90168.0
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_swap,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,168.1,1.0,1.0,3249.0575975267343,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_snap,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,137.725,1.0,1.0,2760.6374475696607,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_orig,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,151.0,0.916597065462754,0.82127539503386,2950.692734764779,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_tile,solid tiles,5158,202016,0.6555,0.7051,15,0.57,0.5822,176.0,168.15,0.9989240015509887,0.9360895696006203,620.1283573760089,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_occ,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,170.0,0.9997460496613995,0.9858521444695258,9.748886396822154,3.0,720.0
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_occ15,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,160.55,0.9790744920993225,0.8942155756207674,261.8297833417353,57.0,720.0
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_swap,whole section,8860,202016,0.6555,0.7051,15,0.57,0.5822,169.0,151.025,1.0,1.0,3016.812179234711,,
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,N3_orig,whole section,6895,165961,0.6441,0.7347,20,0.5808,0.5775,106.0,87.1,0.7865772298767222,0.6411530094271212,3291.1321929280757,,
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,N3_tile,solid tiles,3982,165961,0.6441,0.7347,20,0.5808,0.5775,107.0,100.75,1.0,0.8810522350577601,478.3076377903741,,
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,N3_occ,whole section,6895,165961,0.6441,0.7347,20,0.5808,0.5775,106.0,107.0,1.0,1.0,0.0,1.0,108375.0
