section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,0.0,5.0,0.0008975585471598142,-0.00024649233741816563,0.002113027069882834
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,5.0,10.0,0.0008913287892231652,0.00011352758862612386,0.0017062801841611157
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,10.0,15.0,0.0009127406730184766,0.00022907724423447103,0.0016931498927820119
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,15.0,20.0,0.000887185861041232,0.0002493561095905252,0.0016624810220967328
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,20.0,25.0,0.0008945218236180286,0.0002665967175174684,0.0016266626017637583
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,25.0,30.0,0.0008869393413431246,0.00019974456088536625,0.0016485424804081783
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,30.0,35.0,0.0009124503027142338,0.00020594168803264723,0.001637036601272701
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,35.0,40.0,0.0009083523737891279,0.00024240304696991914,0.0017552017208009615
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,40.0,45.0,0.0008982265353964262,7.383250238265594e-05,0.0017755191665917054
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,45.0,50.0,0.000910428124793654,4.504225707785661e-05,0.001800803787582987
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,50.0,55.0,0.0009053243098693238,-4.405143193724878e-05,0.0019121743419823279
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,55.0,60.0,0.0008866500413348795,-0.0001677163726289488,0.0019915222606156522
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,60.0,65.0,0.00087630700542571,-0.00035955729770176226,0.0021255769176933576
7259_liver_sbr_Male_26-U1,tierA_p95,Hepatocytes,downstream_arrest,N3_orig,65.0,70.0,0.0008711917029809542,-0.0005799338509865633,0.0022404491408015994
