section,call,celltype,module,null,bin_lo,bin_hi,mean,lo,hi
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,0.0,5.0,0.0009982311380393107,0.0001281511689363872,0.001768193698518485
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,5.0,10.0,0.0009693159141400001,0.0003287005098746393,0.0016441940645397762
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,10.0,15.0,0.0009234581662368401,0.0003238265932622184,0.0016393350466343218
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,15.0,20.0,0.0009607214371728112,0.0004169218760677943,0.0016619784037197217
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,20.0,25.0,0.0009447344410600696,0.00035795145216677165,0.001596756701731836
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,25.0,30.0,0.0009720978130836189,0.0003551780829590532,0.001681848555218309
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,30.0,35.0,0.0010084170450318747,0.000326806133022686,0.001813741244101626
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,35.0,40.0,0.0009793514202789744,9.735502721607605e-05,0.0019529411887177816
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,40.0,45.0,0.0009848092860060094,4.5040641687543144e-06,0.0019999182619416514
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,45.0,50.0,0.0009465896924676816,-0.00034497432268123607,0.0022231363642420364
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,50.0,55.0,0.0011054798622373656,-0.00030867635719050425,0.002378179689127716
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,55.0,60.0,0.0010729540608016377,-0.00035273442321695866,0.002760753966775418
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,60.0,65.0,0.0010818362274930423,-0.0009450817216807717,0.0028051560572081424
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,65.0,70.0,0.0010356278855679696,-0.0010684917930363028,0.0030851070982844415
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,70.0,75.0,0.0010747696813727505,-0.0011760112128800305,0.0032265000174437975
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,75.0,80.0,0.0010296042156286893,-0.001648295587506653,0.0035427603118391338
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,80.0,85.0,0.0009813752132864066,-0.0019525870581666128,0.003287459338201275
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,85.0,90.0,0.0010991181918745805,-0.001383918162132388,0.003409036562368503
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,90.0,95.0,0.0009070042992582575,-0.00165018371461864,0.003155190001002713
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,downstream_arrest,N3_orig,95.0,100.0,0.0009893105988031754,-8.992703647094011e-05,0.0018134905098491166
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,0.0,5.0,0.012695668874903872,0.011216052890758532,0.014202005737637764
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,5.0,10.0,0.012654084080792995,0.011367089450673305,0.013976924198550707
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,10.0,15.0,0.012721260735901064,0.011376594486663942,0.014030280538793596
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,15.0,20.0,0.01269813373186841,0.011456739186337177,0.013928630741145899
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,20.0,25.0,0.01271715397606448,0.011374162765131084,0.013954535116416717
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,25.0,30.0,0.012696128251446347,0.011479720402032123,0.014026044511422215
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,30.0,35.0,0.012720231833825948,0.01142325730920793,0.013918674742171988
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,35.0,40.0,0.01267144544471964,0.01108356443192278,0.014130517381451239
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,40.0,45.0,0.012660744121446878,0.011084897275521644,0.014747703676992062
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,45.0,50.0,0.012661114033979239,0.010833762796352987,0.015061075019092228
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,50.0,55.0,0.01273722211459294,0.010226032739497166,0.01515186663933381
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,55.0,60.0,0.012792464184064907,0.009897264028397785,0.0157224563539911
7259_liver_sbr_Male_26-U1,tierA_p90,Hepatocytes,emt_ecm,N3_orig,60.0,65.0,0.012690696294042765,0.009526530114055057,0.01679186951979244
