section,arm,week,band,call,n_cells,area_um2,median_depth,median_nn_um,n_senders,sender_prevalence,sender_density_per_um2,median_d_um,iqr_d_um,p90_d_um,poisson_median_pred_um,obs_over_poisson
7259_liver_sbr_Male_26-U1,sbr,26,in_band,tierA_p90,127386,15946875.0,448.0,6.744689781971417,11409,0.08956243229240261,0.0007154379776601998,16.766993468714254,14.083743933098686,33.6406688279724,17.56110336276623,0.9547801822215979
7259_liver_sbr_Male_26-U1,sbr,26,in_band,tierA_p95,127386,15946875.0,448.0,6.744689781971417,5707,0.04480084153674658,0.00035787575935724084,24.010543795828937,20.771609491549675,47.6233471770299,24.829710325307353,0.9670086151329969
7259_liver_sbr_Male_26-U1,sbr,26,in_band,tierA_p99,127386,15946875.0,448.0,6.744689781971417,1146,0.008996279025952616,7.186360964138742e-05,55.1552296644073,46.226151053930934,108.14193641486656,55.409378684787036,0.9954132490489465
7259_liver_sbr_Male_26-U1,sbr,26,in_band,cdkn1a_pos,127386,15946875.0,448.0,6.744689781971417,5110,0.040114298274535665,0.0003204389574759945,27.142129512674632,21.249346210796347,51.7604655335478,26.240079054074016,1.0343768193968366
7259_liver_sbr_Male_26-U1,sbr,26,in_band,senepy_p90,127386,15946875.0,448.0,6.744689781971417,6339,0.04976214026659131,0.00039750734861845974,25.002757353353175,20.797930135253754,50.28370394474095,23.559453566916982,1.061262192789689
7259_liver_sbr_Male_26-U1,sbr,26,in_band,senepy_p95,127386,15946875.0,448.0,6.744689781971417,3171,0.024892845367622814,0.0001988477366255144,36.45197583196341,31.585026395848452,74.14814176735871,33.310217479266406,1.0943181579241432
7259_liver_sbr_Male_26-U1,sbr,26,in_band,senepy_p99,127386,15946875.0,448.0,6.744689781971417,637,0.005000549510935268,3.9945130315500684e-05,86.41259169139335,75.3247005047082,172.43078080967402,74.32002943890397,1.1627093307656755
7260_liver_sbr_Male_26-U1,sbr,26,in_band,tierA_p90,202016,39337500.0,599.0,8.146317624088162,17716,0.0876960240773008,0.0004503590721321894,21.14003848709349,17.841033428038646,42.2802694946967,22.13392002109864,0.9550969040704153
7260_liver_sbr_Male_26-U1,sbr,26,in_band,tierA_p95,202016,39337500.0,599.0,8.146317624088162,8860,0.043857912244574686,0.00022523037813790912,30.24147024168834,26.353495680039416,60.23979134260759,31.29855671566385,0.9662257118250288
7260_liver_sbr_Male_26-U1,sbr,26,in_band,tierA_p99,202016,39337500.0,599.0,8.146317624088162,1776,0.008791382860763504,4.5147759771210674e-05,68.63071663293786,57.94888257477528,134.35646255923623,69.90684326158687,0.981745326078109
7260_liver_sbr_Male_26-U1,sbr,26,in_band,cdkn1a_pos,202016,39337500.0,599.0,8.146317624088162,9921,0.049109971487406937,0.00025220209723546234,30.85659881069894,26.244916866185683,62.95471104608127,29.57763513964699,1.0432409036426844
7260_liver_sbr_Male_26-U1,sbr,26,in_band,senepy_p90,202016,39337500.0,599.0,8.146317624088162,10639,0.052664145414224615,0.0002704544010168414,33.53237575858516,29.1264053907278,68.7813007024886,28.562141587124536,1.1740147585327125
7260_liver_sbr_Male_26-U1,sbr,26,in_band,senepy_p95,202016,39337500.0,599.0,8.146317624088162,5321,0.02633949786155552,0.00013526533206228153,48.66301790328656,44.78588235582393,104.15965392300791,40.387274174452806,1.2049096874695402
7260_liver_sbr_Male_26-U1,sbr,26,in_band,senepy_p99,202016,39337500.0,599.0,8.146317624088162,1067,0.005281759860605101,2.7124245312996506e-05,119.50365755165782,114.19706015171886,252.7244750102669,90.19011951385818,1.32501939453906
