section,band,call,obs,null,ripley_ratio
7259_liver_sbr_Male_26-U1,in_band,tierA_p95,3.3068161906430698,3.0268091817066756,1.0925089730230406
7259_liver_sbr_Male_26-U1,in_band,cdkn1a_pos,3.087671232876712,2.6011350293542073,1.187047653440467
7259_liver_sbr_Male_26-U1,in_band,senepy_p95,2.6647745190791547,1.6397981709239988,1.6250625024039385
7260_liver_sbr_Male_26-U1,in_band,tierA_p95,2.191647855530474,1.9840632054176073,1.1046260268050152
7260_liver_sbr_Male_26-U1,in_band,cdkn1a_pos,3.0432416087088,2.069791351678258,1.4703132304815338
7260_liver_sbr_Male_26-U1,in_band,senepy_p95,2.138695733884608,1.1049050930276263,1.9356375017009118
7001_liver_sham_Male_52-U1,in_band,tierA_p95,1.2612037708484407,1.2063524292965917,1.0454687537570029
7001_liver_sham_Male_52-U1,in_band,cdkn1a_pos,2.0078601716826974,1.6295376977970837,1.232165524244732
7001_liver_sham_Male_52-U1,in_band,senepy_p95,1.338501291989664,0.8813215208564046,1.518743455497382
7248_liver_sham_Male_26-U1,in_band,tierA_p95,1.8877120822622109,1.6060462724935736,1.1753783901452095
7248_liver_sham_Male_26-U1,in_band,cdkn1a_pos,1.4789501039501038,1.248752598752599,1.1843419628735534
7248_liver_sham_Male_26-U1,in_band,senepy_p95,1.74819527713202,1.3395081365471675,1.3051023950017355
7352_liver_sham_Male_2-U1,in_band,tierA_p95,1.7628341807446284,1.7020829916352305,1.0356922602528522
7352_liver_sham_Male_2-U1,in_band,cdkn1a_pos,2.338342754722184,2.019605680408107,1.1578214388115944
7352_liver_sham_Male_2-U1,in_band,senepy_p95,2.4719318621757647,1.427990708478513,1.731055984817677
7435_liver_sham_Male_10-U1,in_band,tierA_p95,1.4692528735632182,1.3746839080459772,1.0687932440059362
7435_liver_sham_Male_10-U1,in_band,cdkn1a_pos,0.9929883138564273,0.5897829716193657,1.6836503623188404
7435_liver_sham_Male_10-U1,in_band,senepy_p95,1.6773221757322174,1.1605690376569038,1.4452584217812643
7239_liver_sbr_Male_52-U1,over_ceiling,tierA_p95,2.2589620117710005,1.8944355270197968,1.1924195780495381
7239_liver_sbr_Male_52-U1,over_ceiling,cdkn1a_pos,8.364210025002977,8.10833432551494,1.0315571224885065
7239_liver_sbr_Male_52-U1,over_ceiling,senepy_p95,1.7629499561018438,1.1178226514486391,1.5771284951303803
7448_liver_sbr_Male_10-U1,over_ceiling,tierA_p95,2.533097076319453,2.224731046702949,1.1386082286546515
7448_liver_sbr_Male_10-U1,over_ceiling,cdkn1a_pos,4.554445738096697,4.2347692873337826,1.0754885163919243
7448_liver_sbr_Male_10-U1,over_ceiling,senepy_p95,1.8433707350583926,1.1441264025646896,1.6111600352253626
7361_liver_sbr_Male_2-U1,over_ceiling,tierA_p95,2.2684632007118344,2.081860938095843,1.089632433752595
7361_liver_sbr_Male_2-U1,over_ceiling,cdkn1a_pos,9.093247381144238,8.31709911361805,1.0933195885877272
7361_liver_sbr_Male_2-U1,over_ceiling,senepy_p95,2.342471778331623,1.8410790206714558,1.272336359292881
7450_liver_sbr_Male_10-U1,over_ceiling,tierA_p95,1.756874839372912,1.5128758673862759,1.1612815547174942
7450_liver_sbr_Male_10-U1,over_ceiling,cdkn1a_pos,4.307812043973149,3.908337386905341,1.1022108936670167
7450_liver_sbr_Male_10-U1,over_ceiling,senepy_p95,2.0681051921780176,1.1740391099123397,1.7615300671988974
7250_liver_sham_Male_26-U1,below_floor,tierA_p95,2.0600550964187327,1.8811386593204773,1.095110711914711
7250_liver_sham_Male_26-U1,below_floor,cdkn1a_pos,0.4679144385026739,0.27941176470588236,1.6746411483253592
7250_liver_sham_Male_26-U1,below_floor,senepy_p95,2.1288913162206446,1.5917859093391589,1.337423144488362
