subset,null,n,q25,median,q75,frac_le_0,frac_gt_05
"PRIMARY: in-band sections, tierA_p95",N2 matched decoy,160,0.9053337737321627,0.9428247221235153,0.9804946519184696,0.0,1.0
"PRIMARY: in-band sections, tierA_p95",N1 stratified label permutation,160,0.40325327789185955,0.7160375343146883,0.8823078021210116,0.0875,0.6625
"PRIMARY: in-band sections, tierA_p95",N1 on the N5+N6-conditioned residual,160,0.9205925969208489,0.9869603918210208,1.0583128575869922,0.03125,0.95
"PRIMARY: in-band sections, tierA_p95",N3 torus shift,160,0.9921567979792512,1.0001120175357205,1.0078886885450573,0.0,1.0
"PRIMARY: in-band sections, tierA_p95",N4 rotation,160,0.8674242458566614,0.9641233669663237,1.0423271402470997,0.0,0.96875
"PRIMARY: in-band sections, tierA_p95",N5 nuisance conditioning,160,-0.13042308970925004,0.08420193715544111,0.26060300744897325,0.38125,0.0625
"PRIMARY: in-band sections, tierA_p95",N6 receiver-baseline conditioning,160,0.22200392020141807,0.4862903697589529,0.7560242853970942,0.125,0.49375
"PRIMARY: in-band sections, tierA_p95",zonation covariate alone,160,0.5098783742712809,0.8427042949351852,0.9923213441048304,0.04375,0.76875
"PRIMARY: in-band sections, tierA_p95",N5 + N6,160,-0.09894211876913511,0.0824123997135594,0.25169223830061577,0.35,0.05625
"PRIMARY: in-band sections, tierA_p95",N2 + N5 + N6 (combined),160,-0.0992216348388479,0.08220446525029695,0.24870786133411396,0.35,0.0625
"PRIMARY: in-band sections, tierA_p95",N8 scrambled response gene set,160,0.8192633915966557,0.9348088086347247,1.0544041656321184,0.0125,0.96875
over-ceiling sections (Cdkn1a+ hep 22-45 %),N2 matched decoy,127,0.9208083594023869,0.9534312020993432,0.9718814567183875,0.0,1.0
over-ceiling sections (Cdkn1a+ hep 22-45 %),N5 nuisance conditioning,127,-0.0538071491347907,0.1091804165350928,0.2217964343774496,0.33070866141732286,0.05511811023622047
over-ceiling sections (Cdkn1a+ hep 22-45 %),N6 receiver-baseline conditioning,127,0.19171583377974188,0.3805395655188555,0.5731767876752857,0.11811023622047244,0.33858267716535434
over-ceiling sections (Cdkn1a+ hep 22-45 %),zonation covariate alone,127,0.5871128614117039,0.7263840724503575,0.8251649587211585,0.0,0.8740157480314961
over-ceiling sections (Cdkn1a+ hep 22-45 %),N5 + N6,127,-0.034434115550830355,0.0974889672199037,0.21364656146817534,0.29133858267716534,0.047244094488188976
over-ceiling sections (Cdkn1a+ hep 22-45 %),N2 + N5 + N6 (combined),127,-0.03650943971515945,0.0977722843419205,0.21495532123947714,0.28346456692913385,0.047244094488188976
over-ceiling sections (Cdkn1a+ hep 22-45 %),N8 scrambled response gene set,50,0.9069951671312942,0.9548302795245303,1.0678520971209953,0.0,1.0
below-floor section (0.48 %),N2 matched decoy,30,0.9702330505928402,0.9853890936576348,0.9908447206471388,0.0,1.0
below-floor section (0.48 %),N5 nuisance conditioning,30,0.04623826640818155,0.15992556442573624,0.298363885734909,0.2,0.13333333333333333
below-floor section (0.48 %),N6 receiver-baseline conditioning,30,0.2629513203129449,0.5897377493026401,0.7922096819807566,0.1,0.6
below-floor section (0.48 %),zonation covariate alone,30,0.5958212598657251,0.8141827801406549,0.9383973060008964,0.06666666666666667,0.8
below-floor section (0.48 %),N5 + N6,30,-0.032880407776175076,0.12415883329141866,0.26730050424238416,0.26666666666666666,0.1
below-floor section (0.48 %),N2 + N5 + N6 (combined),30,-0.03343253949972283,0.12368820792680704,0.2679905157564949,0.26666666666666666,0.1
